Date,Open_Interest,FM_Long,FM_Short,FM_Net,FM_WeeklyChange,FM_Pctile_3yr_Rolling,RM_Long,RM_Short,RM_Net,RM_WeeklyChange
2012-01-31,799299.0,94168.0,153691.0,-59523.0,-1999.0,79.07,367748.0,190494.0,177254.0,817.0
2012-02-07,798596.0,86819.0,153758.0,-66939.0,-7415.0,70.11,372939.0,176647.0,196292.0,19037.0
2012-02-14,796294.0,89195.0,167259.0,-78064.0,-11126.0,63.64,381164.0,172950.0,208214.0,11922.0
2012-02-21,808052.0,90622.0,172710.0,-82088.0,-4023.0,58.43,382375.0,166408.0,215967.0,7753.0
2012-02-28,811993.0,95476.0,176377.0,-80901.0,1187.0,60.0,386693.0,168554.0,218139.0,2172.0
2012-03-06,846787.0,91677.0,188615.0,-96938.0,-16037.0,43.96,377959.0,172175.0,205784.0,-12354.0
2012-03-13,967328.0,103392.0,189418.0,-86026.0,10912.0,55.43,390623.0,170408.0,220215.0,14432.0
2012-03-20,761130.0,84966.0,177398.0,-92432.0,-6406.0,49.46,388818.0,163418.0,225400.0,5185.0
2012-03-27,772728.0,83607.0,181354.0,-97747.0,-5315.0,39.36,393739.0,159070.0,234669.0,9269.0
2012-04-03,776067.0,92376.0,174273.0,-81897.0,15852.0,60.0,380452.0,159573.0,220879.0,-13790.0
2012-04-10,790586.0,84439.0,180624.0,-96185.0,-14288.0,44.79,375351.0,172751.0,202600.0,-18279.0
2012-04-17,796135.0,92328.0,178866.0,-86538.0,9647.0,55.67,374315.0,170943.0,203372.0,771.0
2012-04-24,805068.0,83360.0,174887.0,-91527.0,-4989.0,52.04,370066.0,175325.0,194741.0,-8631.0
2012-05-01,816564.0,102161.0,177123.0,-74962.0,16565.0,68.69,363323.0,164589.0,198734.0,3993.0
2012-05-08,822718.0,85931.0,191008.0,-105077.0,-30115.0,32.0,362508.0,171389.0,191119.0,-7615.0
2012-05-15,851882.0,92848.0,189673.0,-96825.0,8252.0,42.57,356911.0,181966.0,174945.0,-16174.0
2012-05-22,873488.0,78011.0,198249.0,-120238.0,-23414.0,16.67,359681.0,182562.0,177119.0,2174.0
2012-05-29,881189.0,81316.0,203574.0,-122258.0,-2019.0,14.56,360591.0,182411.0,178180.0,1061.0
2012-06-05,933308.0,84497.0,202297.0,-117800.0,4458.0,21.15,357833.0,197795.0,160038.0,-18142.0
2012-06-12,1016255.0,80804.0,213327.0,-132523.0,-14724.0,9.52,373443.0,181679.0,191764.0,31727.0
2012-06-19,740602.0,65277.0,180663.0,-115386.0,17138.0,26.42,364100.0,177275.0,186825.0,-4939.0
2012-06-26,774074.0,74950.0,185575.0,-110625.0,4761.0,31.78,367589.0,198930.0,168659.0,-18166.0
2012-07-03,773321.0,76684.0,176558.0,-99874.0,10751.0,39.81,361624.0,180317.0,181307.0,12647.0
2012-07-10,794026.0,71292.0,194078.0,-122786.0,-22912.0,14.68,361817.0,187836.0,173981.0,-7326.0
2012-07-17,801482.0,68919.0,194064.0,-125145.0,-2359.0,13.64,360923.0,185772.0,175151.0,1170.0
2012-07-24,817472.0,59558.0,195478.0,-135920.0,-10774.0,7.21,356946.0,191751.0,165195.0,-9956.0
2012-07-31,781796.0,78580.0,190087.0,-111507.0,24413.0,32.14,354476.0,167810.0,186666.0,21472.0
