Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
SIGMASHELL,"BABA, Long, 2026-04-01 (Price: 123.73)",Daily,No Exit Yet,No Price Target,2026-06-09 (Min),27.84%/29.74%,"-6.75%, 2.3 months","2026-06-10 (Price: 115.38), 6.75% below",147.4985 (Avg % Gain of Historic Winning trades)/399.1612 (Function Specific Target)/181.595 (Horizontal)/399.1612 (F-Stack 1)/524.2534 (F-Stack 2)/149.69 (EMA 200)/210.7369 (Backtested Max),2027-10-26 (Max)/2026-09-24 (Avg),121.98/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 5 years, 16",125.48,"-9.6, 60.42%",No Information,No Information,No Information,No Information,No Information,70.32%/2.42%/19.21%,"29.44%, 56.8%",1.1 year/1.6 month/4.1 months,29.01%,2.08%,26.93%,0.36,0.19,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2026-06-03 (Price: 80.03)",Daily,2026-06-09 (Price: 82.33),No Price Target,2026-06-08 (Min),0.98%/2.35%,"4.25%, 7 days","2026-06-10 (Price: 83.43), 4.25% above",85.53 (Horizontal)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/84.2476 (Backtested Max),2026-12-11 (Max)/2026-08-24 (Avg),76.86/45.49/59.8475/53.4732/No F-Track Level/No F-Track Level/75.74,"100.0%, Past 4 years, 21",79.14,No Information,No Information,No Information,No Information,No Information,5.33% above/4.25% above/4.25% above,5.27%/1.18%/3.35%,"0%, 15.84%",4.4 months/4 days/1.9 month,13.5%,8.26%,5.24%,2.95,0.45,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"ATD.TO, Long, 2023-12-31 (Price: 78.03)",Monthly,2026-06-10 (Price: 83.43),No Price Target,No Date Target,2.03%/2.35%,"6.92%, 2.5 years","2026-06-10 (Price: 83.43), 6.92% above",101.2361 (Historic Rise or Fall to Pivot)/91.615 (Avg % Gain of Historic Winning trades)/124.56 (Function Specific Target)/85.3936 (F-Stack 1)/96.14 (F-Stack 2)/103.2025 (Backtested Max)/85.1229 (Backtested Min),No Next Date Target,38.63/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/70.09,"100.0%, Past 20 years, 13",77.26,No Information,No Information,No Information,No Information,No Information,6.92% above/7.79% above/6.92% above,32.26%/9.09%/17.41%,"-0.0%, 18.24%",1.4 year/5 months/8.4 months,13.16%,13.89%,-0.73%,1.92,0.69,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
DELTADRIFT,"NAUKRI.NS, Long, 2026-05-31 (Price: 995.0)",Weekly,No Exit Yet,No Price Target,2026-06-10 (Min),8.77%/12.22%,"-2.39%, 10 days","2026-06-10 (Price: 971.25), 2.39% below",1506.7285 (Historic Rise or Fall to Pivot)/1089.923 (Avg % Gain of Historic Winning trades)/1298.33 (Function Specific Target)/1483.595 (Horizontal)/2223.4618 (F-Stack 1)/2377.3661 (F-Stack 2)/1205.83 (EMA 200)/1111.7135 (Backtested Max)/1056.3915 (Backtested Min),2026-10-21 (Max)/2026-08-04 (Avg),928.1/662.12/920.5126/832.4874/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 15 years, 4",964.45,No Information,No Information,No Information,No Information,No Information,No Information,11.73%/6.17%/9.54%,"22.33%, 28.55%",3.3 months/7 days/1.5 month,3.39%,12.88%,-9.49%,0.04,0.63,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets)
TRENDPULSE,"NAUKRI.NS, Long, 2025-06-29 (Price: 1508.1)",Weekly,No Exit Yet,No Price Target,2026-06-07 (Max),56.78%/62.71%,"-35.6%, 11.5 months","2026-06-10 (Price: 971.25), 35.6% below",1722.7026 (Historic Rise or Fall to Pivot)/1660.8705 (Avg % Gain of Historic Winning trades)/1698.71 (Function Specific Target)/2223.4618 (F-Stack 1)/2377.3661 (F-Stack 2)/1522.76 (EMA 200)/1809.72 (Backtested Max)/1580.338 (Backtested Min),No Next Date Target,1276.51/662.12/1498.9515/1095.4447/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"96.43%, Past 10 years, 28",1490.0,No Information,No Information,No Information,No Information,No Information,33.47% below/35.6% below/35.6% below,20.0%/4.79%/10.13%,"33.02%, 50.68%",7.9 months/1.2 month/3.3 months,9.94%,12.88%,-2.94%,0.65,0.63,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"CRM, Long, 2026-06-01 (Price: 209.6)",Daily,No Exit Yet,No Price Target,2026-06-11 (Min),23.33%/24.24%,"-18.45%, 9 days","2026-06-10 (Price: 170.92), 18.45% below",212.3458 (Historic Rise or Fall to Pivot)/217.3552 (Avg % Gain of Historic Winning trades)/258.11 (Function Specific Target)/368.045 (Horizontal)/398.5273 (F-Stack 1)/443.7751 (F-Stack 2)/221.13 (EMA 200)/231.9643 (Backtested Max)/210.7947 (Backtested Min),2026-10-31 (Max)/2026-06-11 (Min)/2026-07-11 (Avg),176.17/156.1/209.3181/186.7031/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 23",198.75,No Information,No Information,No Information,No Information,No Information,10.56% below/18.45% below/18.45% below,10.67%/0.57%/3.7%,"0%, 31.2%",3.5 months/7 days/28 days,1.63%,1.12%,0.51%,1.27,0.12,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
PULSEGAUGE,"CRM, Long, 2026-04-23 (Price: 173.3)",Weekly,No Exit Yet,No Price Target,2026-06-09 (Min),28.12%/28.17%,"-1.37%, 1.6 month","2026-06-10 (Price: 170.92), 1.37% below",223.1931 (Avg % Gain of Historic Winning trades)/354.7868 (Function Specific Target)/368.045 (Horizontal)/354.7868 (F-Stack 1)/398.5273 (F-Stack 2)/219.07 (EMA 200)/239.6219 (Backtested Max)/218.9819 (Backtested Min),2028-04-20 (Max)/2026-11-17 (Avg),164.96/156.1/166.208/131.2903/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"83.33%, Past 21 years, 18",182.5,No Information,No Information,No Information,No Information,No Information,No Information,38.27%/26.36%/28.79%,"40.81%, 50.47%",1.4 year/1.1 month/4.8 months,12.45%,12.8%,-0.35%,0.52,0.05,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
TRENDPULSE,"PERSISTENT.NS, Long, 2025-12-05 (Price: 6520.5)",Daily,2026-06-08 (Price: 5065.0),No Price Target,No Date Target,33.16%/39.13%,"-24.42%, 6.2 months","2026-06-10 (Price: 4928.0), 24.42% below",6942.3763 (Historic Rise or Fall to Pivot)/6856.3058 (Avg % Gain of Historic Winning trades)/10210.8 (Function Specific Target)/9957.5854 (F-Stack 1)/15965.083 (F-Stack 2)/7432.7179 (Backtested Max)/6562.2312 (Backtested Min),No Next Date Target,6331.0/1548.5125/6244.7475/3950.0879/No F-Track Level/No F-Track Level/5542.75,"77.78%, Past 4 years, 27",6453.0,No Information,No Information,No Information,No Information,No Information,23.62% below/24.42% below/24.42% below,13.99%/0.64%/5.15%,"7.08%, 34.03%",3.4 months/6 days/26 days,19.88%,40.64%,-20.76%,0.28,1.97,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"PERSISTENT.NS, Long, 2025-11-20 (Price: 6350.5)",Daily,2026-06-08 (Price: 5065.0),No Price Target,No Date Target,35.5%/37.2%,"-22.4%, 6.7 months","2026-06-10 (Price: 4928.0), 22.4% below",6761.3773 (Historic Rise or Fall to Pivot)/6677.5508 (Avg % Gain of Historic Winning trades)/9946.3 (Function Specific Target)/9957.5854 (F-Stack 1)/15965.083 (F-Stack 2)/7238.9349 (Backtested Max),No Next Date Target,5781.0/1548.5125/6244.7475/3950.0879/No F-Track Level/No F-Track Level/5523.09,"77.78%, Past 4 years, 27",6316.0,No Information,No Information,No Information,No Information,No Information,21.98% below/22.4% below/22.4% below,13.99%/0.64%/5.15%,"7.08%, 34.03%",3.4 months/6 days/26 days,19.88%,40.64%,-20.76%,0.28,1.97,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
DELTADRIFT,"BTC-USD, Long, 2026-06-07 (Price: 61579.0508)",Daily,No Exit Yet,No Price Target,2026-06-09 (Min),3.06%/5.57%,"0.23%, 3 days","2026-06-10 (Price: 61720.1016), 0.23% above",65156.7937 (Avg % Gain of Historic Winning trades)/63611.16 (Function Specific Target)/124582.2656 (Horizontal)/128961.5315 (F-Stack 1)/139224.439 (F-Stack 2)/79661.7 (EMA 200)/68783.7997 (Backtested Max),2026-08-28 (Max)/2026-06-25 (Avg),60922.67/18304.4229/57447.2152/51395.9501/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"75.0%, Past 4 years, 16",60864.2383,No Information,No Information,No Information,No Information,No Information,No Information,11.7%/2.55%/5.81%,"26.18%, 26.18%",1.9 month/2 days/13 days,0.66%,4.99%,-4.33%,-0.02,0.27,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
DELTADRIFT,"ETH-USD, Long, 2026-06-09 (Price: 1702.02)",Daily,No Exit Yet,No Price Target,2026-06-10 (Min),8.18%/8.33%,"-3.13%, 1 day","2026-06-10 (Price: 1648.73), 3.13% below",1783.5468 (Historic Rise or Fall to Pivot)/1873.4134 (Avg % Gain of Historic Winning trades)/1828.48 (Function Specific Target)/4922.7188 (Horizontal)/4650.1074 (F-Stack 1)/4887.278 (F-Stack 2)/2454.29 (EMA 200)/2021.4892 (Backtested Max)/1786.0998 (Backtested Min),2026-09-16 (Max)/2026-06-30 (Avg),1580.86/1370.4997/1681.3515/1567.5825/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 4 years, 14",1689.78,No Information,No Information,No Information,No Information,No Information,No Information,18.77%/4.94%/10.07%,"24.06%, 28.71%",2.3 months/1 day/15 days,18.13%,-5.27%,23.4%,0.44,0.17,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
PULSEGAUGE,"BYDDY, Long, 2026-04-23 (Price: 13.18)",Weekly,No Exit Yet,No Price Target,2026-06-09 (Min),25.54%/26.68%,"-16.46%, 1.6 month","2026-06-10 (Price: 11.01), 16.46% below",13.8219 (Historic Rise or Fall to Pivot)/18.5245 (Avg % Gain of Historic Winning trades)/17.0759 (Function Specific Target)/13.9472 (Horizontal)/17.0759 (F-Stack 1)/19.2153 (F-Stack 2)/20.5766 (Backtested Max)/17.5795 (Backtested Min),2028-04-20 (Max)/2027-02-03 (Avg),11.83/7.1633/12.4728/9.6555/No F-Track Level/No F-Track Level/12.86,"81.82%, Past 16 years, 11",14.09,No Information,No Information,No Information,No Information,No Information,No Information,56.12%/33.38%/40.55%,"49.5%, 56.65%",1.4 year/1.1 month/6.6 months,9.44%,6.53%,2.91%,0.42,-0.0,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
DELTADRIFT,"SBUX, Long, 2026-06-03 (Price: 95.89)",Daily,2026-06-10 (Price: 98.76),No Price Target,No Date Target,1.05%/2.41%,"2.99%, 7 days","2026-06-10 (Price: 98.76), 2.99% above",102.4872 (Historic Rise or Fall to Pivot)/99.7927 (Avg % Gain of Historic Winning trades)/101.14 (Function Specific Target)/117.0525 (Horizontal)/142.4098 (F-Stack 1)/150.3462 (F-Stack 2)/103.1489 (Backtested Max),2026-09-02 (Max)/2026-06-24 (Avg),95.51/71.675/89.1063/76.529/No F-Track Level/No F-Track Level/91.49,"78.57%, Past 4 years, 14",95.48,No Information,No Information,No Information,No Information,No Information,No Information,7.57%/1.64%/4.07%,"16.2%, 17.41%",2.1 months/1 day/15 days,6.29%,-1.19%,7.48%,0.16,-0.04,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2026-03-01 (Price: 49.71)",Weekly,2026-06-10 (Price: 50.72),No Price Target,No Date Target,0.87%/2.69%,"2.03%, 3.4 months","2026-06-10 (Price: 50.72), 2.03% above",51.1615 (Avg % Gain of Historic Winning trades)/67.44 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2)/52.0861 (Backtested Max),2027-09-25 (Max)/2026-08-08 (Avg),35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,"100.0%, Past 10 years, 16",49.56,No Information,No Information,No Information,No Information,No Information,2.32% above/2.03% above/2.03% above,4.78%/1.57%/2.92%,"-0.0%, 32.4%",1.1 year/28 days/3.7 months,4.78%,4.53%,0.25%,1.33,0.22,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",Weekly,2026-06-10 (Price: 9.6),No Price Target,No Date Target,7.84%/10.62%,"2.13%, 3.1 months","2026-06-10 (Price: 9.6), 2.13% above",10.9143 (Avg % Gain of Historic Winning trades)/10.62 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/11.3298 (Backtested Max)/10.3522 (Backtested Min),2042-04-25 (Max)/2026-12-15 (Min)/2031-10-01 (Avg),9.25/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.36,"84.62%, Past 20 years, 13",9.25,No Information,No Information,No Information,"38.2% (Price: 9.1207), 5.26% above, Upmove Bounce Back","2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",No Information,20.53%/10.13%/16.11%,"6.36%, 45.18%",11.3 years/6.5 months/3.9 years,3.06%,1.18%,1.88%,-0.01,-0.02,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
TRENDPULSE,"BYD.TO, Long, 2023-12-31 (Price: 278.49)",Monthly,2026-06-10 (Price: 133.12),No Price Target,No Date Target,154.56%/175.89%,"-52.2%, 2.5 years","2026-06-10 (Price: 133.12), 52.2% below",411.3297 (Historic Rise or Fall to Pivot)/367.2583 (F-Stack 2)/338.8666 (Backtested Max),No Next Date Target,138.66/166.48/229.0045/147.1212/No F-Track Level/No F-Track Level/241.57,"100.0%, Past 20 years, 16",258.84,No Information,No Information,No Information,No Information,No Information,48.55% below/52.2% below/52.2% below,21.68%/5.8%/10.46%,"-0.0%, 33.29%",1.1 year/5.1 months/9.9 months,13.56%,9.1%,4.46%,0.84,0.45,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
DELTADRIFT,"MFT.NZ, Long, 2026-04-05 (Price: 58.99)",Weekly,2026-05-31 (Price: 64.75),65.4258 (Historic Rise or Fall to Pivot)/64.86 (Function Specific Target),No Date Target,2.12%/30.46%,"11.04%, 2.2 months","2026-06-10 (Price: 65.5), 11.04% above",85.45 (Horizontal)/105.252 (F-Stack 1)/119.9356 (F-Stack 2)/66.8888 (Backtested Max),No Next Date Target,58.66/55.185/54.7158/45.8971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.89%, Past 15 years, 9",58.89,No Information,No Information,No Information,No Information,No Information,No Information,13.39%/6.64%/8.98%,"14.48%, 14.87%",21 days/7 days/12 days,11.35%,8.93%,2.42%,0.62,0.51,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets)
