"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"GLD, Long, 2026-06-11 (Price: 386.32)",2026-06-16 (Price: 397.63),"2.93%, 5 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-06-11",Already confirmed,"2026-06-17 (Price: 388.6), 0.59% above",6 days,6.47%/1.57%/2.65%,"4.6%, 4.6%",24 days/4 days/10 days,2026-07-15/2026-06-16/2026-06-25,7.04%,13.27%,-6.23%,0.61,0.95,405.5201/396.5575/401.04/401.25/520.3579/624.146/407.8,374.58/150.8/381.6561/346.8156/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),373.96
"WPM.TO, Long, 2026-06-11 (Price: 157.14)",2026-06-15 (Price: 173.4),"10.35%, 4 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-06-11",Already confirmed,"2026-06-17 (Price: 178.22), 13.41% above",6 days,11.19%/1.64%/4.97%,"11.96%, 12.04%",29 days/1 day/10 days,2026-07-23/2026-06-12/2026-06-25,5.72%,17.71%,-11.99%,0.14,0.89,166.647/164.9499/165.8/158.055/233.8832/250.3565/170.71,149.99/52.6825/146.152/133.3839/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),151.57
"AEM.TO, Long, 2026-06-11 (Price: 219.94)",2026-06-15 (Price: 240.24),"9.23%, 4 days","100.0%, Past 4 years, 7","Daily, was CONFIRMED on 2026-06-11",Already confirmed,"2026-06-17 (Price: 245.0), 11.39% above",6 days,5.45%/3.36%/4.72%,"-0.0%, 7.35%",1.2 month/1 day/12 days,2026-08-02/2026-06-12/2026-06-28,9.57%,16.04%,-6.47%,2.05,0.78,232.8065/230.3212/231.56/No Horizontal Resistance/357.3747/374.8434/255.38,212.41/59.606/216.3823/193.9088/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),212.85
"IBIT, Long, 2026-06-08 (Price: 35.89)",2026-06-15 (Price: 37.74),"5.15%, 7 days","100.0%, Past 2 years, 4","Daily, was CONFIRMED on 2026-06-08",Already confirmed,"2026-06-17 (Price: 36.36), 1.31% above",9 days,9.68%/5.7%/7.12%,"0%, 9.25%",1.4 month/5 days/22 days,2026-08-07/2026-06-15/2026-07-09,21.26%,18.15%,3.11%,3.38,0.79,38.0255/38.4454/38.24/70.855/82.0046/88.9078/49.37,34.14/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),35.98
"BTC-USD, Long, 2026-06-07 (Price: 61579.0508)",2026-06-13 (Price: 64421.3242),"4.62%, 6 days","75.0%, Past 4 years, 16","Daily, was CONFIRMED on 2026-06-07",Already confirmed,"2026-06-17 (Price: 65706.6172), 6.7% above",10 days,11.7%/2.55%/5.81%,"26.18%, 26.18%",1.9 month/2 days/13 days,2026-08-28/2026-06-09/2026-06-25,0.66%,4.99%,-4.33%,-0.02,0.27,62065.5253/65156.7937/63611.16/124582.2656/128961.5315/139224.439/78556.67,60922.67/18304.4229/57447.2152/51395.9501/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),60864.2383
"EBO.NZ, Long, 2026-06-07 (Price: 20.11)",2026-06-14 (Price: 21.41),"6.46%, 7 days","75.0%, Past 15 years, 4","Weekly, was CONFIRMED on 2026-06-07",Already confirmed,"2026-06-17 (Price: 19.98), 0.65% below",10 days,6.05%/4.89%/5.47%,"11.57%, 11.86%",4.9 months/7 days/2.6 months,2027-01-05/2026-06-17/2026-09-27,2.05%,5.8%,-3.75%,-0.1,0.3,20.6067/21.21/20.91/46.625/51.6772/54.7189/25.6,19.52/No Horizontal Support/19.4238/18.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),19.75
"EFN.TO, Long, 2026-06-07 (Price: 26.79)",No Exit Yet,"4.48%, 10 days","80.0%, Past 15 years, 5","Weekly, was CONFIRMED on 2026-06-07",Already confirmed,"2026-06-17 (Price: 27.99), 4.48% above",10 days,22.27%/6.58%/13.09%,"43.16%, 45.87%",2.6 months/7 days/28 days,2026-09-27/2026-06-17/2026-07-17,2.99%,9.59%,-6.6%,0.04,0.48,30.3638/30.2968/30.33/34.925/45.1741/70.5281/33.69,21.35/12.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),26.92
"BEL.NS, Long, 2026-06-04 (Price: 409.9)",2026-06-17 (Price: 419.85),"2.43%, 13 days","88.89%, Past 4 years, 9","Daily, was CONFIRMED on 2026-06-04",Already confirmed,"2026-06-17 (Price: 419.85), 2.43% above",13 days,6.18%/2.69%/4.16%,"11.23%, 12.53%",19 days/2 days/10 days,2026-07-01/2026-06-06/2026-06-18,14.35%,36.95%,-22.6%,0.44,1.93,452.7346/426.9518/439.84/433.5/456.8119/613.9011/417.75,406.6/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),405.0
"SJ.TO, Long, 2026-05-24 (Price: 73.96)",2026-06-07 (Price: 81.68),"10.44%, 14 days","71.43%, Past 15 years, 7","Weekly, was CONFIRMED on 2026-05-24",Already confirmed,"2026-06-17 (Price: 82.15), 11.07% above",24 days,10.34%/3.91%/7.32%,"13.98%, 15.76%",5.6 months/14 days/2.3 months,2027-01-22/2026-06-13/2026-08-31,3.72%,10.65%,-6.93%,0.05,0.59,81.2007/79.3739/80.29/84.3925/95.0177/123.2166/85.13,71.28/38.015/66.807/60.0601/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),73.12
"ATM.NZ, Long, 2026-05-21 (Price: 6.89)",2026-06-12 (Price: 7.27),"5.52%, 22 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-05-21",Already confirmed,"2026-06-17 (Price: 7.32), 6.24% above",27 days,8.79%/3.28%/5.69%,"14.37%, 14.37%",2.5 months/2 days/19 days,2026-09-06/2026-05-23/2026-06-17,6.2%,0.65%,5.55%,0.16,0.11,7.3289/7.282/7.31/10.965/21.86/25.8879/9.95,6.85/5.292/6.1571/5.7659/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),6.75
"BAC, Short, 2026-06-15 (Price: 55.87)",No Exit Yet,"-1.18%, 2 days","90.0%, Past 4 years, 10","Daily, was CONFIRMED on 2026-06-15",Already confirmed,"2026-06-17 (Price: 56.53), 1.18% above",2 days,3.17%/0.85%/1.95%,"3.37%, 4.81%",1.1 month/1 day/10 days,2026-08-01/2026-06-16/2026-06-29,7.35%,3.82%,3.53%,0.71,0.15,53.529/54.7805/54.15/29.49/54.1889/No Target/52.2,56.02/No Horizontal Resistance/72.41/85.2389/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),56.6188
"CNR.TO, Short, 2026-06-03 (Price: 165.97)",2026-06-15 (Price: 164.27),"1.02%, 12 days","100.0%, Past 4 years, 7","Daily, was CONFIRMED on 2026-06-03",Already confirmed,"2026-06-17 (Price: 160.96), 3.02% below",14 days,3.03%/0.97%/1.95%,"0%, 5.6%",28 days/2 days/10 days,2026-07-13/2026-06-05/2026-06-17,6.57%,3.82%,2.75%,2.39,-0.02,160.9577/162.7336/161.85/128.224/136.9828/86.815/141.95,167.82/171.0825/218.156/349.4971/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,79.41%/34/4 days (Across ALL Assets),62.71%/118/6 days (Across ALL Assets),167.25
