Function,Symbol,Signal,Interval,Entry Date,Entry Price,Exit Date,Exit Price,Today price,Realised/Unrealised Profit,Holding Period,Status,Backtested Win Rate [%]
FRACTAL TRACK,GOOG,Short,Quarterly,2026-03-31,286.86,2026-04-09,316.37,316.37,-10.2872%,9.0,Closed,100.0
DELTADRIFT,MU,Short,Monthly,2026-03-31,337.84,,,1211.38,-258.5662%,,Open,83.33
DELTADRIFT,TSM,Short,Monthly,2026-03-31,337.95,,,467.67,-38.3844%,,Open,80.0
FRACTAL TRACK,000660.KS,Short,Monthly,2026-03-31,807000.0,2026-04-08,1033000.0,1033000.0,-28.0050%,8.0,Closed,94.12
FRACTAL TRACK,WIPRO.NS,Short,Quarterly,2026-03-30,187.64,,,180.18,3.9757%,,Open,85.71
FRACTAL TRACK,CSCO,Short,Monthly,2026-03-30,77.04,,,121.53,-57.7492%,,Open,86.67
TRENDPULSE,ORCL,Short,Daily,2026-03-30,138.8,2026-04-13,155.62,155.62,-12.1182%,14.0,Closed,88.89
FRACTAL TRACK,SFTBY,Short,Quarterly,2026-03-30,11.02,,,22.16,-101.0889%,,Open,100.0
TRENDPULSE,INDY,Short,Weekly,2026-03-29,41.24,2026-04-09,44.36,44.36,-7.5655%,11.0,Closed,85.71
FRACTAL TRACK,SFTBY,Short,Quarterly,2026-03-27,11.45,,,22.16,-93.5371%,,Open,100.0
FRACTAL TRACK,WIPRO.NS,Short,Quarterly,2026-03-27,191.6,,,180.18,5.9603%,,Open,85.71
FRACTAL TRACK,SFTBY,Short,Quarterly,2026-03-26,11.64,,,22.16,-90.3780%,,Open,100.0
FRACTAL TRACK,WIPRO.NS,Short,Quarterly,2026-03-26,189.05,,,180.18,4.6919%,,Open,85.71
FRACTAL TRACK,SFTBY,Short,Quarterly,2026-03-25,12.67,,,22.16,-74.9013%,,Open,100.0
FRACTAL TRACK,WIPRO.NS,Short,Quarterly,2026-03-25,189.05,,,180.18,4.6919%,,Open,85.71
FRACTAL TRACK,SFTBY,Short,Quarterly,2026-03-24,11.1,,,22.16,-99.6396%,,Open,100.0
