Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
PULSEGAUGE,"ATD.TO, Long, 2023-11-29 (Price: 76.23)",Weekly,2026-06-23 (Price: 91.87),93.6409 (Backtested Min),No Date Target,3.51%/4.65%,"20.52%, 2.6 years","2026-06-23 (Price: 91.87), 20.52% above",95.0969 (Avg % Gain of Historic Winning trades)/96.14 (F-Stack 2)/102.476 (Backtested Max),2028-03-11 (Max),68.98/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"89.47%, Past 25 years, 19",79.2,No Information,No Information,No Information,No Information,No Information,No Information,34.43%/22.84%/24.75%,-34.5%/-35.58%/-35.04%,"35.58%, 43.13%",3 years/7 days/7.9 months,3 years/0 days/7.3 months,12.64%,14.04%,-1.4%,0.69,0.05,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,18.45%,6.25%,0.99,0.30,76.2300,17.1%,23.4,87
TRENDPULSE,"XIU.TO, Long, 2026-03-01 (Price: 49.71)",Weekly,2026-06-14 (Price: 51.75),52.0861 (Backtested Max),No Date Target,3.75%/29.89%,"4.45%, 3.8 months","2026-06-23 (Price: 51.92), 4.45% above",67.44 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2),2027-09-25 (Max)/2026-08-17 (Avg),35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,"100.0%, Past 10 years, 17",49.56,No Information,No Information,No Information,No Information,No Information,4.74% above/4.45% above/4.45% above,4.78%/1.1%/3.1%,N/A,"0%, 32.4%",1.1 year/28 days/3.9 months,1.1 year/28 days/3.9 months,4.9%,4.74%,0.16%,1.7,0.24,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),equity_etf,3.10%,0.90%,0.21,-0.11,49.5704,-43.4%,13.6,80
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",Monthly,No Exit Yet,52.322 (Backtested Max),No Date Target,1.51%/3.75%,"11.82%, 6.8 months","2026-06-23 (Price: 51.92), 11.82% above",52.7027 (Historic Rise or Fall to Pivot)/67.39 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2),2027-08-17 (Max)/2026-09-30 (Avg),28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,"100.0%, Past 20 years, 14",45.21,No Information,No Information,No Information,No Information,No Information,15.97% above/14.44% above/11.82% above,12.69%/2.94%/7.95%,N/A,"-0.0%, 19.49%",1.2 year/4 months/7 months,1.2 year/0 days/6.5 months,5.69%,4.39%,1.3%,2.04,0.21,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity_etf,7.95%,4.55%,0.38,-0.29,44.7702,-48.7%,18.3,76
TRENDPULSE,"AIA.NZ, Long, 2026-05-01 (Price: 8.37)",Daily,2026-06-22 (Price: 8.52),No Price Target,No Date Target,3.64%/4.39%,"-0.12%, 1.8 month","2026-06-23 (Price: 8.36), 0.12% below",8.7266 (Historic Rise or Fall to Pivot)/8.6646 (Avg % Gain of Historic Winning trades)/8.86 (Function Specific Target)/8.953 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/8.9643 (Backtested Max),2026-11-21 (Max),8.15/7.0/7.3934/6.6643/No F-Track Level/No F-Track Level/8.08,"91.67%, Past 4 years, 36",8.25,No Information,No Information,No Information,No Information,No Information,1.33% above/0.12% below/0.12% below,7.1%/0.39%/3.52%,-3.83%/-6.37%/-5.35%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,11.9 months/0 days/1.6 month,10.06%,3.03%,7.03%,0.58,0.11,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.78%,2.20%,1.40,0.86,8.2503,100.0%,31.8,80
TRENDPULSE,"AIA.NZ, Long, 2026-02-23 (Price: 8.95)",Daily,2026-06-23 (Price: 8.36),No Price Target,No Date Target,10.83%/11.62%,"-6.59%, 4 months","2026-06-23 (Price: 8.36), 6.59% below",9.3313 (Historic Rise or Fall to Pivot)/9.265 (Avg % Gain of Historic Winning trades)/9.82 (Function Specific Target)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/9.5854 (Backtested Max),2026-09-15 (Max),8.13/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/7.94,"91.67%, Past 4 years, 36",8.85,No Information,No Information,No Information,No Information,No Information,5.86% below/6.59% below/6.59% below,7.1%/0.39%/3.52%,-3.83%/-6.37%/-5.35%,"6.37%, 18.81%",4.7 months/7 days/1.1 month,11.9 months/0 days/1.6 month,10.06%,3.03%,7.03%,0.58,0.11,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.78%,2.20%,1.28,3.48,7.8972,100.0%,31.8,20
TRENDPULSE,"FSF.NZ, Long, 2025-09-30 (Price: 8.35)",Monthly,No Exit Yet,No Price Target,2026-06-22 (Min),18.85%/19.15%,"-14.25%, 8.9 months","2026-06-23 (Price: 7.16), 14.25% below",10.4283 (Historic Rise or Fall to Pivot)/11.4036 (Avg % Gain of Historic Winning trades)/8.51 (Function Specific Target)/8.5311 (F-Stack 1)/12.0421 (F-Stack 2)/12.029 (Backtested Max)/10.7506 (Backtested Min),2027-09-28 (Max)/2026-10-30 (Avg),3.0/2.942/6.3611/No stop loss/No F-Track Level/No F-Track Level/6.05,"100.0%, Past 20 years, 7",7.37,No Information,No Information,No Information,No Information,No Information,14.25% below/9.37% below/14.25% below,44.06%/28.75%/36.57%,N/A,"-0.0%, 15.01%",1.4 year/6.1 months/9.1 months,1.4 year/0 days/6.5 months,14.08%,0.16%,13.92%,1.42,-0.11,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity,36.57%,36.45%,3.28,3.64,6.2670,100.0%,80.8,68
SIGMASHELL,"FSF.NZ, Long, 2026-04-30 (Price: 6.55)",Daily,No Exit Yet,No Price Target,2026-06-21 (Min),2.12%/8.52%,"9.31%, 1.8 month","2026-06-23 (Price: 7.16), 9.31% above",7.3118 (Avg % Gain of Historic Winning trades)/8.4284 (Function Specific Target)/8.4284 (F-Stack 1)/9.7443 (F-Stack 2)/7.77 (EMA 200)/8.3499 (Backtested Max),2026-12-29 (Max)/2026-10-12 (Avg),6.4/2.942/6.3611/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 5 years, 14",6.401,"-3.34, 75.0%",No Information,No Information,No Information,No Information,No Information,27.48%/1.18%/11.63%,-0.87%/-3.66%/-2.27%,"3.66%, 28.57%",5.6 months/1.2 month/3.8 months,9.6 months/0 days/4.1 months,22.08%,0.18%,21.9%,0.89,-0.08,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets),equity,9.64%,9.56%,1.10,-0.02,6.5500,19.9%,44.8,80
DELTADRIFT,"BBTC.NS, Long, 2026-04-12 (Price: 1487.4)",Weekly,2026-06-23 (Price: 1579.8),No Price Target,No Date Target,1.28%/6.93%,"6.21%, 2.4 months","2026-06-23 (Price: 1579.8), 6.21% above",1689.2402 (Historic Rise or Fall to Pivot)/1721.5168 (Avg % Gain of Historic Winning trades)/1705.38 (Function Specific Target)/2145.0 (Horizontal)/3412.111 (F-Stack 1)/3761.7441 (F-Stack 2)/1725.98 (EMA 200)/1988.3563 (Backtested Max)/1599.9962 (Backtested Min),2026-11-10 (Max)/2026-07-25 (Avg),1375.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 15 years, 7",1410.0,No Information,No Information,No Information,No Information,No Information,No Information,33.68%/7.57%/15.74%,-16.67%/-19.06%/-17.87%,"19.06%, 19.06%",4.9 months/7 days/2.4 months,4.9 months/0 days/1.7 month,5.17%,14.77%,-9.6%,0.19,0.66,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets),equity,6.14%,3.15%,1.21,0.25,1487.4000,60.5%,21.4,87
PULSEGAUGE,"BBTC.NS, Long, 2026-04-24 (Price: 1492.7)",Weekly,No Exit Yet,1575.097 (Historic Rise or Fall to Pivot),No Date Target,9.25%/25.76%,"5.84%, 2 months","2026-06-23 (Price: 1579.8), 5.84% above",2063.2099 (Avg % Gain of Historic Winning trades)/3412.111 (Function Specific Target)/2145.0 (Horizontal)/3412.111 (F-Stack 1)/3761.7441 (F-Stack 2)/1725.98 (EMA 200)/2242.0354 (Backtested Max)/1986.7837 (Backtested Min),2030-11-17 (Max)/2027-07-11 (Avg),1375.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"86.67%, Past 23 years, 15",1540.0,No Information,No Information,No Information,No Information,No Information,No Information,50.2%/33.1%/38.22%,-50.14%/-50.52%/-50.33%,"50.52%, 56.37%",3.2 years/11 days/10.2 months,3.2 years/0 days/8.8 months,11.7%,15.89%,-4.19%,0.59,0.12,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,26.42%,9.77%,2.95,2.68,1492.7000,84.7%,20.8,87
FRACTAL TRACK,"NVDA, Long, 2026-04-19 (Price: 201.68)",Weekly,2026-06-23 (Price: 200.04),No Price Target,No Date Target,16.15%/17.84%,"-0.81%, 2.2 months","2026-06-23 (Price: 200.04), 0.81% below",235.7236 (Historic Rise or Fall to Pivot)/241.1689 (Avg % Gain of Historic Winning trades)/277.02 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/249.9622 (Backtested Max)/232.3555 (Backtested Min),2031-07-31 (Max)/2027-09-22 (Avg),167.52/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/190.23,"100.0%, Past 20 years, 10",186.03,No Information,No Information,No Information,"38.2% (Price: 164.2223), 21.81% above, Upmove Bounce Back","2025-04-13 (Price: 86.62), 2025-11-02 (Price: 212.19)",No Information,23.94%/15.21%/19.58%,N/A,"-0.0%, 43.1%",3.7 years/21 days/1 year,3.7 years/0 days/10.9 months,12.26%,25.02%,-12.76%,1.84,1.04,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity,19.58%,-12.89%,3.99,2.28,201.6800,100.0%,4.5,87
DELTADRIFT,"AMZN, Long, 2026-06-09 (Price: 244.19)",Daily,No Exit Yet,No Price Target,2026-06-23 (Avg),6.38%/9.08%,"-4.13%, 14 days","2026-06-23 (Price: 234.11), 4.13% below",255.3739 (Historic Rise or Fall to Pivot)/257.2542 (Avg % Gain of Historic Winning trades)/256.31 (Function Specific Target)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/270.5137 (Backtested Max)/249.0494 (Backtested Min),2026-07-16 (Max),199.34/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/232.83,"80.0%, Past 4 years, 15",247.73,No Information,No Information,No Information,No Information,No Information,No Information,10.78%/1.99%/5.35%,-9.24%/-17.68%/-12.9%,"17.68%, 17.68%",26 days/2 days/10 days,1.3 month/0 days/12 days,6.68%,4.76%,1.92%,0.15,0.26,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,1.70%,1.47%,9.79,20.99,244.1900,100.0%,47.6,0
BASELINEDIVERGENCE,"SPY, Long, 2026-02-08 (Price: 690.62)",Weekly,2026-06-21 (Price: 746.74),No Price Target,No Date Target,32.11%/32.11%,"6.22%, 4.5 months","2026-06-23 (Price: 733.58), 6.22% above",969.1148 (Function Specific Target)/969.1148 (F-Stack 1)/1522.3697 (F-Stack 2),2026-09-08 (Max)/2026-07-10 (Avg),505.28/412.1625/627.1849/415.8599/No F-Track Level/No F-Track Level/689.29,"84.21%, Past 10 years, 19",689.58,No Information,"^GSPC, Tangent Case",No Information,No Information,No Information,No Information,8.13%/0.46%/4.26%,-0.24%/-5.53%/-3.07%,"5.53%, 12.25%",4.9 months/2.1 months/3.5 months,4.9 months/2.1 months/3.5 months,6.45%,9.53%,-3.08%,0.61,0.65,54.55%/33/2.9 months (Across ALL Assets),70.5%/522/3.5 months (Across ALL Assets),equity_etf,3.10%,-0.87%,0.71,-0.33,690.6200,-46.0%,6.7,73
DELTADRIFT,"BABA, Long, 2026-06-15 (Price: 112.55)",Daily,2026-06-23 (Price: 102.6),No Price Target,No Date Target,14.05%/17.14%,"-8.84%, 8 days","2026-06-23 (Price: 102.6), 8.84% below",125.043 (Historic Rise or Fall to Pivot)/120.1809 (Avg % Gain of Historic Winning trades)/122.61 (Function Specific Target)/181.595 (Horizontal)/399.1612 (F-Stack 1)/524.2534 (F-Stack 2)/148.89 (EMA 200)/126.3486 (Backtested Max)/117.0182 (Backtested Min),2026-08-06 (Max)/2026-07-05 (Avg),103.83/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 4 years, 14",112.66,No Information,No Information,No Information,No Information,No Information,No Information,12.26%/3.97%/6.78%,-9.87%/-17.99%/-13.93%,"17.99%, 17.99%",1.2 month/1 day/14 days,1.8 month/0 days/15 days,12.56%,-9.07%,21.63%,0.39,-0.1,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,3.82%,4.36%,0.20,0.50,112.5500,100.0%,76.2,0
