"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"^BVSP, Long, 2026-04-27 (Price: 189578.7969)",No Exit Yet,"-4.05%, 14 days","80.0%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-11 (Price: 181908.875), 4.05% below",14 days,11.63%,18.36%/16.77%/17.34%,"28.74%, 33.35%",4.3 years/2.1 months/8.4 months,2032-06-16/2026-07-27/2027-04-27,5.75%,7.46%,-1.71%,0.26,-0.13,195209.2872/222451.7603/192289.6/No Horizontal Resistance/192289.6/275648.698/No EMA 200 Target,176219.0/96132.0/173653.968/121313.6/No F-Track Level/No F-Track Level/162289.01,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),0.0
"SPOT, Long, 2026-04-27 (Price: 495.82)",No Exit Yet,"-15.39%, 14 days","100.0%, Past 8 years, 4","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-11 (Price: 419.5), 15.39% below",14 days,11.63%,46.58%/30.39%/34.75%,"0%, 45.57%",2.2 years/19 days/9.2 months,2029-06-17/2026-05-24/2027-05-31,22.69%,9.35%,13.34%,7.01,0.03,533.0561/668.1174/842.022/No Horizontal Resistance/842.022/896.959/583.71,422.61/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),508.84
"BEL.NS, Long, 2026-04-27 (Price: 435.6)",No Exit Yet,"-0.84%, 14 days","100.0%, Past 23 years, 4","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-11 (Price: 431.95), 0.84% below",14 days,11.63%,12184.83%/422.85%/6303.84%,"-0.0%, 73.8%",15.3 years/3 years/9.1 years,2048-02-28/2030-08-08/2039-04-24,33.1%,16.83%,16.27%,0.52,0.12,No Target/27895.127/456.8119/No Horizontal Resistance/456.8119/613.9011/No EMA 200 Target,404.75/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/413.91,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),445.0
"WCN.TO, Long, 2026-04-27 (Price: 220.28)",No Exit Yet,"-6.23%, 14 days","78.95%, Past 24 years, 19","Weekly, was CONFIRMED on 2026-04-27",No Cancellation Possible,"2026-05-11 (Price: 206.55), 6.23% below",14 days,11.63%,16.77%/15.22%/15.84%,"29.79%, 31.21%",9.1 months/7 days/4.1 months,2027-05-27/2026-05-07/2026-10-20,5.93%,8.42%,-2.49%,0.24,-0.13,228.4744/255.1724/354.4788/252.7/354.4788/566.6704/236.66,216.7/148.255/142.2872/92.1958/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),225.46
"BDGI.TO, Long, 2026-04-24 (Price: 63.71)",2026-05-01 (Price: 78.36),"22.99%, 7 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-11 (Price: 82.0), 28.71% above",17 days,11.63%,37.5%/26.11%/30.68%,"45.17%, 49.58%",7.9 months/20 days/4.1 months,2027-04-02/2026-05-22/2026-10-17,7.19%,13.14%,-5.95%,0.36,0.06,66.7617/83.2562/79.9248/No Horizontal Resistance/79.9248/84.3122/67.36,60.49/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),62.38
"NVO, Long, 2026-04-23 (Price: 38.52)",2026-05-11 (Price: 46.4),"20.46%, 18 days","73.68%, Past 25 years, 19","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-11 (Price: 46.4), 20.46% above",18 days,11.63%,25.44%/19.64%/20.92%,"35.5%, 38.06%",11.8 months/2 months/6.1 months,2027-09-17/2026-07-18/2027-01-13,5.17%,9.21%,-4.04%,0.21,-0.06,39.3906/46.5784/157.4212/139.01/157.4212/No Next Fib Ext/49.43,36.04/No Horizontal Support/37.3162/32.5538/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),40.51
"NOVA.F, Long, 2026-04-23 (Price: 32.66)",2026-05-06 (Price: 39.32),"20.39%, 13 days","80.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-11 (Price: 39.12), 19.78% above",18 days,11.63%,39.56%/19.8%/22.3%,"34.96%, 37.68%",1.8 year/16 days/6.7 months,2028-11-16/2026-05-16/2027-02-08,8.66%,10.15%,-1.49%,0.42,-0.04,33.8782/39.9432/138.0871/126.5/138.0871/146.706/42.38,31.2/No Horizontal Support/28.7825/27.6391/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),34.12
"QQQ, Long, 2025-10-10 (Price: 589.5)",2026-05-01 (Price: 674.15),"14.36%, 6.8 months","82.35%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-11 (Price: 713.29), 21.0% above",7.1 months,10.23%,17.02%/14.9%/15.52%,"23.59%, 27.45%",8.1 months/1.6 month/5.1 months,2026-09-26/2025-12-18/2026-05-19,7.92%,7.91%,0.01%,0.48,-0.15,605.4165/680.9904/610.7303/No Horizontal Resistance/610.7303/836.2536/608.05,422.67/256.995/563.3658/526.8888/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),608.45
"ASHR, Long, 2025-10-10 (Price: 31.48)",2026-05-11 (Price: 36.51),"15.98%, 7.1 months","83.33%, Past 12 years, 6","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-11 (Price: 36.51), 15.98% above",7.1 months,10.23%,20.84%/18.64%/19.53%,"28.49%, 29.84%",1.3 year/2 months/10.9 months,2027-08-18/2026-01-04/2027-01-26,5.6%,2.08%,3.52%,0.29,-0.23,32.8273/37.628/60.2967/39.9467/60.2967/80.3432/32.77,25.21/23.68/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),32.82
"^NDX, Long, 2025-10-10 (Price: 24221.7402)",2026-05-01 (Price: 27710.3574),"14.4%, 6.8 months","88.24%, Past 25 years, 17","Weekly, was CONFIRMED on 2025-10-10",No Cancellation Possible,"2026-05-11 (Price: 29320.6562), 21.05% above",7.1 months,10.23%,16.37%/15.22%/15.65%,"22.97%, 27.91%",7.8 months/2.3 months/5.1 months,2026-09-13/2026-01-17/2026-05-19,9.83%,7.98%,1.85%,0.78,-0.14,24778.8402/28012.4425/25025.4383/No Horizontal Resistance/25025.4383/33965.62/24986.83,17397.7/10555.915/22796.2371/21108.1646/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),24986.2598
"EFN.TO, Long, 2025-10-09 (Price: 36.31)",2026-05-08 (Price: 28.0),"-22.89%, 7 months","87.5%, Past 22 years, 8","Weekly, was CONFIRMED on 2025-10-09",No Cancellation Possible,"2026-05-11 (Price: 26.85), 26.05% below",7.1 months,10.23%,40.6%/22.12%/28.35%,"54.78%, 48.06%",1.7 year/2.1 months/10.9 months,2028-03-13/2026-01-08/2027-01-25,7.2%,9.58%,-2.38%,0.37,-0.03,37.9331/46.6039/45.1741/No Horizontal Resistance/45.1741/70.5281/No EMA 200 Target,36.01/11.7733/29.5041/No stop loss/No F-Track Level/No F-Track Level/34.92,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),36.84
