Symbol,Signal,Signal Date/Price($),Latest Trading Date/Price($),Interval,Current F-Stack Level($),Current Band Price Range($),Width of Current Band(%),Band Composition (F-Stack Level(%) of Low($)-High($) & ..),Trading Days between signal date and Latest Trading date,Price on Latest Trading day vs signal date,Next Band Price Level($),Next Band Price Range($),Next F-Track [%] (Price Level [$]/Retracement Level [%]/Upmove [$]),Next F-Track [%] Price Level vs Price on Latest Trading day,Next Band Price Level vs Price on Latest Trading day
WPM.TO,Resistance,2026-04-30 (Price: 171.58),2026-05-15 (Price: 179.39),Monthly,214.5622,213.5242-215.6002,0.97,1794.4% of 22.6000-33.2400 & 685.4% of 44.7300-69.6600,15 days,4.55% above,225.4868,225.4868-225.4868,160.0095/38.2/55.93-182.6,10.8% below,25.7% above
FUTU,Resistance,2026-04-30 (Price: 154.51),2026-05-15 (Price: 134.64),Monthly,189.9922,189.9922-189.9922,0,161.8% of 136.7600-169.6600,15 days,12.86% below,224.9921,222.8922-227.0921,133.2734/38.2/32.56-169.66,1.02% below,67.11% above
EIF.TO,Resistance,2026-04-30 (Price: 100.05),2026-05-15 (Price: 106.74),Monthly,108.4647,108.1742-108.7551,0.54,685.4% of 42.6500-52.2100 & 1794.4% of 23.8800-28.6100,15 days,6.69% above,117.3251,117.3251-117.3251,94.6864/23.66/42.65-108.68,11.29% below,9.92% above
SFTBY,Resistance,2026-04-30 (Price: 16.96),2026-05-15 (Price: 17.8),Monthly,20.8342,20.8342-20.8342,0,1109.0% of 4.9200-6.3550,15 days,4.95% above,22.5282,22.3219-22.7345,15.8016/38.2/6.3475-21.9775,11.23% below,26.56% above
GLXY,Semi-Resistance,2026-04-12 (Price: 21.66),2026-05-15 (Price: 29.61),Weekly,37.5916,37.5916-37.5916,0,423.6% of 17.6400-22.3500,1.1 month,36.7% above,43.3019,43.3019-43.3019,No Support,No Support,46.24% above
BN.TO,Resistance,2026-04-12 (Price: 58.35),2026-05-15 (Price: 62.68),Weekly,66.0174,66.0174-66.0174,0,161.8% of 48.2733-59.2400,1.1 month,7.42% above,75.9313,74.8784-76.9841,No Support,No Support,21.14% above
HOOD,Semi-Resistance,2026-04-05 (Price: 68.9),2026-05-15 (Price: 77.14),Weekly,128.2528,128.1648-128.3408,0.14,4697.8% of 10.2500-12.7600 & 2903.4% of 8.1400-12.2800,1.3 month,11.96% above,182.2571,182.2571-182.2571,No Support,No Support,136.27% above
BPCL.NS,Resistance,2026-03-31 (Price: 281.0),2026-05-15 (Price: 284.45),Monthly,382.1589,382.1589-382.1589,0,261.8% of 201.9750-270.8000,1.5 month,1.23% above,420.2463,414.0079-426.4846,267.745/78.6/278.47-385.4,5.87% below,47.74% above
ORCL,Resistance,2026-03-31 (Price: 147.11),2026-05-15 (Price: 192.95),Monthly,262.1706,262.1706-262.1706,0,1109.0% of 69.8700-87.2100,1.5 month,31.16% above,287.7444,287.7444-287.7444,167.408/78.6/140.72-281.24,13.24% below,49.13% above
JPM,Resistance,2026-03-31 (Price: 294.16),2026-05-15 (Price: 297.81),Monthly,312.3064,312.3064-312.3064,0,423.6% of 125.8800-169.8900,1.5 month,1.24% above,349.5825,348.7963-350.3688,281.4195/23.66/125.88-305.89,5.5% below,17.38% above
TSLA,Resistance,2026-03-31 (Price: 371.75),2026-05-15 (Price: 422.24),Monthly,443.0324,443.0324-443.0324,0,161.8% of 282.1600-381.5867,1.5 month,13.58% above,461.2057,461.2057-461.2057,413.6469/23.66/183.28-449.72,2.04% below,9.23% above
FSF.NZ,Resistance,2026-03-31 (Price: 8.2),2026-05-15 (Price: 6.94),Monthly,8.2307,8.2307-8.2307,0,423.6% of 3.9100-4.9300,1.5 month,15.37% below,10.9011,10.9011-10.9011,4.7128/88.6/3.2-3.08,32.09% below,57.08% above
FRW.NZ,Semi-Resistance,2026-03-31 (Price: 12.0),2026-05-15 (Price: 13.2),Monthly,12.9950,12.995-12.995,0,685.4% of 5.2500-6.3800,1.5 month,10.0% above,15.1835,14.5647-15.8023,13.3714/23.66/7.45-14.35,1.3% above,15.03% above
AAPL,Resistance,2026-02-28 (Price: 264.18),2026-05-15 (Price: 300.23),Monthly,275.1059,273.4456-276.7661,1.21,423.6% of 144.2900-174.7800 & 1794.4% of 41.6100-54.7150,2.5 months,13.65% above,297.1089,296.2756-297.9422,271.498/23.66/212.5-300.23,9.57% below,1.04% below
CNU.NZ,Resistance,2026-02-28 (Price: 9.58),2026-05-15 (Price: 10.02),Monthly,9.7276,9.5777-9.8775,3.13,161.8% of 7.1750-8.6600 & 161.8% of 6.6900-8.6600,2.5 months,4.59% above,11.0627,11.0627-11.0627,9.511/23.66/7.4-10.02,5.08% below,10.41% above
PLTR,Resistance,2026-02-28 (Price: 137.19),2026-05-15 (Price: 133.99),Monthly,204.5294,204.5294-204.5294,0,1109.0% of 8.6800-26.3400,2.5 months,2.33% below,263.4157,263.4157-263.4157,No Support,No Support,96.59% above
QQQ,Resistance,2026-02-28 (Price: 607.29),2026-05-15 (Price: 708.93),Monthly,634.1966,634.1966-634.1966,0,4697.8% of 29.1200-42.0000,2.5 months,16.74% above,779.5634,768.7753-790.3515,611.3556/23.66/277.95-708.93,13.76% below,9.96% above
AVGO,Resistance,2026-02-28 (Price: 319.55),2026-05-15 (Price: 425.19),Monthly,397.4404,397.4404-397.4404,0,1794.4% of 47.0120-66.5410,2.5 months,33.06% above,496.6802,496.6802-496.6802,347.5182/23.66/47.012-425.19,18.27% below,16.81% above
GLXY.TO,Resistance,2026-01-31 (Price: 38.5),2026-03-31 (Price: 28.26),Monthly,47.9485,47.9485-47.9485,0,261.8% of 4.8300-21.3000,2.0 month,26.6% below,54.3937,53.3954-55.3919,No Support,No Support,92.48% above
MSFT,Resistance,2026-01-31 (Price: 430.29),2026-05-15 (Price: 421.92),Monthly,517.4523,517.4523-517.4523,0,1794.4% of 31.2812-58.3750,3.5 months,1.95% below,574.7462,574.7462-574.7462,425.2621/61.8/395.26-533.5,0.79% above,36.22% above
AMZN,Vibration,2026-05-15 (Price: 264.14),2026-05-15 (Price: 264.14),Monthly,257.1563,257.1563-257.1563,0,12299.0% of 8.6550-10.6755,0 days,0.0% below,274.1043,274.1043-274.1043,231.919/23.66/103.13-264.14,12.2% below,3.77% above
CSCO,Breakout,2026-05-15 (Price: 118.21),2026-05-15 (Price: 118.21),Monthly,90.4142,86.951-93.8775,7.97,261.8% of 35.9000-55.4000 & 1109.0% of 21.9900-28.0200 & 685.4% of 15.9500-26.9300 & 261.8% of 45.4300-63.3700 & 685.4% of 16.7700-28.0200,0 days,0.0% below,107.4672,107.4672-107.4672,101.6481/23.66/50.54-118.21,14.01% below,9.09% below
000660.KS,Breakout,2026-05-15 (Price: 1819000.0),2026-05-15 (Price: 1819000.0),Monthly,1268276.0000,1268276.0-1268276.0,0,1794.4% of 75000.0000-141500.0000,0 days,0.0% below,1383413.6400,1383413.64-1383413.64,No Support,No Support,23.95% below
IMO.TO,Breakout,2026-05-15 (Price: 185.26),2026-05-15 (Price: 185.26),Monthly,165.0158,165.0158-165.0158,0,1109.0% of 47.2400-57.8600,0 days,0.0% below,192.4759,192.4759-192.4759,161.4194/23.66/92.99-181.96,12.87% below,3.9% above
IBKR,Breakout,2026-05-15 (Price: 87.0),2026-05-15 (Price: 87.0),Monthly,77.1458,77.1458-77.1458,0,1109.0% of 12.3525-18.1950,0 days,0.0% below,95.5947,95.5947-95.5947,70.6015/23.66/15.385-87.0,18.85% below,9.88% above
EFA,Breakout,2026-05-15 (Price: 101.72),2026-05-15 (Price: 101.72),Monthly,98.2071,98.2071-98.2071,0,261.8% of 58.7800-73.8400,0 days,0.0% below,106.1972,104.1278-108.2666,93.7953/23.66/59.31-105.38,7.79% below,4.4% above
TD.TO,Vibration,2026-05-15 (Price: 148.3),2026-05-15 (Price: 148.3),Monthly,146.0954,146.0954-146.0954,0,261.8% of 75.2000-102.2800,0 days,0.0% below,164.0876,164.0876-164.0876,125.4034/23.66/59.83-148.3,15.44% below,10.65% above
RY.TO,Breakout,2026-05-15 (Price: 252.5),2026-05-15 (Price: 252.5),Monthly,240.0573,234.9422-245.1723,4.35,685.4% of 87.1700-108.7300 & 1794.4% of 51.0000-61.5900 & 1794.4% of 47.2500-58.2800,0 days,0.0% below,255.5041,255.5041-255.5041,209.7937/23.66/87.17-252.5,16.91% below,1.19% above
NA.TO,Vibration,2026-05-15 (Price: 204.62),2026-05-15 (Price: 204.62),Monthly,204.2705,204.2705-204.2705,0,1794.4% of 44.2100-53.1300,0 days,0.0% below,224.9542,224.9542-224.9542,185.4681/23.66/121.08-204.62,9.36% below,9.94% above
CNQ.TO,Vibration,2026-05-15 (Price: 66.08),2026-05-15 (Price: 66.08),Monthly,66.0478,65.8353-66.2602,0.65,4697.8% of 1.1325-2.5098 & 685.4% of 17.5906-24.6915,0 days,0.0% below,73.1275,69.5454-76.7097,62.4558/23.66/39.56-67.86,5.48% below,10.67% above
WMT,Breakout,2026-05-15 (Price: 131.45),2026-05-15 (Price: 131.45),Monthly,114.6382,112.8213-116.4551,3.22,1794.4% of 23.3400-28.3267 & 1109.0% of 19.6133-28.3267 & 1109.0% of 27.5133-35.5333,0 days,0.0% below,136.6818,131.3462-142.0174,112.071/23.66/42.8767-127.95,14.74% below,3.98% above
USCI,Vibration,2026-05-15 (Price: 101.18),2026-05-15 (Price: 101.18),Monthly,99.8906,99.8906-99.8906,0,161.8% of 25.7700-71.5800,0 days,0.0% below,145.7006,145.7006-145.7006,84.1897/23.66/25.9-101.18,16.79% below,44.0% above
TD,Vibration,2026-05-15 (Price: 107.64),2026-05-15 (Price: 107.64),Monthly,106.9178,106.125-107.7106,1.49,261.8% of 64.9700-80.6900 & 261.8% of 63.9900-80.6900,0 days,0.0% below,114.6321,114.3282-114.9361,95.5043/23.66/53.24-107.64,11.27% below,6.5% above
MAR,Vibration,2026-05-15 (Price: 353.17),2026-05-15 (Price: 353.17),Monthly,355.3234,355.3234-355.3234,0,4697.8% of 14.8269-22.0749,0 days,0.0% below,374.3581,374.3581-374.3581,321.089/23.66/136.01-361.69,9.08% below,6.0% above
IWM,Vibration,2026-05-15 (Price: 277.6),2026-05-15 (Price: 277.6),Monthly,270.9222,270.9222-270.9222,0,161.8% of 194.8600-241.8700,0 days,0.0% below,282.5179,282.5179-282.5179,260.1699/23.66/194.86-277.6,6.28% below,1.77% above
GOOG,Semi-Breakout,2026-05-15 (Price: 393.32),2026-05-15 (Price: 393.32),Monthly,330.6546,330.6546-330.6546,0,685.4% of 101.4500-134.8910,0 days,0.0% below,480.6870,472.3107-489.0633,325.0508/23.66/101.45-393.32,17.36% below,22.21% above
EEM,Breakout,2026-05-15 (Price: 65.07),2026-05-15 (Price: 65.07),Monthly,58.9308,57.7291-60.1325,4.16,161.8% of 40.1900-51.0300 & 161.8% of 39.1600-51.0300 & 161.8% of 43.3700-53.7300,0 days,0.0% below,64.6430,63.4803-65.8057,61.0615/23.66/43.76-65.07,6.16% below,0.66% below
^BVSP,Breakout,2026-05-15 (Price: 177283.8281),2026-05-15 (Price: 177283.8281),Monthly,173653.9680,173653.968-173653.968,0,1794.4% of 8623.0000-17820.0000,0 days,0.0% below,192289.6000,192289.6-192289.6,No Support,No Support,8.46% above
AMD,Breakout,2026-05-15 (Price: 424.1),2026-05-15 (Price: 424.1),Monthly,326.3968,320.4435-332.3502,3.72,1794.4% of 1.9375-19.6875 & 4697.8% of 14.2300-20.7500 & 4697.8% of 11.4300-18.2500 & 1794.4% of 2.3600-20.7500,0 days,0.0% below,366.4514,365.4945-367.4082,376.2939/23.66/97.35-424.1,11.27% below,13.59% below
GLD,Breakout,2026-05-15 (Price: 417.29),2026-05-15 (Price: 417.29),Monthly,403.5768,403.5768-403.5768,0,685.4% of 116.1200-158.0600,0 days,0.0% below,581.2346,581.2346-581.2346,424.7298/23.66/164.81-444.95,1.78% above,39.29% above
SOXX,Breakout,2026-05-15 (Price: 508.52),2026-05-15 (Price: 508.52),Monthly,458.3574,458.3574-458.3574,0,685.4% of 108.8267-159.8233,0 days,0.0% below,505.7611,503.2437-508.2786,372.612/88.6/235.38-183.84,26.73% below,0.54% below
SLV,Breakout,2026-05-15 (Price: 69.04),2026-05-15 (Price: 69.04),Monthly,67.0665,66.4326-67.7004,1.91,1109.0% of 20.5200-24.6600 & 161.8% of 13.1900-46.8800,0 days,0.0% below,94.8082,94.8082-94.8082,63.01/50/17.5-75.44,8.73% below,37.32% above
XLE,Vibration,2026-05-15 (Price: 59.44),2026-05-15 (Price: 59.44),Monthly,60.4540,60.454-60.454,0,161.8% of 33.2150-50.0500,0 days,0.0% below,62.9940,62.994-62.994,57.2575/23.66/40.25-61.26,3.67% below,5.98% above
BNS.TO,Vibration,2026-05-15 (Price: 106.16),2026-05-15 (Price: 106.16),Monthly,105.6031,103.2883-107.918,4.48,261.8% of 68.0500-81.5100 & 685.4% of 44.8300-53.3900 & 161.8% of 67.2700-91.8500 & 161.8% of 65.8500-91.8500,0 days,0.0% below,114.0496,112.183-115.9162,95.3014/23.66/56.15-106.16,10.23% below,7.43% above
MU,Breakout,2026-05-15 (Price: 724.66),2026-05-15 (Price: 724.66),Monthly,502.3927,492.958-511.8275,3.83,2903.4% of 42.0600-57.5900 & 685.4% of 7.9900-81.5000,0 days,0.0% below,553.2075,553.2075-553.2075,639.533/23.66/76.95-724.66,11.75% below,23.66% below
ACWX,Breakout,2026-05-15 (Price: 73.69),2026-05-15 (Price: 73.69),Monthly,70.4618,70.025-70.8987,1.25,261.8% of 41.9600-52.6800 & 261.8% of 41.4200-52.6800,0 days,0.0% below,75.6529,75.6529-75.6529,69.6705/23.66/56.95-73.69,5.45% below,2.66% above
TSM,Breakout,2026-05-15 (Price: 404.35),2026-05-15 (Price: 404.35),Monthly,381.0775,381.0775-381.0775,0,7601.2% of 9.2040-14.0963,0 days,0.0% below,447.6175,447.6175-447.6175,336.193/23.66/82.98-404.35,16.86% below,10.7% above
ASML,Breakout,2026-05-15 (Price: 1501.8101),2026-05-15 (Price: 1501.8101),Monthly,1374.6905,1341.3456-1408.0353,4.97,261.8% of 686.6100-936.7000 & 261.8% of 668.0800-936.7000 & 19900.2% of 21.1705-28.1396,0 days,0.0% below,1542.4146,1520.0863-1564.7429,1360.9797/23.66/668.08-1501.8101,9.38% below,2.7% above
ARM,Vibration,2026-05-10 (Price: 213.27),2026-05-15 (Price: 209.16),Weekly,209.3967,209.3967-209.3967,0,161.8% of 105.7800-169.8200,5 days,1.93% below,273.4367,273.4367-273.4367,No Support,No Support,30.73% above
^STI,Breakout,2026-04-30 (Price: 4912.6899),2026-05-15 (Price: 4989.0801),Monthly,4426.2671,4238.2072-4614.3269,8.87,161.8% of 3105.8501-3805.7000 & 161.8% of 3007.3601-3805.7000 & 685.4% of 1352.3000-1803.2200 & 423.6% of 1795.1300-2438.5000 & 261.8% of 2790.8899-3487.3899,15 days,1.55% above,5057.7620,4938.0571-5177.467,4550.9861/23.66/3093.1101-4995.0698,8.78% below,1.38% above
005930.KS,Semi-Breakout,2026-04-30 (Price: 220500.0),2026-05-15 (Price: 270500.0),Monthly,185834.0000,185834.0-185834.0,0,423.6% of 52400.0000-83900.0000,15 days,22.68% above,220502.3000,220502.3-220502.3,No Support,No Support,18.48% below
XIU.TO,Vibration,2026-04-30 (Price: 50.19),2026-05-15 (Price: 49.82),Monthly,48.3988,48.3988-48.3988,0,423.6% of 13.2400-21.5400,15 days,0.74% below,56.9776,56.9776-56.9776,45.119/23.66/29.86-50.19,9.44% below,14.37% above
^NDX,Semi-Breakout,2026-04-30 (Price: 27452.1191),2026-05-15 (Price: 29125.1992),Monthly,25849.2000,25849.2-25849.2,0,4697.8% of 1185.7500-1710.7500,15 days,6.09% above,31948.2332,31443.3312-32453.1352,25127.1219/23.66/11405.5703-29125.1992,13.73% below,9.69% above
ATZ.TO,Breakout,2026-03-31 (Price: 113.52),2026-05-15 (Price: 139.59),Monthly,111.7977,111.7977-111.7977,0,261.8% of 26.3200-58.9700,1.5 month,22.97% above,164.6254,164.6254-164.6254,123.9809/23.66/26.32-139.59,11.18% below,17.93% above
XLU,Breakout,2026-03-31 (Price: 45.89),2026-05-15 (Price: 43.87),Monthly,43.1213,43.1213-43.1213,0,423.6% of 14.3800-21.1650,1.5 month,4.4% below,60.8844,60.8844-60.8844,42.9698/23.66/29.845-47.73,2.05% below,38.78% above
PPH,Breakout,2026-03-31 (Price: 103.88),2026-05-15 (Price: 100.84),Monthly,102.7801,101.34-104.2201,2.84,261.8% of 57.4100-74.1900 & 261.8% of 55.6300-74.1900,1.5 month,2.93% below,128.4901,128.4901-128.4901,99.2444/38.2/89.46-111.7,1.58% below,27.42% above
^GSPC,Semi-Breakout,2026-02-28 (Price: 6878.8799),2026-05-15 (Price: 7408.5),Monthly,6878.3796,6878.3796-6878.3796,0,423.6% of 3785.3799-4515.5498,2.5 months,7.7% above,7259.3705,7229.888-7288.8531,6564.6773/23.66/3871.98-7408.5,11.39% below,2.01% below
