Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",Monthly,No Exit Yet,52.2663 (Historic Rise or Fall to Pivot)/52.322 (Backtested Max),No Date Target,3.69%/29.72%,"11.89%, 6.6 months","2026-06-17 (Price: 51.95), 11.89% above",67.39 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2),2027-08-17 (Max)/2026-09-30 (Avg),28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,"100.0%, Past 20 years, 14",45.21,No Information,No Information,No Information,No Information,No Information,16.04% above/14.5% above/11.89% above,12.69%/2.94%/7.95%,"-0.0%, 19.49%",1.2 year/4 months/7 months,5.69%,4.1%,1.59%,2.04,0.18,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
DELTADRIFT,"EFN.TO, Long, 2026-06-07 (Price: 26.79)",Weekly,No Exit Yet,No Price Target,2026-06-17 (Min),2.01%/8.24%,"4.48%, 10 days","2026-06-17 (Price: 27.99), 4.48% above",30.3638 (Historic Rise or Fall to Pivot)/30.2968 (Avg % Gain of Historic Winning trades)/30.33 (Function Specific Target)/34.925 (Horizontal)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/33.69 (EMA 200)/32.7561 (Backtested Max)/28.5528 (Backtested Min),2026-09-27 (Max)/2026-07-17 (Avg),21.35/12.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"80.0%, Past 15 years, 5",26.92,No Information,No Information,No Information,No Information,No Information,No Information,22.27%/6.58%/13.09%,"43.16%, 45.87%",2.6 months/7 days/28 days,2.99%,9.59%,-6.6%,0.04,0.48,82.76%/29/1.6 month (Across ALL Assets),86.61%/127/2.1 months (Across ALL Assets)
SIGMASHELL,"EFN.TO, Long, 2026-06-11 (Price: 26.02)",Daily,No Exit Yet,27.9169 (Backtested Min),No Date Target,3.15%/6.59%,"7.57%, 6 days","2026-06-17 (Price: 27.99), 7.57% above",28.8718 (Avg % Gain of Historic Winning trades)/45.1741 (Function Specific Target)/34.925 (Horizontal)/45.1741 (F-Stack 1)/70.5281 (F-Stack 2)/33.69 (EMA 200)/29.8345 (Backtested Max),2027-05-11 (Max)/2026-10-06 (Min)/2027-01-27 (Avg),26.0/12.67/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 4",26.01,"-3.06, 65.0%",No Information,No Information,No Information,No Information,No Information,14.66%/7.29%/10.96%,"-0.0%, 21.09%",7.7 months/2.7 months/5.3 months,9.52%,9.58%,-0.06%,1.19,0.49,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
TRENDPULSE,"AIA.NZ, Long, 2026-04-12 (Price: 8.25)",Weekly,No Exit Yet,8.61 (Function Specific Target),No Date Target,1.8%/3.5%,"4.73%, 2.2 months","2026-06-17 (Price: 8.64), 4.73% above",8.9422 (Historic Rise or Fall to Pivot)/8.7953 (Avg % Gain of Historic Winning trades)/8.953 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2)/9.4075 (Backtested Max),2026-09-11 (Max)/2026-07-25 (Avg),7.97/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/8.04,"100.0%, Past 10 years, 22",8.1,No Information,No Information,No Information,No Information,No Information,4.73% above/4.47% above/4.73% above,14.03%/0.47%/6.61%,"-0.0%, 7.89%",3.5 months/28 days/2.4 months,10.76%,5.7%,5.06%,1.18,0.29,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
SIGMASHELL,"AIA.NZ, Long, 2026-04-01 (Price: 8.0)",Daily,No Exit Yet,8.708 (Backtested Max),2026-06-18 (Min),2.97%/29.29%,"8.0%, 2.6 months","2026-06-17 (Price: 8.64), 8.0% above",11.1706 (Function Specific Target)/8.8962 (Horizontal)/11.1706 (F-Stack 1)/12.8535 (F-Stack 2),2027-10-26 (Max)/2026-06-18 (Min)/2026-11-21 (Avg),7.9/7.0017/7.3934/6.6643/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 5 years, 7",8.02,"-5.76, 100.0%",No Information,No Information,No Information,No Information,No Information,8.85%/2.77%/5.72%,"1.58%, 18.81%",1.1 year/1.8 month/5.4 months,7.99%,6.04%,1.95%,0.77,0.31,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
FRACTAL TRACK,"CEN.NZ, Long, 2026-03-08 (Price: 9.4)",Weekly,2026-06-14 (Price: 9.55),No Price Target,No Date Target,7.17%/9.94%,"2.77%, 3.4 months","2026-06-17 (Price: 9.66), 2.77% above",10.9143 (Avg % Gain of Historic Winning trades)/10.62 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/11.3298 (Backtested Max)/10.3522 (Backtested Min),2042-04-25 (Max)/2026-12-15 (Min)/2031-10-01 (Avg),9.25/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/9.37,"84.62%, Past 20 years, 13",9.25,No Information,No Information,No Information,"38.2% (Price: 9.1207), 5.91% above, Upmove Bounce Back","2024-09-29 (Price: 7.86), 2025-11-30 (Price: 9.9)",No Information,20.53%/10.13%/16.11%,"6.36%, 45.18%",11.3 years/6.5 months/3.9 years,3.06%,1.18%,1.88%,-0.01,-0.02,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
PULSEGAUGE,"CEN.NZ, Long, 2025-07-03 (Price: 9.0)",Weekly,No Exit Yet,No Price Target,2026-06-19 (Avg),5.73%/6.47%,"7.33%, 11.6 months","2026-06-17 (Price: 9.66), 7.33% above",10.2852 (Avg % Gain of Historic Winning trades)/11.2606 (Function Specific Target)/11.2606 (F-Stack 1)/15.4512 (F-Stack 2)/10.4688 (Backtested Max)/10.2132 (Backtested Min),2032-08-22 (Max)/2026-06-19 (Avg),8.97/6.86/8.6706/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"76.47%, Past 25 years, 17",9.05,No Information,No Information,No Information,No Information,No Information,No Information,16.32%/13.48%/14.28%,"23.14%, 26.11%",5 years/20 days/8.1 months,4.51%,3.77%,0.74%,0.15,-0.3,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
TRENDPULSE,"GOOG, Long, 2026-05-06 (Price: 395.14)",Daily,No Exit Yet,No Price Target,2026-06-17 (Avg),14.7%/20.83%,"-8.36%, 1.4 month","2026-06-17 (Price: 362.1), 8.36% below",415.3317 (Avg % Gain of Historic Winning trades)/586.26 (Function Specific Target)/505.0904 (F-Stack 1)/561.7053 (F-Stack 2)/437.5385 (Backtested Max),2026-08-26 (Max),273.14/84.51/365.3613/345.4418/No F-Track Level/No F-Track Level/284.28,"100.0%, Past 4 years, 20",389.59,No Information,No Information,No Information,No Information,No Information,4.62% below/8.36% below/8.36% below,10.73%/0.12%/5.11%,"-0.0%, 25.37%",2.6 months/6 days/29 days,19.91%,22.22%,-2.31%,1.44,1.16,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
FRACTAL TRACK,"MSFT, Long, 2026-04-19 (Price: 422.79)",Weekly,No Exit Yet,No Price Target,2026-06-18 (Min),19.19%/19.28%,"-10.38%, 2 months","2026-06-17 (Price: 378.91), 10.38% below",451.6243 (Historic Rise or Fall to Pivot)/488.2379 (Avg % Gain of Historic Winning trades)/727.24 (Function Specific Target)/554.585 (Horizontal)/553.3726 (F-Stack 1)/615.9924 (F-Stack 2)/451.98 (EMA 200)/507.1366 (Backtested Max)/452.1739 (Backtested Min),2028-06-09 (Max)/2026-06-18 (Min)/2027-05-28 (Avg),356.77/216.39/386.873/350.287/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 20 years, 15",373.61,No Information,No Information,No Information,"38.2% (Price: 361.6194), 4.78% above, Upmove Bounce Back","2016-07-03 (Price: 48.04), 2025-08-03 (Price: 555.45)",No Information,19.95%/6.95%/15.48%,"-0.0%, 28.45%",1.5 year/1.4 month/9.3 months,11.25%,10.58%,0.67%,1.87,0.58,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets)
DELTADRIFT,"BABA, Long, 2026-06-15 (Price: 112.55)",Daily,No Exit Yet,No Price Target,2026-06-16 (Min),6.65%/11.42%,"-4.54%, 2 days","2026-06-17 (Price: 107.44), 4.54% below",125.3694 (Historic Rise or Fall to Pivot)/119.7082 (Avg % Gain of Historic Winning trades)/122.54 (Function Specific Target)/181.595 (Horizontal)/399.1612 (F-Stack 1)/524.2534 (F-Stack 2)/149.34 (EMA 200)/126.3486 (Backtested Max)/114.5872 (Backtested Min),2026-08-06 (Max)/2026-07-08 (Avg),103.83/67.495/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 4 years, 14",112.66,No Information,No Information,No Information,No Information,No Information,No Information,12.26%/1.81%/6.36%,"17.99%, 17.99%",1.2 month/1 day/16 days,12.7%,-7.18%,19.88%,0.41,-0.05,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
TRENDPULSE,"ETH-USD, Long, 2026-04-26 (Price: 2369.729)",Weekly,No Exit Yet,No Price Target,2026-06-17 (Min),48.14%/54.9%,"-24.28%, 1.7 month","2026-06-17 (Price: 1794.45), 24.28% below",4378.5483 (Historic Rise or Fall to Pivot)/2877.325 (Avg % Gain of Historic Winning trades)/3920.13 (Function Specific Target)/4922.7188 (Horizontal)/4650.1074 (F-Stack 1)/4887.278 (F-Stack 2)/2779.67 (EMA 200)/3158.1378 (Backtested Max)/2658.362 (Backtested Min),2026-12-25 (Max)/2026-07-21 (Avg),1936.6/1370.4997/2286.2684/1681.3515/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"77.78%, Past 10 years, 9",2264.8735,No Information,No Information,No Information,No Information,No Information,18.14% below/24.28% below/24.28% below,33.27%/12.18%/21.42%,"58.01%, 76.79%",5.6 months/1.2 month/2 months,6.94%,18.28%,-11.34%,0.19,0.93,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
OSCILLATOR DELTA,"RELIANCE.NS, Long, 2026-06-15 (Price: 1307.0)",Daily,No Exit Yet,No Price Target,2026-06-17 (Min),1.15%/3.02%,"1.97%, 2 days","2026-06-17 (Price: 1332.7), 1.97% above",1373.0035 (Historic Rise or Fall to Pivot)/1348.0398 (Avg % Gain of Historic Winning trades)/1489.98 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1422.75 (EMA 200)/1486.7125 (Backtested Max),2026-12-05 (Max)/2026-07-18 (Avg),No Recent Minima/1016.3918/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"95.0%, Past 6 years, 20",1315.3,No Information,No Information,No Information,No Information,No Information,No Information,13.75%/0.08%/3.14%,"11.14%, 12.26%",4 months/2 days/23 days,11.49%,9.08%,2.41%,0.46,0.51,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets)
TRENDPULSE,"DIS, Long, 2025-11-12 (Price: 116.65)",Daily,No Exit Yet,No Price Target,2026-06-17 (Max),16.34%/18.14%,"-13.54%, 7.2 months","2026-06-17 (Price: 100.86), 13.54% below",117.3382 (Historic Rise or Fall to Pivot)/123.2524 (Avg % Gain of Historic Winning trades)/121.47 (Function Specific Target)/168.455 (Horizontal)/207.5364 (F-Stack 1)/245.6322 (F-Stack 2)/128.2217 (Backtested Max)/119.158 (Backtested Min),No Next Date Target,110.24/79.415/94.0946/88.5027/No F-Track Level/No F-Track Level/110.16,"93.75%, Past 4 years, 16",114.57,No Information,No Information,No Information,No Information,No Information,10.14% below/13.54% below/13.54% below,9.92%/2.15%/5.66%,"3.96%, 50.6%",5 months/8 days/2.4 months,-17.54%,-0.57%,-16.97%,0.51,-0.02,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"HDFCBANK.NS, Long, 2026-06-11 (Price: 744.6)",Daily,2026-06-17 (Price: 787.1),No Price Target,2026-06-19 (Min),2.31%/13.61%,"5.71%, 6 days","2026-06-17 (Price: 787.1), 5.71% above",894.24 (Function Specific Target)/1009.6 (Horizontal)/1098.0619 (F-Stack 1)/1180.6259 (F-Stack 2)/907.75 (EMA 200)/805.2849 (Backtested Max),2026-10-19 (Max)/2026-06-19 (Min)/2026-08-02 (Avg),738.35/640.9/697.8792/606.5732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 19",743.0,No Information,No Information,No Information,No Information,No Information,5.39% above/5.71% above/5.71% above,8.15%/1.92%/3.76%,"-0.0%, 9.57%",3 months/6 days/1.2 month,14.18%,6.24%,7.94%,1.18,0.33,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"SPOT, Long, 2026-06-09 (Price: 496.22)",Daily,No Exit Yet,No Price Target,2026-06-19 (Min),17.69%/23.67%,"-8.19%, 8 days","2026-06-17 (Price: 455.6), 8.19% below",563.4578 (Historic Rise or Fall to Pivot)/536.2153 (Avg % Gain of Historic Winning trades)/669.49 (Function Specific Target)/853.8753 (F-Stack 1)/896.959 (F-Stack 2)/563.59 (EMA 200)/592.5859 (Backtested Max),2026-10-30 (Max)/2026-06-19 (Min)/2026-07-26 (Avg),487.54/118.6/456.7863/433.8097/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 17",495.86,No Information,No Information,No Information,No Information,No Information,8.19% below/8.19% below/8.19% below,19.42%/0.36%/8.06%,"0%, 26.79%",3.3 months/7 days/1.1 month,33.97%,12.9%,21.07%,1.27,0.61,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
DELTADRIFT,"IBIT, Long, 2026-06-08 (Price: 35.89)",Daily,2026-06-15 (Price: 37.74),No Price Target,2026-06-15 (Min),4.33%/4.58%,"1.31%, 9 days","2026-06-17 (Price: 36.36), 1.31% above",38.0255 (Historic Rise or Fall to Pivot)/38.4454 (Avg % Gain of Historic Winning trades)/38.24 (Function Specific Target)/70.855 (Horizontal)/82.0046 (F-Stack 1)/88.9078 (F-Stack 2)/49.37 (EMA 200)/39.3642 (Backtested Max)/37.9357 (Backtested Min),2026-08-07 (Max)/2026-07-09 (Avg),34.14/No Horizontal Support/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 2 years, 4",35.98,No Information,No Information,No Information,No Information,No Information,No Information,9.68%/5.7%/7.12%,"0%, 9.25%",1.4 month/5 days/22 days,21.26%,18.15%,3.11%,3.38,0.79,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
SIGMASHELL,"TRI.TO, Long, 2026-03-10 (Price: 140.74)",Daily,No Exit Yet,No Price Target,2026-06-17 (Max),26.8%/33.88%,"-20.38%, 3.3 months","2026-06-17 (Price: 112.06), 20.38% below",150.0288 (Avg % Gain of Historic Winning trades)/293.2329 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/368.7715 (F-Stack 2)/163.89 (EMA 200)/158.0088 (Backtested Max)/142.0911 (Backtested Min),No Next Date Target,110.84/126.1128/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"85.71%, Past 5 years, 14",150.6,"-4.64, 100.0%",No Information,No Information,No Information,No Information,No Information,12.27%/0.96%/6.6%,"10.99%, 12.83%",2.3 months/1.2 month/1.8 month,6.18%,4.49%,1.69%,0.16,0.21,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
