Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
TRENDPULSE,"TRI.TO, Long, 2026-04-21 (Price: 132.44)",Daily,No Exit Yet,No Price Target,2026-06-25 (Avg),12.28%/14.58%,"-10.12%, 2.2 months","2026-06-26 (Price: 119.04), 10.12% below",136.4 (Historic Rise or Fall to Pivot)/137.7376 (Avg % Gain of Historic Winning trades)/190.98 (Function Specific Target)/240.8933 (Horizontal)/293.2329 (F-Stack 1)/372.3374 (F-Stack 2)/192.39 (EMA 200)/142.426 (Backtested Max)/133.6584 (Backtested Min),2026-12-20 (Max),115.28/No Horizontal Support/131.2534/93.0152/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 25",129.0,No Information,No Information,No Information,No Information,No Information,6.6% below/10.12% below/10.12% below,7.54%/0.92%/4.0%,N/A,"-0.0%, 12.09%",5.6 months/4 days/1.5 month,5.6 months/0 days/1.2 month,14.27%,1.96%,12.31%,1.14,0.06,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,4.00%,3.72%,1.27,4.02,111.6698,100.0%,54.9,60
TRENDPULSE,"FPH.NZ, Long, 2026-06-11 (Price: 38.78)",Daily,No Exit Yet,No Price Target,2026-06-26 (Min),4.39%/4.94%,"-0.85%, 15 days","2026-06-26 (Price: 38.45), 0.85% below",41.1146 (Historic Rise or Fall to Pivot)/40.1373 (Avg % Gain of Historic Winning trades)/40.35 (Function Specific Target)/40.93 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/43.0458 (Backtested Max),2027-01-18 (Max)/2026-09-01 (Avg),32.38/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.51,"85.71%, Past 4 years, 42",38.59,No Information,No Information,No Information,No Information,No Information,0.85% below/0.85% below/0.85% below,11.0%/0.47%/3.5%,-1.17%/-35.07%/-13.04%,"35.07%, 42.38%",5.1 months/11 days/1.9 month,7.9 months/0 days/2.2 months,-2.25%,3.17%,-5.42%,0.02,0.16,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,1.14%,0.31%,1.43,1.59,38.1259,100.0%,-9.6,0
TRENDPULSE,"FPH.NZ, Long, 2026-06-10 (Price: 38.7)",Daily,No Exit Yet,No Price Target,2026-06-25 (Min),4.17%/4.86%,"-0.65%, 16 days","2026-06-26 (Price: 38.45), 0.65% below",41.0297 (Historic Rise or Fall to Pivot)/40.0545 (Avg % Gain of Historic Winning trades)/40.32 (Function Specific Target)/40.93 (Horizontal)/40.9296 (F-Stack 1)/48.5677 (F-Stack 2)/42.957 (Backtested Max),2027-01-17 (Max)/2026-08-31 (Avg),32.38/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.51,"85.71%, Past 4 years, 42",38.3,No Information,No Information,No Information,No Information,No Information,0.39% above/0.65% below/0.65% below,11.0%/0.47%/3.5%,-1.17%/-35.07%/-13.04%,"35.07%, 42.38%",5.1 months/11 days/1.9 month,7.9 months/0 days/2.2 months,-2.25%,3.17%,-5.42%,0.02,0.16,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,1.14%,0.31%,1.43,1.27,38.3006,100.0%,-9.6,0
TRENDPULSE,"XIU.TO, Long, 2026-03-01 (Price: 49.71)",Weekly,2026-06-14 (Price: 51.75),52.0861 (Backtested Max),No Date Target,3.67%/29.79%,"4.53%, 3.9 months","2026-06-26 (Price: 51.96), 4.53% above",67.44 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2),2027-09-25 (Max)/2026-08-17 (Avg),35.35/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/44.14,"100.0%, Past 10 years, 17",49.56,No Information,No Information,No Information,No Information,No Information,4.82% above/4.53% above/4.53% above,4.78%/1.1%/3.1%,N/A,"0%, 32.4%",1.1 year/28 days/3.9 months,1.1 year/28 days/3.9 months,4.9%,4.74%,0.16%,1.7,0.24,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),equity_etf,3.10%,0.90%,0.21,-0.11,49.5707,-46.0%,13.6,80
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",Monthly,No Exit Yet,52.322 (Backtested Max),No Date Target,1.43%/3.67%,"11.91%, 6.9 months","2026-06-26 (Price: 51.96), 11.91% above",52.7027 (Historic Rise or Fall to Pivot)/67.39 (Function Specific Target)/53.8646 (F-Stack 1)/79.5406 (F-Stack 2),2027-08-17 (Max)/2026-09-30 (Avg),28.76/27.9467/37.996/28.1885/No F-Track Level/No F-Track Level/41.03,"100.0%, Past 20 years, 14",45.21,No Information,No Information,No Information,No Information,No Information,16.06% above/14.53% above/11.91% above,12.69%/2.94%/7.95%,N/A,"-0.0%, 19.49%",1.2 year/4 months/7 months,1.2 year/0 days/6.5 months,5.69%,4.39%,1.3%,2.04,0.21,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),equity_etf,7.95%,4.55%,0.38,-0.29,44.7699,-49.8%,18.3,76
FRACTAL TRACK,"KWEB, Long, 2026-04-19 (Price: 30.45)",Weekly,No Exit Yet,No Price Target,2026-06-27 (Min),40.94%/46.36%,"-21.38%, 2.3 months","2026-06-26 (Price: 23.94), 21.38% below",36.1716 (Avg % Gain of Historic Winning trades)/42.86 (Function Specific Target)/54.865 (Horizontal)/112.1402 (F-Stack 1)/127.8094 (F-Stack 2)/33.74 (EMA 200)/39.6215 (Backtested Max)/35.0388 (Backtested Min),2029-07-29 (Max)/2026-06-27 (Min)/2027-06-10 (Avg),27.91/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 12 years, 9",28.35,No Information,No Information,No Information,"78.6% (Price: 27.1066), 11.68% below, Upmove Bounce Back","2024-01-28 (Price: 22.68), 2025-10-05 (Price: 43.365)",No Information,30.12%/15.07%/18.79%,N/A,"-0.0%, 42.44%",2.3 years/1.6 month/9.6 months,2.3 years/0 days/6.4 months,12.25%,-0.22%,12.47%,1.18,0.04,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity_etf,18.79%,18.96%,N/A,N/A,30.4500,100.0%,42.8,87
TRENDPULSE,"KWEB, Long, 2026-04-15 (Price: 29.64)",Daily,No Exit Yet,No Price Target,2026-06-27 (Avg),29.72%/32.2%,"-19.23%, 2.4 months","2026-06-26 (Price: 23.94), 19.23% below",31.0538 (Historic Rise or Fall to Pivot)/31.6496 (Avg % Gain of Historic Winning trades)/34.49 (Function Specific Target)/54.865 (Horizontal)/112.1402 (F-Stack 1)/127.8094 (F-Stack 2)/35.9 (EMA 200)/34.4031 (Backtested Max),2027-04-19 (Max)/2026-06-27 (Avg),27.78/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 20",29.27,No Information,No Information,No Information,No Information,No Information,16.64% below/19.23% below/19.23% below,16.07%/2.37%/6.78%,N/A,"-0.0%, 44.9%",8.5 months/4 days/1.7 month,8.5 months/0 days/1.6 month,17.43%,-9.9%,27.33%,1.18,-0.19,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity_etf,6.78%,8.67%,N/A,N/A,20.5247,100.0%,59.7,60
FRACTAL TRACK,"NVDA, Long, 2026-04-19 (Price: 201.68)",Weekly,2026-06-26 (Price: 192.53),No Price Target,No Date Target,20.69%/22.43%,"-4.54%, 2.3 months","2026-06-26 (Price: 192.53), 4.54% below",235.7236 (Historic Rise or Fall to Pivot)/241.1689 (Avg % Gain of Historic Winning trades)/277.02 (Function Specific Target)/239.8943 (F-Stack 1)/283.6698 (F-Stack 2)/249.9622 (Backtested Max)/232.3555 (Backtested Min),2031-07-31 (Max)/2027-09-22 (Avg),167.52/13.9695/176.5924/152.8996/No F-Track Level/No F-Track Level/190.64,"100.0%, Past 20 years, 10",186.03,No Information,No Information,No Information,"38.2% (Price: 164.2223), 17.24% above, Upmove Bounce Back","2025-04-13 (Price: 86.62), 2025-11-02 (Price: 212.19)",No Information,23.94%/15.21%/19.58%,N/A,"-0.0%, 43.1%",3.7 years/21 days/1 year,3.7 years/0 days/10.9 months,12.26%,25.02%,-12.76%,1.84,1.04,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity,19.58%,-12.89%,19.95,15.83,201.6800,100.0%,4.5,87
OSCILLATOR DELTA,"RELIANCE.NS, Long, 2026-06-15 (Price: 1307.0)",Daily,2026-06-24 (Price: 1313.6),No Price Target,No Date Target,2.18%/4.03%,"0.73%, 10 days","2026-06-25 (Price: 1316.5), 0.73% above",1369.6053 (Historic Rise or Fall to Pivot)/1345.1644 (Avg % Gain of Historic Winning trades)/1489.98 (Function Specific Target)/1610.3 (Horizontal)/1879.7264 (F-Stack 1)/2065.5547 (F-Stack 2)/1421.11 (EMA 200)/1486.7125 (Backtested Max),2026-12-05 (Max)/2026-07-19 (Avg),No Recent Minima/1016.3918/1288.3015/1032.6763/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"95.24%, Past 6 years, 21",1315.3,No Information,No Information,No Information,No Information,No Information,No Information,13.75%/0.08%/2.92%,-11.14%/-11.14%/-11.14%,"11.14%, 12.26%",4 months/2 days/24 days,4 months/0 days/25 days,10.52%,5.82%,4.7%,0.42,0.3,90.26%/154/25 days (Across ALL Assets),79.53%/513/25 days (Across ALL Assets),equity,2.25%,1.67%,1.36,1.32,1307.0000,75.1%,38.5,0
PULSEGAUGE,"ATD.TO, Long, 2023-11-29 (Price: 76.23)",Weekly,2026-06-23 (Price: 91.87),95.0969 (Avg % Gain of Historic Winning trades)/93.6409 (Backtested Min),No Date Target,2.9%/9.68%,"22.56%, 2.6 years","2026-06-26 (Price: 93.43), 22.56% above",96.14 (F-Stack 2)/102.476 (Backtested Max),2028-03-11 (Max),68.98/39.8362/59.8475/53.4732/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"89.47%, Past 25 years, 19",79.2,No Information,No Information,No Information,No Information,No Information,No Information,34.43%/22.84%/24.75%,-34.5%/-35.58%/-35.04%,"35.58%, 43.13%",3 years/7 days/7.9 months,3 years/0 days/7.3 months,12.64%,14.04%,-1.4%,0.69,0.05,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),equity,18.45%,6.25%,0.95,0.22,76.2300,8.8%,23.4,87
