Function,"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Asset Class,Expected Return E[R] [%],Signal Alpha Per Trade [%],R:R Static,R:R Dynamic,Theoretical Entry Price [$],Reward Remaining [%],Signal Quality Composite Score,Timeliness Score
FRACTAL TRACK,"BTC-USD, Long, 2026-06-21 (Price: 63237.5391)",No Exit Yet,"1.6%, 1 day","85.71%, Past 11 years, 7","Weekly, was CONFIRMED on 2026-06-21",Already confirmed,"2026-06-22 (Price: 64246.4102), 1.6% above",1 day,65710.0938,No Information,No Information,No Information,"88.6% (Price: 57907.9971), 10.95% above, Upmove Bounce Back","2024-08-11 (Price: 49121.2383), 2025-10-12 (Price: 126198.0703)",No Information,23.7%/15.62%/20.0%,-5.43%/-5.43%/-5.43%,"5.43%, 65.2%",2 years/14 days/6.6 months,2 years/0 days/4 months,2029-04-28/2026-07-11/2027-04-03,15.82%,35.1%,-19.28%,0.85,1.3,No Target/75885.0469/109483.64/124582.2656/128961.5315/139224.439/77963.41,61579.05/18304.4229/57447.2152/51395.9501/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),crypto,16.37%,-0.35%,4.82,5.48,63237.5391,92.0%,2.2,93
FRACTAL TRACK,"XLU, Long, 2026-06-21 (Price: 44.76)",No Exit Yet,"-0.09%, 1 day","100.0%, Past 20 years, 23","Weekly, was CONFIRMED on 2026-06-21",Already confirmed,"2026-06-22 (Price: 44.72), 0.09% below",1 day,44.48,No Information,No Information,No Information,"38.2% (Price: 43.1052), 3.75% above, Upmove Bounce Back","2025-04-13 (Price: 35.51), 2026-03-01 (Price: 47.8)",No Information,18.94%/4.73%/14.11%,N/A,"-0.0%, 43.89%",6.8 years/4.2 months/1.5 year,6.8 years/0 days/1.4 year,2036-03-05/2026-12-20/2028-08-11,9.74%,3.63%,6.11%,1.27,0.14,45.9551/51.0756/52.13/47.3425/49.4858/65.2454/No EMA 200 Target,43.87/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/44.56,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity_etf,14.11%,6.86%,39.44,37.73,44.7600,100.0%,18.4,93
FRACTAL TRACK,"XLF, Long, 2026-06-21 (Price: 53.57)",No Exit Yet,"0.24%, 1 day","100.0%, Past 20 years, 19","Weekly, was CONFIRMED on 2026-06-21",Already confirmed,"2026-06-22 (Price: 53.7), 0.24% above",1 day,53.76,No Information,No Information,No Information,"23.66% (Price: 50.1484), 7.08% above, Upmove Bounce Back","2022-10-16 (Price: 29.59), 2026-01-11 (Price: 56.52)",No Information,18.9%/6.5%/15.52%,N/A,"-0.0%, 39.33%",2.9 years/2.1 months/1.1 year,2.9 years/0 days/1 year,2030-08-11/2026-09-20/2028-01-15,11.04%,2.52%,8.52%,2.08,0.11,58.7984/61.8841/69.73/No Horizontal Resistance/70.6138/110.4396/No EMA 200 Target,47.81/30.1167/45.9996/No stop loss/No F-Track Level/No F-Track Level/52.55,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity_etf,15.52%,11.92%,7.25,7.31,53.5700,98.4%,24.4,93
FRACTAL TRACK,"BTI, Long, 2026-06-21 (Price: 58.91)",No Exit Yet,"-0.02%, 1 day","92.31%, Past 20 years, 13","Weekly, was CONFIRMED on 2026-06-21",Already confirmed,"2026-06-22 (Price: 58.9), 0.02% below",1 day,62.13,No Information,No Information,No Information,"23.66% (Price: 58.0608), 1.45% above, Upmove Bounce Back","2024-04-21 (Price: 28.25), 2026-05-17 (Price: 67.3)",No Information,18.23%/0.47%/14.35%,-9.4%/-9.4%/-9.4%,"9.4%, 36.12%",3.2 years/3.3 months/1.4 year,3.2 years/0 days/11.6 months,2031-01-14/2026-11-11/2028-06-18,7.54%,2.99%,4.55%,0.67,0.12,63.935/67.3636/82.34/59.135/82.226/92.0468/No EMA 200 Target,56.68/28.5067/52.4418/49.3734/No F-Track Level/No F-Track Level/57.57,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity,12.52%,8.39%,6.36,9.13,58.9100,100.0%,24.7,93
FRACTAL TRACK,"RHHBY, Long, 2026-06-21 (Price: 49.74)",No Exit Yet,"-1.19%, 1 day","100.0%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-06-21",Already confirmed,"2026-06-22 (Price: 49.15), 1.19% below",1 day,51.43,No Information,No Information,No Information,"38.2% (Price: 48.7597), 0.8% above, Upmove Bounce Back","2024-05-05 (Price: 29.2), 2026-03-01 (Price: 60.85)",No Information,20.21%/3.05%/15.15%,N/A,"0%, 43.58%",5.7 years/2.8 months/2.8 years,5.7 years/2.8 months/2.8 years,2034-08-10/2026-10-20/2030-06-18,5.8%,3.11%,2.69%,0.51,0.12,56.3902/57.2756/68.73/52.46/65.2057/86.6196/No EMA 200 Target,47.39/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/49.73,89.09%/55/1.4 year (Across ALL Assets),61.63%/172/7.4 months (Across ALL Assets),equity,15.15%,2.72%,4.23,5.72,49.7400,100.0%,11.6,93
DELTADRIFT,"CNQ.TO, Long, 2026-06-19 (Price: 58.66)",No Exit Yet,"0.82%, 3 days","91.67%, Past 4 years, 12","Daily, was CONFIRMED on 2026-06-19",Already confirmed,"2026-06-22 (Price: 59.14), 0.82% above",3 days,57.83,No Information,No Information,No Information,No Information,No Information,No Information,7.62%/2.28%/3.92%,-8.41%/-8.41%/-8.41%,"8.41%, 14.98%",2.1 months/2 days/13 days,3.1 months/0 days/19 days,2026-09-18/2026-06-21/2026-07-07,11.02%,14.73%,-3.71%,0.58,0.76,66.7903/60.9595/63.87/No Horizontal Resistance/68.6522/72.1856/No EMA 200 Target,57.95/34.9317/48.4386/46.0303/No F-Track Level/No F-Track Level/53.76,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,2.89%,1.78%,1.95,0.80,58.6600,79.1%,40.1,40
TRENDPULSE,"NA.TO, Long, 2026-06-18 (Price: 220.41)",No Exit Yet,"1.22%, 4 days","77.27%, Past 4 years, 22","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 223.1), 1.22% above",4 days,218.5,No Information,No Information,No Information,No Information,No Information,1.22% above/1.22% above/1.22% above,4.34%/1.0%/2.71%,-4.08%/-4.62%/-4.19%,"4.62%, 23.98%",3 months/6 days/20 days,6.1 months/0 days/1.9 month,2026-10-26/2026-06-26/2026-07-16,10.1%,16.0%,-5.9%,0.13,1.22,226.9782/226.3831/308.09/No Horizontal Resistance/No Target/299.9136/No EMA 200 Target,197.89/82.9367/188.6608/134.0186/No F-Track Level/No F-Track Level/176.46,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,1.14%,-2.48%,0.24,0.05,220.4110,55.0%,-14.3,20
TRENDPULSE,"MSE.PA, Long, 2026-06-18 (Price: 72.0)",No Exit Yet,"-0.35%, 4 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 71.75), 0.35% below",4 days,71.71,No Information,No Information,No Information,No Information,No Information,0.28% above/0.35% below/0.35% below,4.76%/0.41%/2.25%,N/A,"-0.0%, 13.59%",3.5 months/6 days/1.3 month,3.5 months/0 days/1.2 month,2026-11-17/2026-06-26/2026-08-13,8.04%,9.85%,-1.81%,1.25,0.65,74.2824/73.62/93.02/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,68.25/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/64.82,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,2.25%,0.84%,0.46,0.45,71.5497,100.0%,20.3,20
TRENDPULSE,"^STI, Long, 2026-06-18 (Price: 5212.8398)",No Exit Yet,"-0.17%, 4 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 5204.0098), 0.17% below",4 days,5176.46,No Information,No Information,No Information,No Information,No Information,0.53% above/0.17% below/0.17% below,2.41%/0.34%/1.09%,-2.51%/-2.51%/-2.51%,"2.51%, 7.79%",1.4 month/7 days/18 days,6.3 months/0 days/1.3 month,2026-08-17/2026-06-28/2026-07-14,5.52%,8.25%,-2.73%,0.1,0.71,5379.6507/5269.6598/6384.98/No Horizontal Resistance/No Target/6233.5022/No EMA 200 Target,4958.85/3079.5663/4356.5412/3433.5319/No F-Track Level/No F-Track Level/4727.45,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),index,0.62%,-0.66%,0.23,0.12,5176.5740,100.0%,-3.2,20
TRENDPULSE,"BEL.NS, Long, 2026-06-18 (Price: 428.6)",No Exit Yet,"0.68%, 4 days","100.0%, Past 4 years, 28","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 431.5), 0.68% above",4 days,422.5,No Information,No Information,No Information,No Information,No Information,2.77% above/0.68% above/0.68% above,21.42%/1.11%/5.76%,N/A,"-0.0%, 22.01%",3.4 months/4 days/1 month,3.4 months/0 days/29 days,2026-11-12/2026-06-23/2026-07-31,27.61%,37.89%,-10.28%,0.99,1.93,465.9311/453.2874/455.51/433.5/456.8119/613.9011/No EMA 200 Target,402.3/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/418.33,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,5.76%,1.40%,1.89,1.16,419.8696,88.2%,44.8,20
DELTADRIFT,"DBC, Long, 2026-06-18 (Price: 27.63)",No Exit Yet,"-0.8%, 4 days","76.92%, Past 4 years, 13","Daily, was CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 27.41), 0.8% below",4 days,27.53,No Information,No Information,No Information,No Information,No Information,No Information,3.39%/1.26%/2.45%,-5.13%/-9.86%/-7.03%,"9.86%, 10.73%",1.2 month/1 day/14 days,1.5 month/0 days/16 days,2026-08-09/2026-06-19/2026-07-08,3.2%,5.47%,-2.27%,-0.02,0.28,29.0695/28.3069/28.69/28.58/61.3269/86.3141/No EMA 200 Target,23.59/20.84/22.4363/No stop loss/No F-Track Level/No F-Track Level/25.47,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),commodity_etf,0.26%,-0.09%,0.35,0.41,27.6300,100.0%,-4.2,20
DELTADRIFT,"USO, Long, 2026-06-18 (Price: 114.87)",No Exit Yet,"-1.9%, 4 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-06-18",Already confirmed,"2026-06-22 (Price: 112.69), 1.9% below",4 days,112.47,No Information,No Information,No Information,No Information,No Information,No Information,7.29%/2.64%/4.33%,-14.67%/-14.67%/-14.67%,"14.67%, 16.99%",3.6 months/2 days/25 days,3.6 months/0 days/28 days,2026-11-21/2026-06-20/2026-07-24,8.19%,12.53%,-4.34%,0.32,0.61,124.5306/119.8439/122.19/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,114.23/58.7667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/94.06,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),commodity_etf,2.60%,1.21%,0.26,0.25,114.8700,100.0%,11.8,20
TRENDPULSE,"FPH.NZ, Long, 2026-06-17 (Price: 38.85)",No Exit Yet,"-1.62%, 5 days","85.71%, Past 4 years, 42","Daily, is CONFIRMED on 2026-06-17",Already confirmed,"2026-06-22 (Price: 38.22), 1.62% below",5 days,38.45,No Information,No Information,No Information,No Information,No Information,0.16% above/1.62% below/1.62% below,11.0%/0.47%/3.5%,-1.17%/-35.07%/-13.04%,"35.07%, 42.38%",5.1 months/11 days/1.9 month,7.9 months/0 days/2.2 months,2027-01-24/2026-07-02/2026-09-07,-2.25%,3.17%,-5.42%,0.02,0.16,41.1888/40.2097/40.38/40.93/40.9296/48.5677/No EMA 200 Target,32.38/22.5167/30.9793/26.1935/No F-Track Level/No F-Track Level/37.55,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,1.14%,0.31%,2.00,2.35,38.1589,100.0%,-9.6,0
TRENDPULSE,"NOVA.F, Long, 2026-06-17 (Price: 38.52)",No Exit Yet,"3.89%, 5 days","92.86%, Past 4 years, 14","Daily, is CONFIRMED on 2026-06-17",Already confirmed,"2026-06-22 (Price: 40.02), 3.89% above",5 days,37.22,No Information,No Information,No Information,No Information,No Information,3.89% above/3.89% above/3.89% above,12.24%/1.53%/6.84%,-11.07%/-11.07%/-11.07%,"11.07%, 36.03%",1 month/7 days/17 days,6.1 months/0 days/28 days,2026-07-30/2026-06-27/2026-07-11,12.65%,3.27%,9.38%,0.79,0.21,40.5384/41.1548/88.01/126.5/138.0871/146.706/41.26,35.5/No Horizontal Support/33.7767/28.7825/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,5.56%,5.20%,0.61,-0.06,38.5215,43.1%,81.5,0
TRENDPULSE,"MAZDOCK.NS, Long, 2026-06-17 (Price: 2552.3999)",No Exit Yet,"-0.42%, 5 days","90.48%, Past 4 years, 21","Daily, is CONFIRMED on 2026-06-17",Already confirmed,"2026-06-22 (Price: 2541.7), 0.42% below",5 days,2474.0,No Information,No Information,No Information,No Information,No Information,4.15% above/0.42% below/0.42% below,30.67%/1.66%/11.99%,-5.97%/-17.79%/-11.88%,"17.79%, 32.27%",3.8 months/8 days/24 days,5.7 months/0 days/1.2 month,2026-11-29/2026-06-28/2026-07-21,25.45%,51.42%,-25.97%,0.72,2.03,2998.5594/2858.4326/2666.16/2588.15/3563.3046/3898.3519/2561.08,2347.5/112.6583/2535.9454/1693.9315/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),equity,9.72%,2.37%,52.96,39.78,2440.4225,100.0%,44.8,0
DELTADRIFT,"USCI, Long, 2026-06-17 (Price: 93.54)",No Exit Yet,"-0.9%, 5 days","90.91%, Past 4 years, 11","Daily, was CONFIRMED on 2026-06-17",Already confirmed,"2026-06-22 (Price: 92.7), 0.9% below",5 days,94.24,No Information,No Information,No Information,No Information,No Information,No Information,4.2%/1.48%/2.63%,-7.63%/-7.63%/-7.63%,"7.63%, 8.04%",22 days/1 day/10 days,22 days/0 days/9 days,2026-07-18/2026-06-18/2026-07-01,6.99%,12.71%,-5.72%,0.43,0.89,100.8642/96.0001/98.43/No Horizontal Resistance/107.1436/112.9927/No EMA 200 Target,91.98/51.03/90.2685/81.0354/No F-Track Level/No F-Track Level/85.86,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets),equity,1.70%,1.24%,3.39,5.58,93.5400,100.0%,49.1,0
