"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Signal Type,Track Level/Price($),Price on Latest Trading day vs Track Level,"Reference Upmove or Downmove start Date/Price($), end Date/Price($)",Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"SONY, Long, 2026-04-12 (Price: 21.05)",No Exit Yet,"3.09%, 5 days","100.0%, Past 20 years, 20","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 21.7), 3.09% above",5 days,Upmove Bounce Back,38.2% (Price: 19.4813),11.39% above,"2012-12-09 (Price: 1.914), 2025-11-16 (Price: 30.34)",22.46%/3.67%/15.62%,"-0.0%, 82.39%",11.3 years/14 days/1.3 year,2042-05-30/2026-05-02/2028-02-18,9.08%,2.8%,6.28%,0.0,0.16,21.9404/24.338/38.11/26.85/33.2191/35.3948/25.57,19.91/14.992/16.3295/14.1868/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),20.65
"BIPC.TO, Long, 2026-04-12 (Price: 58.11)",No Exit Yet,"-1.07%, 5 days","100.0%, Past 18 years, 4","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 57.49), 1.07% below",5 days,Upmove Bounce Back,78.6% (Price: 50.9109),12.92% above,"2025-04-13 (Price: 45.7), 2026-02-15 (Price: 70.05)",16.58%/5.26%/12.71%,"-0.0%, 43.75%",3.2 years/2.3 months/1.3 year,2030-11-05/2026-07-20/2028-02-18,8.35%,6.28%,2.07%,0.0,0.32,59.9986/65.4958/72.72/67.0517/No Next Fib Ext/No Next Fib Ext/60.43,52.45/44.9667/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),55.81
"DOL.TO, Long, 2026-04-12 (Price: 176.82)",No Exit Yet,"-0.18%, 5 days","100.0%, Past 16 years, 5","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 176.51), 0.18% below",5 days,Upmove Bounce Back,23.66% (Price: 168.4935),4.76% above,"2020-03-22 (Price: 34.7), 2025-12-14 (Price: 209.96)",23.76%/3.36%/13.51%,"-0.0%, 37.85%",2.6 years/1.9 month/1 year,2029-12-27/2026-07-03/2027-09-15,7.2%,18.41%,-11.21%,0.0,1.16,188.2603/200.7084/281.98/199.54/294.0831/455.769/189.94,166.76/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),172.35
"EFN.TO, Long, 2026-04-12 (Price: 32.09)",No Exit Yet,"1.99%, 5 days","90.0%, Past 20 years, 10","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 32.73), 1.99% above",5 days,Upmove Bounce Back,23.66% (Price: 29.9672),9.22% above,"2018-03-18 (Price: 3.21), 2025-11-02 (Price: 38.26)",27.12%/15.11%/17.81%,"4.16%, 79.1%",4.3 years/2.6 months/1 year,2032-06-01/2026-08-02/2027-09-15,7.3%,9.68%,-2.38%,0.0,0.49,35.7836/37.8052/53.12/34.925/45.1741/70.5281/35.24,30.11/12.67/29.5041/No stop loss/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),30.62
"^NZ50, Long, 2026-04-12 (Price: 13181.4404)",No Exit Yet,"-2.09%, 5 days","100.0%, Past 20 years, 9","Weekly, was CONFIRMED on 2026-04-12",Already confirmed,"2026-04-17 (Price: 12905.6699), 2.09% below",5 days,Upmove Bounce Back,23.66% (Price: 12444.8947),3.7% above,"2020-03-29 (Price: 8209.04), 2026-01-18 (Price: 13757.71)",16.08%/8.71%/13.84%,"-0.0%, 11.02%",1.7 year/2.8 months/10.1 months,2028-09-14/2026-08-11/2027-06-24,7.82%,4.43%,3.39%,0.0,0.22,13615.1098/15005.7518/16510.64/13448.908/14773.8816/17170.3822/13223.88,12902.15/10608.2731/12904.4271/10062.5272/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),12902.1504
"EURUSD=X, Long, 2026-04-05 (Price: 1.1542)",No Exit Yet,"1.95%, 12 days","100.0%, Past 20 years, 11","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 1.1767), 1.95% above",12 days,Upmove Bounce Back,23.66% (Price: 1.1436),2.89% above,"2022-10-02 (Price: 0.954), 2026-02-01 (Price: 1.2024)",15.74%/3.0%/6.92%,"-0.0%, 9.9%",1.6 year/4 months/9.6 months,2028-07-17/2026-09-25/2027-05-27,4.61%,-0.17%,4.78%,0.0,-0.5,No Target/1.2341/1.3/1.1998/1.6296/1.7649/1.17,1.15/1.0208/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),1.1492
"SFTBY, Long, 2026-04-05 (Price: 11.49)",2026-04-17 (Price: 14.74),"28.29%, 12 days","100.0%, Past 14 years, 12","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 14.74), 28.29% above",12 days,Upmove Bounce Back,61.8% (Price: 10.4799),40.65% above,"2020-03-22 (Price: 3.05), 2025-11-02 (Price: 22.5)",29.9%/6.41%/20.24%,"-0.0%, 64.01%",4.4 years/28 days/11.4 months,2032-07-16/2026-05-15/2027-08-13,16.58%,9.8%,6.78%,0.0,0.48,12.9894/13.8156/23.16/11.9025/23.8631/28.8451/13.85,10.91/4.205/10.0807/8.1314/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),11.56
"XLU, Long, 2026-04-05 (Price: 46.34)",No Exit Yet,"-0.39%, 12 days","100.0%, Past 20 years, 21","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 46.16), 0.39% below",12 days,Upmove Bounce Back,23.66% (Price: 44.8922),2.82% above,"2025-04-13 (Price: 35.51), 2026-03-01 (Price: 47.8)",18.94%/4.73%/14.27%,"0%, 42.71%",6.5 years/4.2 months/1.3 year,2035-07-16/2026-10-04/2028-02-11,10.6%,3.98%,6.62%,0.0,0.17,47.7163/52.9527/53.71/No Horizontal Resistance/49.4858/65.2454/No EMA 200 Target,42.51/29.8725/43.7042/35.4254/No F-Track Level/No F-Track Level/43.97,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),46.17
"BAC, Long, 2026-04-05 (Price: 49.38)",No Exit Yet,"9.17%, 12 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 53.91), 9.17% above",12 days,Upmove Bounce Back,50% (Price: 45.31),18.98% above,"2025-04-13 (Price: 33.07), 2026-01-11 (Price: 57.55)",23.39%/15.5%/17.77%,"-0.0%, 66.1%",3.5 years/7 days/11.2 months,2031-04-04/2026-04-15/2027-08-04,14.41%,0.32%,14.09%,0.0,0.15,53.5427/58.1548/64.07/No Horizontal Resistance/72.41/85.2389/51.15,46.72/29.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),47.55
"RHHBY, Long, 2026-04-05 (Price: 49.85)",No Exit Yet,"2.69%, 12 days","100.0%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 51.19), 2.69% above",12 days,Upmove Bounce Back,38.2% (Price: 47.2508),8.34% above,"2016-12-11 (Price: 25.25), 2026-03-01 (Price: 60.85)",21.61%/3.05%/15.13%,"0%, 43.58%",5.7 years/3 months/2.7 years,2034-05-25/2026-08-13/2030-02-10,5.9%,3.51%,2.39%,0.0,0.15,56.6196/57.3923/71.21/52.46/65.2057/86.6196/No EMA 200 Target,47.39/34.5167/41.5794/31.0544/No F-Track Level/No F-Track Level/47.29,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),49.02
"SJ.TO, Long, 2026-04-05 (Price: 93.2)",No Exit Yet,"-10.18%, 12 days","100.0%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 83.71), 10.18% below",12 days,Upmove Bounce Back,38.2% (Price: 86.3929),3.11% below,"2025-04-13 (Price: 62.26), 2026-02-15 (Price: 101.31)",21.37%/1.1%/14.81%,"-0.0%, 49.7%",7.2 years/1.2 month/1.4 year,2036-07-15/2026-05-27/2028-04-02,8.83%,10.8%,-1.97%,0.0,0.56,105.8938/107.0029/116.63/No Horizontal Resistance/95.0177/123.2166/No EMA 200 Target,88.63/38.015/87.8633/66.807/No F-Track Level/No F-Track Level/85.14,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),94.19
"EFA, Long, 2026-04-05 (Price: 98.0)",No Exit Yet,"6.45%, 12 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 104.32), 6.45% above",12 days,Upmove Bounce Back,38.2% (Price: 93.0322),12.13% above,"2025-04-13 (Price: 72.15), 2026-03-01 (Price: 105.94)",16.48%/4.35%/14.67%,"0%, 37.48%",6.7 years/3 months/1.9 year,2035-10-28/2026-08-13/2028-12-20,7.42%,1.45%,5.97%,0.0,-0.02,100.2932/112.3766/118.27/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,93.59/66.265/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/95.59,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),94.72
"EWJ, Long, 2026-04-05 (Price: 85.29)",No Exit Yet,"5.75%, 12 days","94.12%, Past 20 years, 17","Weekly, was CONFIRMED on 2026-04-05",Already confirmed,"2026-04-17 (Price: 90.19), 5.75% above",12 days,Upmove Bounce Back,23.66% (Price: 81.8183),10.23% above,"2020-03-22 (Price: 41.61), 2026-02-15 (Price: 94.28)",17.95%/2.64%/13.7%,"1.05%, 28.1%",3.7 years/3.3 months/1.3 year,2031-07-17/2026-08-26/2028-02-11,8.64%,1.37%,7.27%,0.0,-0.04,91.6697/96.9747/116.89/No Horizontal Resistance/95.5508/104.8752/No EMA 200 Target,81.2/53.915/83.4752/68.8472/No F-Track Level/No F-Track Level/82.34,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),82.65
"GOOG, Long, 2026-04-01 (Price: 294.9)",2026-04-14 (Price: 330.58),"12.1%, 13 days","93.33%, Past 5 years, 15","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-17 (Price: 339.4), 15.09% above",16 days,Upmove Bounce Back,23.66% (Price: 278.3121),21.95% above,"2023-07-11 (Price: 115.83), 2025-11-25 (Price: 328.67)",14.46%/1.56%/9.64%,"3.48%, 44.6%",2.6 years/25 days/8.1 months,2029-12-16/2026-05-07/2027-03-18,16.46%,14.57%,1.89%,0.0,0.75,321.7064/323.3284/422.6/No Horizontal Resistance/345.4418/365.3613/No EMA 200 Target,273.14/84.51/285.4807/240.3589/No F-Track Level/No F-Track Level/272.84,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),289.98
"TSM, Long, 2026-04-01 (Price: 341.49)",2026-04-14 (Price: 379.89),"11.24%, 13 days","95.65%, Past 5 years, 23","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-17 (Price: 370.5), 8.5% above",16 days,Upmove Bounce Back,61.8% (Price: 313.955),18.01% above,"2025-11-21 (Price: 266.82), 2026-02-25 (Price: 390.21)",13.85%/10.09%/11.58%,"1.02%, 51.98%",2.1 years/6 days/3.5 months,2029-03-31/2026-04-09/2026-08-31,40.24%,15.76%,24.48%,0.0,0.75,376.8342/381.0345/415.52/No Horizontal Resistance/436.8357/502.8791/No EMA 200 Target,316.5/83.575/334.306/272.4436/No F-Track Level/No F-Track Level/297.62,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),343.9
"JETS, Long, 2026-04-01 (Price: 25.27)",2026-04-17 (Price: 27.92),"10.49%, 16 days","100.0%, Past 5 years, 14","Daily, was CONFIRMED on 2026-04-01",Already confirmed,"2026-04-17 (Price: 27.92), 10.49% above",16 days,Upmove Bounce Back,50% (Price: 23.01),21.34% above,"2023-10-31 (Price: 14.69), 2026-02-11 (Price: 31.33)",14.21%/6.23%/11.43%,"-0.0%, 40.54%",3.2 years/16 days/1.1 year,2030-10-25/2026-04-24/2027-10-26,18.68%,-1.36%,20.04%,0.0,-0.04,26.857/28.1584/35.25/27.1773/No Next Fib Ext/No Next Fib Ext/26.24,23.64/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),25.07
"PG, Long, 2026-03-31 (Price: 144.44)",No Exit Yet,"1.72%, 17 days","82.35%, Past 39 years, 17","Monthly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-17 (Price: 146.93), 1.72% above",17 days,Upmove Bounce Back,23.66% (Price: 140.4168),4.64% above,"1993-08-31 (Price: 11.3125), 2024-11-30 (Price: 180.43)",28.42%/2.46%/17.69%,"3.78%, 32.43%",5.2 years/4.1 months/1.6 year,2033-09-01/2026-09-23/2028-07-12,6.45%,5.97%,0.48%,0.0,0.32,147.8777/169.9914/245.91/179.4533/186.6499/209.3631/151.24,143.31/130.72/140.2317/117.5404/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),165.29
"TD, Long, 2026-03-31 (Price: 93.31)",2026-04-14 (Price: 103.13),"10.52%, 14 days","100.0%, Past 5 years, 11","Daily, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-17 (Price: 105.35), 12.9% above",17 days,Upmove Bounce Back,23.66% (Price: 89.2001),18.11% above,"2025-04-07 (Price: 54.87), 2026-02-27 (Price: 99.84)",11.2%/0.13%/8.65%,"-0.0%, 37.04%",3.8 years/29 days/1.6 year,2031-09-02/2026-05-12/2028-07-12,10.04%,5.28%,4.76%,0.0,0.27,99.7111/101.3813/120.29/No Horizontal Resistance/115.2091/125.1041/No EMA 200 Target,91.37/54.526/75.6865/62.3451/No F-Track Level/No F-Track Level/85.68,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),92.52
"PPL.TO, Long, 2026-03-31 (Price: 62.27)",No Exit Yet,"-6.58%, 17 days","100.0%, Past 22 years, 4","Monthly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-17 (Price: 58.17), 6.58% below",17 days,Upmove Bounce Back,50% (Price: 49.755),16.91% above,"2023-10-31 (Price: 38.79), 2024-11-30 (Price: 60.72)",21.79%/20.55%/21.17%,"-0.0%, 7.07%",9.1 months/9.1 months/9.1 months,2027-04-30 (Max),8.43%,5.11%,3.32%,1.26,0.26,64.4993/75.4526/75.43/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,51.13/37.49/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/54.92,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),61.0
"GS, Long, 2026-03-29 (Price: 802.89)",2026-04-17 (Price: 925.95),"15.33%, 19 days","100.0%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-17 (Price: 925.95), 15.33% above",19 days,Upmove Bounce Back,23.66% (Price: 782.6791),18.31% above,"2020-03-22 (Price: 130.85), 2026-01-18 (Price: 984.7)",25.08%/15.22%/18.64%,"-0.0%, 50.45%",5 years/1.4 month/1.4 year,2033-05-18/2026-05-28/2028-03-26,11.93%,6.09%,5.84%,0.0,0.32,865.114/952.5487/1315.2/No Horizontal Resistance/1261.1009/1964.4733/820.27,782.21/288.555/794.5775/594.2082/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),833.0
"JETS, Long, 2026-03-29 (Price: 24.13)",2026-04-17 (Price: 27.92),"15.71%, 19 days","100.0%, Past 10 years, 8","Weekly, was CONFIRMED on 2026-03-29",Already confirmed,"2026-04-17 (Price: 27.92), 15.71% above",19 days,Upmove Bounce Back,50% (Price: 24.22),15.28% above,"2025-04-13 (Price: 17.11), 2026-02-15 (Price: 31.33)",23.0%/17.86%/19.25%,"-0.0%, 45.1%",4.8 years/1.9 month/1.3 year,2033-02-02/2026-06-19/2028-02-04,10.0%,0.03%,9.97%,0.0,0.05,24.6271/28.775/32.66/27.1773/No Next Fib Ext/No Next Fib Ext/26.24,24.05/14.732/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),25.2
"BEL.NS, Long, 2026-03-25 (Price: 413.45)",2026-04-16 (Price: 455.65),"10.21%, 22 days","92.86%, Past 5 years, 14","Daily, was CONFIRMED on 2026-03-25",Already confirmed,"2026-04-17 (Price: 462.75), 11.92% above",23 days,Upmove Bounce Back,78.6% (Price: 400.352),15.59% above,"2025-12-18 (Price: 380.45), 2026-03-06 (Price: 473.45)",13.85%/10.08%/11.54%,"1.47%, 23.88%",9.7 months/16 days/4.2 months,2027-05-20/2026-04-17/2026-09-23,27.95%,37.48%,-9.53%,0.0,1.95,484.2326/461.1621/469.25/433.5/456.8119/613.9011/No EMA 200 Target,405.5/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/412.17,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),416.3
"EEM, Long, 2026-03-24 (Price: 56.52)",2026-04-14 (Price: 62.24),"10.12%, 21 days","100.0%, Past 5 years, 13","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-17 (Price: 63.64), 12.6% above",24 days,Upmove Bounce Back,38.2% (Price: 54.6604),16.43% above,"2023-10-23 (Price: 36.38), 2026-02-27 (Price: 65.96)",12.05%/4.13%/9.07%,"-0.0%, 16.11%",1.9 year/2 months/7.8 months,2028-12-08/2026-06-18/2027-02-25,20.04%,0.9%,19.14%,0.0,-0.08,56.9269/61.6464/74.27/No Horizontal Resistance/No Next Fib Ext/No Next Fib Ext/No EMA 200 Target,55.64/36.64/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/54.78,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),56.13
"NA.TO, Long, 2026-03-24 (Price: 179.48)",2026-04-13 (Price: 197.54),"10.06%, 20 days","100.0%, Past 5 years, 15","Daily, was CONFIRMED on 2026-03-24",Already confirmed,"2026-04-17 (Price: 202.92), 13.06% above",24 days,Upmove Bounce Back,23.66% (Price: 173.1163),17.22% above,"2025-04-09 (Price: 106.67), 2026-02-27 (Price: 193.71)",15.25%/10.02%/10.96%,"-0.0%, 20.53%",2.3 years/21 days/7.8 months,2029-07-03/2026-04-23/2027-02-25,25.56%,11.52%,14.04%,0.0,0.82,184.7926/199.151/231.7/No Horizontal Resistance/207.1743/217.2943/No EMA 200 Target,175.12/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/163.3,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets),177.81
"AMZN, Long, 2026-03-08 (Price: 213.21)",2026-04-17 (Price: 250.56),"17.52%, 1.3 month","87.5%, Past 20 years, 16","Weekly, was CONFIRMED on 2026-03-08",Already confirmed,"2026-04-17 (Price: 250.56), 17.52% above",1.3 month,Upmove Bounce Back,23.66% (Price: 200.6016),24.9% above,"2018-12-30 (Price: 65.35), 2025-02-09 (Price: 242.52)",24.26%/0.75%/15.96%,"4.55%, 54.31%",2.8 years/28 days/8.6 months,2030-03-05/2026-04-17/2027-03-16,10.46%,18.08%,-7.62%,0.0,0.86,240.7781/247.2383/319.51/241.71/317.6152/339.3352/225.58,198.79/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),204.55
"ETH-USD, Long, 2026-02-22 (Price: 1957.8059)",2026-04-17 (Price: 2343.78),"19.71%, 1.8 month","100.0%, Past 10 years, 6","Weekly, was CONFIRMED on 2026-02-22",Already confirmed,"2026-04-17 (Price: 2343.78), 19.71% above",1.8 month,Upmove Bounce Back,88.6% (Price: 1793.4297),30.69% above,"2025-04-13 (Price: 1386.7993), 2025-08-24 (Price: 4953.7329)",33.25%/15.64%/23.72%,"-0.0%, 44.11%",5.4 months/7 days/2.7 months,2026-10-14/2026-03-04/2026-06-19,38.51%,17.52%,20.99%,0.0,0.91,2096.2228/2422.1975/4097.97/4922.7188/4887.278/5344.0381/2884.63,1576.73/1370.4997/1681.3515/1572.5258/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets),1965.9232
"MU, Long, 2025-12-31 (Price: 285.41)",2026-04-17 (Price: 455.07),"59.44%, 3.6 months","100.0%, Past 41 years, 4","Quarterly, was CONFIRMED on 2025-12-31",Already confirmed,"2026-04-17 (Price: 455.07), 59.44% above",3.6 months,Upmove Bounce Back,88.6% (Price: 60.8685),647.63% above,"2022-12-31 (Price: 48.43), 2024-06-30 (Price: 157.54)",60.09%/30.18%/39.46%,"0%, 84.83%",10.1 years/3.1 months/2.8 years,2040-06-01/2026-05-14/2029-12-28,8.19%,8.72%,-0.53%,0.31,0.46,585.2332/398.0328/350.88/No Horizontal Resistance/No Target/293.6684/No EMA 200 Target,49.98/48.44/232.8481/218.3057/No F-Track Level/No F-Track Level/258.24,100.0%/3/1.4 year (Across ALL Assets),50.0%/2/9.1 months (Across ALL Assets),165.6
"RELIANCE.NS, Long, 2025-11-30 (Price: 1567.5)",2026-04-17 (Price: 1365.0),"-12.92%, 4.6 months","75.0%, Past 48 years, 8","Monthly, was CONFIRMED on 2025-11-30",Already confirmed,"2026-04-17 (Price: 1365.0), 12.92% below",4.6 months,Upmove Bounce Back,23.66% (Price: 1322.8731),3.18% above,"2020-03-31 (Price: 400.3177), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/27.07%,"16.77%, 28.2%",1.6 year/3 months/8.1 months,2028-03-13/2026-04-09/2026-11-16,9.14%,13.13%,-3.99%,0.0,0.61,2357.3632/1991.8222/2292.59/No Horizontal Resistance/2250.6285/2387.5727/No EMA 200 Target,1200.1/855.3207/1503.6962/1393.886/No F-Track Level/No F-Track Level/1442.39,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),1486.0
"RELIANCE.NS, Long, 2025-06-30 (Price: 1500.6)",2026-04-17 (Price: 1365.0),"-9.04%, 9.7 months","75.0%, Past 48 years, 8","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-04-17 (Price: 1365.0), 9.04% below",9.7 months,Upmove Bounce Back,78.6% (Price: 1135.0539),20.26% above,"2023-03-31 (Price: 1006.0696), 2024-07-31 (Price: 1608.8)",42.5%/21.29%/27.07%,"16.77%, 28.2%",1.6 year/3 months/8.1 months,2027-10-12/2025-11-07/2026-06-16,9.14%,13.13%,-3.99%,0.0,0.61,2256.7523/1906.8124/1862.24/No Horizontal Resistance/1879.7264/2250.6285/No EMA 200 Target,1200.1/853.4344/1375.0525/1032.6763/No F-Track Level/No F-Track Level/1442.39,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),1412.1
"PPL.TO, Long, 2025-06-30 (Price: 51.13)",2026-03-31 (Price: 62.27),"21.79%, 9.1 months","100.0%, Past 22 years, 4","Monthly, was CONFIRMED on 2025-06-30",Already confirmed,"2026-04-17 (Price: 58.17), 13.77% above",9.7 months,Upmove Bounce Back,23.66% (Price: 49.1171),18.43% above,"2009-03-31 (Price: 11.68), 2024-11-30 (Price: 60.72)",21.79%/20.55%/21.17%,"-0.0%, 7.07%",9.1 months/9.1 months/9.1 months,2026-07-30 (Max),8.43%,5.11%,3.32%,1.26,0.26,52.9605/61.9542/80.55/51.2133/65.6559/68.3455/54.92,40.84/36.72/47.3773/37.4926/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,90.24%/41/1.4 year (Across ALL Assets),63.64%/66/9.7 months (Across ALL Assets),51.68
"GOOG, Short, 2026-03-31 (Price: 286.86)",2026-04-17 (Price: 339.4),"-18.32%, 17 days","100.0%, Past 21 years, 4","Quarterly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-17 (Price: 339.4), 18.32% above",17 days,Upmove Break Below,23.66% (Price: 287.0488),18.24% above,"2022-12-31 (Price: 83.45), 2026-03-31 (Price: 350.15)",23.19%/7.72%/14.33%,"0.0%, 23.19%",3.1 months/3.1 months/3.1 months,2026-08-12 (Max),6.79%,4.88%,1.91%,5.77,0.76,No Target/245.753/126.84/84.51/285.4807/240.3589/272.84,313.8/No Horizontal Resistance/345.4418/365.3613/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,100.0%/5/4.3 months (Across ALL Assets),53.85%/13/2.1 months (Across ALL Assets),317.59
"HDB, Short, 2026-03-31 (Price: 24.88)",2026-04-17 (Price: 27.51),"-10.57%, 17 days","87.5%, Past 26 years, 8","Quarterly, was CONFIRMED on 2026-03-31",Already confirmed,"2026-04-17 (Price: 27.51), 10.57% above",17 days,Upmove Break Below,88.6% (Price: 26.958),2.05% above,"2022-06-30 (Price: 25.305), 2025-09-30 (Price: 39.805)",27.06%/5.75%/13.58%,"11.89%, 27.06%",9.1 months/3 months/4.6 months,2027-04-30/2026-08-08/2026-10-16,7.12%,4.88%,2.24%,1.53,0.52,No Target/21.5013/16.18/No Horizontal Support/21.1884/14.0692/No EMA 200 Target,38.34/39.3812/40.717/51.346/No F-Track Level/No F-Track Level/34.18,100.0%/5/4.3 months (Across ALL Assets),53.85%/13/2.1 months (Across ALL Assets),36.65
