Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-03-05 (Price: 5.67)",Daily,No Exit Yet,5.9 (Function Specific Target),No Date Target,1.7%/15.48%,"4.23%, 2.1 months","2026-05-06 (Price: 5.91), 4.23% above",6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.0102 (Backtested Max),2027-02-28 (Max)/2026-06-04 (Avg),5.56/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.59%, Past 4 years, 37",5.6,No Information,No Information,No Information,No Information,No Information,4.23% above/4.23% above/4.23% above,6.0%/0.46%/2.59%,"6.51%, 16.22%",8.3 months/20 days/2.1 months,13.84%,2.96%,10.88%,0.23,0.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-02-18 (Price: 5.64)",Daily,No Exit Yet,5.89 (Function Specific Target),No Date Target,1.16%/15.48%,"4.79%, 2.6 months","2026-05-06 (Price: 5.91), 4.79% above",6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/5.9784 (Backtested Max),2027-02-13 (Max)/2026-05-20 (Avg),5.58/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.59%, Past 4 years, 37",5.6,No Information,No Information,No Information,No Information,No Information,5.54% above/4.79% above/4.79% above,6.0%/0.46%/2.59%,"6.51%, 16.22%",8.3 months/20 days/2.1 months,13.84%,2.96%,10.88%,0.23,0.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-02-05 (Price: 5.71)",Daily,No Exit Yet,5.91 (Function Specific Target),2026-05-07 (Avg),2.41%/15.48%,"3.5%, 3 months","2026-05-06 (Price: 5.91), 3.5% above",6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.0526 (Backtested Max),2027-01-31 (Max)/2026-05-07 (Avg),5.52/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"94.59%, Past 4 years, 37",5.63,No Information,No Information,No Information,No Information,No Information,5.16% above/3.5% above/3.5% above,6.0%/0.46%/2.59%,"6.51%, 16.22%",8.3 months/20 days/2.1 months,13.84%,2.96%,10.88%,0.23,0.15,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-03-08 (Price: 5.63)",Weekly,No Exit Yet,No Price Target,2026-05-07 (Min),3.8%/5.01%,"4.97%, 2 months","2026-05-06 (Price: 5.91), 4.97% above",6.1344 (Historic Rise or Fall to Pivot)/6.2059 (Avg % Gain of Historic Winning trades)/6.39 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/6.9987 (Backtested Max),2026-07-29 (Max)/2026-05-07 (Min)/2026-05-25 (Avg),5.46/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 10 years, 20",5.6,No Information,No Information,No Information,No Information,No Information,4.97% above/4.97% above/4.97% above,24.31%/3.73%/10.23%,"-0.0%, 22.1%",3.3 months/1.4 month/1.8 month,11.03%,7.59%,3.44%,0.58,0.4,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"MEL.NZ, Long, 2026-02-15 (Price: 5.76)",Weekly,No Exit Yet,No Price Target,2026-05-04 (Avg),1.1%/6.19%,"2.6%, 2.7 months","2026-05-06 (Price: 5.91), 2.6% above",6.2761 (Historic Rise or Fall to Pivot)/6.3492 (Avg % Gain of Historic Winning trades)/6.44 (Function Specific Target)/6.825 (Horizontal)/7.4565 (F-Stack 1)/8.4564 (F-Stack 2)/7.1603 (Backtested Max)/5.9748 (Backtested Min),2026-07-08 (Max),5.46/4.3875/4.8318/4.5145/No F-Track Level/No F-Track Level/5.73,"100.0%, Past 10 years, 20",5.65,No Information,No Information,No Information,No Information,No Information,3.5% above/2.07% above/2.6% above,24.31%/3.73%/10.23%,"-0.0%, 22.1%",3.3 months/1.4 month/1.8 month,11.03%,7.59%,3.44%,0.58,0.4,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2026-05-03 (Price: 268.26)",Weekly,No Exit Yet,274.5641 (Backtested Min),No Date Target,5.47%/7.41%,"2.51%, 3 days","2026-05-06 (Price: 274.99), 2.51% above",290.0427 (Historic Rise or Fall to Pivot)/295.3543 (Avg % Gain of Historic Winning trades)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/329.9061 (Backtested Max),2027-11-27 (Max)/2026-06-12 (Min)/2026-12-01 (Avg),198.79/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/227.38,"88.0%, Past 10 years, 25",263.425,No Information,No Information,No Information,No Information,No Information,9.75% above/2.51% above/2.51% above,22.98%/2.35%/10.1%,"25.73%, 54.83%",1.1 year/28 days/4.9 months,8.88%,16.61%,-7.73%,0.22,0.84,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2026-04-19 (Price: 250.56)",Weekly,No Exit Yet,275.8666 (Avg % Gain of Historic Winning trades),No Date Target,12.05%/15.5%,"9.75%, 17 days","2026-05-06 (Price: 274.99), 9.75% above",317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/308.1387 (Backtested Max),2027-11-13 (Max)/2026-05-29 (Min)/2026-11-17 (Avg),198.79/86.995/231.81/213.1321/No F-Track Level/No F-Track Level/225.58,"88.0%, Past 10 years, 25",237.45,No Information,No Information,No Information,No Information,No Information,9.75% above/9.75% above/9.75% above,22.98%/2.35%/10.1%,"25.73%, 54.83%",1.1 year/28 days/4.9 months,8.88%,16.61%,-7.73%,0.22,0.84,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"AMZN, Long, 2025-08-31 (Price: 229.0)",Monthly,No Exit Yet,273.0367 (Backtested Min),No Date Target,6.68%/8.65%,"20.08%, 8.3 months","2026-05-06 (Price: 274.99), 20.08% above",293.3719 (Historic Rise or Fall to Pivot)/298.7763 (Avg % Gain of Historic Winning trades)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/346.9808 (Backtested Max),2028-03-26 (Max)/2026-05-23 (Min)/2027-01-30 (Avg),184.42/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/212.82,"86.67%, Past 20 years, 15",217.21,No Information,No Information,No Information,No Information,No Information,25.34% above/20.08% above/20.08% above,51.52%/19.23%/30.47%,"5.07%, 23.74%",1.8 year/6.1 months/11.9 months,15.09%,17.61%,-2.52%,1.28,0.79,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
PULSEGAUGE,"AMZN, Long, 2025-10-10 (Price: 216.37)",Weekly,2026-04-24 (Price: 263.99),282.0816 (Avg % Gain of Historic Winning trades)/275.3308 (Backtested Min),No Date Target,15.5%/15.5%,"27.09%, 6.9 months","2026-05-06 (Price: 274.99), 27.09% above",317.6152 (Function Specific Target)/317.6152 (F-Stack 1)/339.3352 (F-Stack 2)/332.128 (Backtested Max),2027-03-11 (Max)/2026-05-23 (Avg),171.0/86.995/213.1321/193.0625/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"84.21%, Past 25 years, 19",221.0,No Information,No Information,No Information,No Information,No Information,No Information,53.5%/27.25%/30.37%,"42.86%, 50.62%",11.9 months/25 days/5.2 months,13.46%,18.32%,-4.86%,0.6,0.13,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
DELTADRIFT,"WPM.TO, Long, 2026-05-01 (Price: 170.85)",Daily,2026-05-06 (Price: 183.43),No Price Target,No Date Target,3.56%/28.12%,"7.36%, 5 days","2026-05-06 (Price: 183.43), 7.36% above",235.0118 (F-Stack 1)/253.398 (F-Stack 2)/189.9681 (Backtested Max),2026-06-12 (Max)/2026-05-15 (Avg),170.84/52.782/158.548/146.049/No F-Track Level/No F-Track Level/164.11,"76.92%, Past 4 years, 13",170.43,No Information,No Information,No Information,No Information,No Information,No Information,11.19%/1.64%/4.97%,"11.96%, 12.04%",29 days/1 day/10 days,5.72%,17.71%,-11.99%,0.14,0.89,79.59%/196/16 days (Across ALL Assets),75.96%/570/16 days (Across ALL Assets)
TRENDPULSE,"WPM.TO, Long, 2026-01-25 (Price: 200.26)",Weekly,No Exit Yet,No Price Target,2026-05-09 (Avg),24.04%/38.75%,"-8.4%, 3.4 months","2026-05-06 (Price: 183.43), 8.4% below",227.5354 (Avg % Gain of Historic Winning trades)/306.0 (Function Specific Target)/254.5104 (Backtested Max),2026-08-04 (Max)/2026-05-09 (Avg),135.45/52.782/146.152/125.9496/No F-Track Level/No F-Track Level/137.99,"90.32%, Past 10 years, 31",191.85,No Information,No Information,No Information,No Information,No Information,2.58% below/7.48% below/8.4% below,27.09%/5.0%/13.62%,"25.2%, 49.41%",4.4 months/1.2 month/2.4 months,8.5%,7.96%,0.54%,0.66,0.4,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
PULSEGAUGE,"WPM.TO, Long, 2026-04-24 (Price: 190.47)",Weekly,No Exit Yet,No Price Target,2026-05-07 (Min),12.08%/27.51%,"-3.7%, 12 days","2026-05-06 (Price: 183.43), 3.7% below",205.5933 (Historic Rise or Fall to Pivot)/250.2395 (Avg % Gain of Historic Winning trades)/233.8832 (Function Specific Target)/233.8832 (F-Stack 1)/263.3933 (F-Stack 2)/259.4963 (Backtested Max)/245.0587 (Backtested Min),2031-04-23 (Max)/2026-05-07 (Min)/2027-01-27 (Avg),157.08/52.782/180.0371/146.152/No F-Track Level/No F-Track Level/164.11,"85.71%, Past 20 years, 14",205.63,No Information,No Information,No Information,No Information,No Information,No Information,36.24%/28.66%/31.38%,"45.88%, 55.53%",3.5 years/9 days/6.4 months,13.2%,12.39%,0.81%,0.63,0.06,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2026-05-01 (Price: 174.0)",Daily,No Exit Yet,174.5046 (Backtested Min),No Date Target,2.51%/2.86%,"0.29%, 5 days","2026-05-06 (Price: 174.51), 0.29% above",179.4984 (Historic Rise or Fall to Pivot)/178.8894 (Avg % Gain of Historic Winning trades)/191.7 (Function Specific Target)/199.54 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/189.0 (EMA 200)/189.6774 (Backtested Max),2026-10-21 (Max)/2026-05-09 (Min)/2026-06-22 (Avg),169.07/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 4 years, 33",173.68,No Information,No Information,No Information,No Information,No Information,2.47% above/0.29% above/0.29% above,9.01%/0.29%/2.81%,"-0.0%, 13.61%",4 months/6 days/1.2 month,17.28%,17.39%,-0.11%,1.01,1.13,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2026-02-02 (Price: 187.0)",Daily,No Exit Yet,No Price Target,2026-05-08 (Avg),18.36%/24.82%,"-6.68%, 3.1 months","2026-05-06 (Price: 174.51), 6.68% below",206.5415 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/217.8176 (Backtested Max),2026-06-21 (Max)/2026-05-08 (Avg),183.5/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 7",184.41,"-3.82, 100.0%",No Information,No Information,No Information,No Information,No Information,16.48%/5.13%/10.45%,"-0.0%, 7.51%",3.2 months/1.2 month/2.2 months,11.83%,18.23%,-6.4%,0.92,1.14,68.18%/44/3.8 months (Across ALL Assets),69.36%/297/3.8 months (Across ALL Assets)
PULSEGAUGE,"DOL.TO, Long, 2026-04-23 (Price: 170.38)",Weekly,No Exit Yet,174.7928 (Historic Rise or Fall to Pivot),No Date Target,8.17%/11.76%,"2.42%, 13 days","2026-05-06 (Price: 174.51), 2.42% above",198.7994 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/199.54 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/188.76 (EMA 200)/204.9671 (Backtested Max)/195.034 (Backtested Min),2027-03-23 (Max)/2026-05-21 (Min)/2026-09-22 (Avg),166.76/53.835/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"90.91%, Past 16 years, 11",176.27,No Information,No Information,No Information,No Information,No Information,No Information,20.3%/14.47%/16.68%,"21.79%, 23.88%",7.7 months/20 days/3.5 months,11.55%,18.23%,-6.68%,1.04,0.11,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets)
TRENDPULSE,"GRANULES.NS, Long, 2026-04-28 (Price: 705.15)",Daily,No Exit Yet,735.7535 (Avg % Gain of Historic Winning trades),2026-05-06 (Min),4.98%/20.19%,"4.37%, 8 days","2026-05-06 (Price: 736.0), 4.37% above",1046.04 (Function Specific Target)/884.591 (F-Stack 2)/772.6329 (Backtested Max),2026-06-19 (Max)/2026-05-21 (Avg),554.35/229.525/696.635/643.2768/No F-Track Level/No F-Track Level/556.25,"70.83%, Past 4 years, 24",696.0,No Information,No Information,No Information,No Information,No Information,4.37% above/4.37% above/4.37% above,9.57%/1.56%/4.34%,"15.65%, 34.75%",1.2 month/6 days/16 days,5.43%,19.43%,-14.0%,-0.0,0.92,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets)
TRENDPULSE,"GRANULES.NS, Long, 2026-05-03 (Price: 701.0)",Weekly,No Exit Yet,732.8952 (F-Stack 1),No Date Target,6.66%/15.36%,"4.99%, 3 days","2026-05-06 (Price: 736.0), 4.99% above",849.0512 (Historic Rise or Fall to Pivot)/785.0499 (Avg % Gain of Historic Winning trades)/1038.26 (Function Specific Target)/884.591 (F-Stack 2)/1032.6431 (Backtested Max),2026-12-01 (Max)/2026-06-24 (Min)/2026-08-02 (Avg),562.2/229.525/696.635/643.2768/No F-Track Level/No F-Track Level/558.35,"72.73%, Past 10 years, 33",690.0,No Information,No Information,No Information,No Information,No Information,6.75% above/4.99% above/4.99% above,47.31%/2.41%/11.99%,"22.94%, 56.91%",4.9 months/1.2 month/2.1 months,16.43%,22.66%,-6.23%,0.14,0.98,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets)
TRENDPULSE,"GRANULES.NS, Long, 2024-12-31 (Price: 592.3)",Monthly,No Exit Yet,732.8952 (F-Stack 1),No Date Target,18.75%/27.72%,"24.26%, 1.4 year","2026-05-06 (Price: 736.0), 24.26% above",993.6425 (Historic Rise or Fall to Pivot)/1082.6652 (Avg % Gain of Historic Winning trades)/940.0 (Function Specific Target)/874.0036 (F-Stack 2)/1327.2851 (Backtested Max),2027-09-17 (Max),280.1/229.525/500.6768/454.1688/No F-Track Level/No F-Track Level/531.3,"100.0%, Past 20 years, 17",580.1,No Information,No Information,No Information,No Information,No Information,24.26% above/24.13% above/24.26% above,124.09%/7.62%/82.79%,"-0.0%, 48.59%",1.9 year/5.1 months/10.3 months,25.6%,15.18%,10.42%,1.04,0.67,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets)
