"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,Spread,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"WPM.TO, Long, 2026-04-24 (Price: 190.47)",No Exit Yet,"-11.26%, 10 days","85.71%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 169.03), 11.26% below",10 days,11.63%,36.24%/28.66%/31.38%,"45.88%, 55.53%",3.5 years/9 days/6.4 months,2031-04-23/2026-05-07/2027-01-27,13.2%,12.78%,0.42%,0.09,0.07,205.5933/250.2395/233.8832/No Horizontal Resistance/233.8832/263.3933/No EMA 200 Target,157.08/52.782/180.0371/146.152/No F-Track Level/No F-Track Level/163.55,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),205.63
"BPCL.NS, Long, 2026-04-24 (Price: 308.1)",No Exit Yet,"-2.08%, 10 days","100.0%, Past 25 years, 8","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 301.7), 2.08% below",10 days,11.63%,470.7%/68.82%/128.15%,"-0.0%, 60.18%",4.6 years/1.7 month/1.7 year,2032-11-15/2026-07-06/2028-09-26,26.43%,8.25%,18.18%,0.12,0.06,322.6423/702.9302/393.108/383.0667/393.108/467.0257/341.06,278.15/145.35/295.7614/248.4289/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),312.1
"NZDCAD=X, Long, 2026-04-24 (Price: 0.8033)",No Exit Yet,"-0.11%, 10 days","71.43%, Past 22 years, 21","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 0.8024), 0.11% below",10 days,11.63%,7.19%/6.11%/6.4%,"17.07%, 11.02%",1.3 year/16 days/4.5 months,2028-03-01/2026-05-17/2026-11-05,2.8%,-0.22%,3.02%,-0.36,-1.02,0.8104/0.8547/1.0924/0.8902/1.0924/1.3117/0.81,0.79/0.783/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),0.8038
"WPM, Long, 2026-04-24 (Price: 139.44)",No Exit Yet,"-10.97%, 10 days","86.67%, Past 20 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 124.14), 10.97% below",10 days,11.63%,35.64%/30.37%/32.8%,"48.0%, 57.78%",3.7 years/9 days/6.4 months,2031-08-05/2026-05-07/2027-01-27,14.66%,13.49%,1.17%,0.1,0.08,148.908/185.1763/208.744/No Horizontal Resistance/208.744/224.283/No EMA 200 Target,114.62/38.3375/133.5026/114.4872/No F-Track Level/No F-Track Level/118.5,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),150.36
"BDGI.TO, Long, 2026-04-24 (Price: 63.71)",2026-05-01 (Price: 78.36),"22.99%, 7 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 80.22), 25.91% above",10 days,11.63%,37.5%/25.82%/30.55%,"45.17%, 49.58%",7.9 months/1.2 month/4.2 months,2027-04-02/2026-06-15/2026-10-23,7.13%,12.21%,-5.08%,0.04,0.04,66.1756/83.1734/79.9248/No Horizontal Resistance/79.9248/84.3122/66.64,60.49/24.32/58.0566/53.241/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),62.38
"BBTC.NS, Long, 2026-04-24 (Price: 1492.7)",No Exit Yet,"2.25%, 10 days","85.71%, Past 23 years, 14","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 1526.3), 2.25% above",10 days,11.63%,43.46%/33.1%/37.61%,"50.52%, 56.37%",3.2 years/11 days/10.3 months,2030-11-17/2026-05-09/2027-07-15,11.76%,15.8%,-4.04%,0.06,0.12,1575.8434/2054.1045/3412.111/2145.0/3412.111/3761.7441/1794.13,1375.0/846.25/1057.7422/973.2526/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),1540.0
"IMO.TO, Long, 2026-04-24 (Price: 169.79)",No Exit Yet,"4.63%, 10 days","84.62%, Past 25 years, 13","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 177.65), 4.63% above",10 days,11.63%,24.26%/19.3%/20.87%,"39.96%, 38.59%",2.8 years/1.1 month/10.4 months,2030-04-21/2026-06-10/2027-07-19,6.82%,7.33%,-0.51%,-0.06,-0.1,170.571/205.2252/188.7349/No Horizontal Resistance/188.7349/196.834/No EMA 200 Target,116.04/60.8067/143.048/134.0661/No F-Track Level/No F-Track Level/139.32,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),167.49
"WFG.TO, Long, 2026-04-24 (Price: 89.5)",No Exit Yet,"-9.49%, 10 days","73.33%, Past 25 years, 15","Weekly, was CONFIRMED on 2026-04-24",No Cancellation Possible,"2026-05-04 (Price: 81.01), 9.49% below",10 days,11.63%,25.64%/22.25%/24.12%,"34.07%, 41.0%",1.5 year/1.3 month/9.8 months,2028-06-14/2026-06-19/2027-06-23,3.21%,5.36%,-2.15%,-0.08,-0.1,90.3771/111.0874/170.6139/131.52/170.6139/181.1797/92.39,82.38/81.2433/80.1487/76.1079/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),91.2
"HDB, Long, 2026-04-23 (Price: 25.51)",No Exit Yet,"-2.59%, 11 days","81.25%, Past 25 years, 16","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 24.85), 2.59% below",11 days,11.63%,33.4%/24.26%/26.06%,"39.56%, 45.97%",3.6 years/14 days/8.1 months,2031-06-13/2026-05-13/2027-04-09,7.04%,10.57%,-3.53%,0.01,0.0,26.7243/32.1579/40.717/39.3812/40.717/48.6484/33.5,24.35/No Horizontal Support/21.1884/14.0692/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),26.72
"BRK-B, Long, 2026-04-23 (Price: 470.55)",No Exit Yet,"-0.43%, 11 days","73.68%, Past 25 years, 19","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 468.52), 0.43% below",11 days,11.63%,18.46%/13.14%/14.37%,"33.7%, 24.78%",1.3 year/1.5 month/6.8 months,2028-02-29/2026-06-27/2027-02-12,3.17%,6.86%,-3.69%,-0.12,-0.22,475.9143/538.168/630.85/512.2133/630.85/709.9376/489.88,468.49/268.082/449.7662/405.99/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),474.38
"TSLA, Long, 2026-04-23 (Price: 373.72)",No Exit Yet,"5.03%, 11 days","100.0%, Past 15 years, 9","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 392.51), 5.03% above",11 days,11.63%,58.23%/37.0%/42.1%,"-0.0%, 48.54%",1.3 year/13 days/6.2 months,2028-02-29/2026-05-11/2027-01-17,23.35%,27.01%,-3.66%,0.26,0.25,397.6755/531.0561/494.4819/487.1467/494.4819/553.1211/402.86,348.95/196.47/348.637/262.8246/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),402.58
"HDFCBANK.NS, Long, 2026-04-23 (Price: 784.35)",No Exit Yet,"-0.63%, 11 days","81.25%, Past 25 years, 16","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 779.4), 0.63% below",11 days,11.63%,44.95%/18.13%/22.16%,"28.44%, 32.67%",2.2 years/1 month/8.2 months,2029-06-13/2026-06-05/2027-04-12,9.14%,12.46%,-3.32%,0.02,-0.0,805.3706/958.162/1098.0619/1009.6/1098.0619/1180.6259/939.82,750.9/640.9/765.1075/697.8792/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),797.1
"FXI, Long, 2026-04-23 (Price: 36.49)",No Exit Yet,"0.16%, 11 days","71.43%, Past 21 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 36.55), 0.16% above",11 days,11.63%,22.51%/20.77%/21.62%,"31.93%, 34.24%",3.2 years/4 days/1 year,2030-11-16/2026-04-28/2027-09-26,2.12%,2.26%,-0.14%,-0.13,-0.18,37.4789/44.3791/90.5742/42.105/90.5742/95.3274/38.66,34.85/20.865/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),37.58
"IEI, Long, 2026-04-23 (Price: 118.49)",No Exit Yet,"-0.72%, 11 days","87.5%, Past 19 years, 16","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 117.64), 0.72% below",11 days,11.63%,51.36%/2.63%/6.87%,"4.04%, 5.38%",3.2 years/1.1 month/8.3 months,2030-11-16/2026-06-09/2027-04-18,5.31%,0.61%,4.7%,-1.19,-2.27,119.4853/126.6303/No Target/130.0867/No Next Fib Ext/No Next Fib Ext/119.28,117.96/113.4857/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),118.98
"KWEB, Long, 2026-04-23 (Price: 28.43)",No Exit Yet,"0.56%, 11 days","100.0%, Past 12 years, 6","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 28.59), 0.56% above",11 days,11.63%,30.05%/24.34%/26.01%,"-0.0%, 30.22%",2.6 years/1.9 month/11.2 months,2030-01-07/2026-07-14/2027-08-22,12.5%,0.38%,12.12%,0.1,-0.17,28.774/35.8246/No Target/54.865/No Next Fib Ext/No Next Fib Ext/35.55,27.91/24.5062/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),30.08
"GLD, Long, 2026-04-23 (Price: 431.04)",No Exit Yet,"-3.79%, 11 days","87.5%, Past 21 years, 16","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 414.71), 3.79% below",11 days,11.63%,13.15%/11.45%/12.26%,"21.9%, 24.36%",3.4 years/14 days/6.7 months,2031-02-28/2026-05-13/2027-02-08,7.89%,7.68%,0.21%,-0.06,-0.24,443.8419/483.8855/520.3579/No Horizontal Resistance/520.3579/624.146/No EMA 200 Target,413.38/150.8/424.4974/381.6561/No F-Track Level/No F-Track Level/392.07,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),443.13
"NKE, Long, 2026-04-23 (Price: 44.78)",No Exit Yet,"-3.77%, 11 days","78.57%, Past 25 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 43.09), 3.77% below",11 days,11.63%,20.41%/18.74%/19.54%,"38.98%, 41.08%",2 years/2.2 months/8.6 months,2029-02-28/2026-07-27/2027-05-01,5.11%,6.16%,-1.05%,-0.06,-0.13,45.7652/53.53/171.1647/176.74/171.1647/206.9588/63.89,42.62/No Horizontal Support/37.5153/33.4875/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),45.98
"SLV, Long, 2026-04-23 (Price: 68.38)",No Exit Yet,"-3.57%, 11 days","71.43%, Past 20 years, 14","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 65.94), 3.57% below",11 days,11.63%,24.08%/21.41%/22.42%,"32.7%, 40.96%",1.7 year/1.4 month/6.9 months,2028-09-25/2026-06-22/2027-02-16,3.46%,5.63%,-2.17%,-0.09,-0.11,69.0775/83.7108/89.0774/No Horizontal Resistance/89.0774/95.4033/No EMA 200 Target,61.52/18.99/67.9787/59.1217/No F-Track Level/No F-Track Level/56.54,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),72.65
"NFLX, Long, 2026-04-23 (Price: 92.82)",No Exit Yet,"-1.94%, 11 days","94.12%, Past 23 years, 17","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 91.02), 1.94% below",11 days,11.63%,47.63%/34.53%/37.77%,"57.74%, 57.13%",2.3 years/15 days/6.5 months,2029-08-02/2026-05-14/2027-01-30,21.2%,21.71%,-0.51%,0.22,0.19,100.9046/127.8781/139.352/No Horizontal Resistance/139.352/152.4292/103.98,76.87/34.8663/86.4764/77.567/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),97.145
"XLV, Long, 2026-04-23 (Price: 146.24)",No Exit Yet,"-1.03%, 11 days","76.47%, Past 25 years, 17","Weekly, was CONFIRMED on 2026-04-23",No Cancellation Possible,"2026-05-04 (Price: 144.73), 1.03% below",11 days,11.63%,12.25%/10.92%/11.51%,"19.09%, 22.94%",1.6 year/1.6 month/8.1 months,2028-08-04/2026-07-01/2027-04-09,4.25%,4.65%,-0.4%,-0.18,-0.36,148.536/163.0722/174.1807/159.855/174.1807/202.706/147.03,143.26/122.2417/117.2225/81.225/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,67.21%/61/6.6 months (Across ALL Assets),73.72%/331/5.3 months (Across ALL Assets),148.45
