"Symbol, Signal, Signal Date/Price[$]",Exit Signal Date/Price[$],Current Mark to Market and Holding Period,"Win Rate [%], History Tested, Number of Trades","Interval, Confirmation Status",Cancellation Level/Date,"Today Trading Date/Price[$], Today price vs Signal",Trading Days between Signal and Today Date,"Level, Trendpulse start Date/Price($)",Trendpulse Breakout Date/Price($),Earliest Unconfirmed Signal Date/Price($),Time from Latest Trading day to Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,TrendPulse Start/End (Date and Price($)),Backtested Returns(Win Trades) [%] (Max/Min/Avg),Backtested Returns (Lose Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Holding Period (All Trades) (days) (Max/Min/Avg),Target Exit Date(Win Trades) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Targets (Historic Rise or Fall to Pivot/Avg % Gain of Historic Winning trades/Function Specific Target/Horizontal/F-Stack 1/F-Stack 2/EMA 200) [$],Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Signal Open Price
"PPL.TO, Long, 2026-06-23 (Price: 66.98)",No Exit Yet,"0.0%, 0 days","100.0%, Past 20 years, 16","Monthly, will be confirmed as valid at the end of this month",Signal Cancelled if Price < 64.72 prior to 2026-06-30,"2026-06-23 (Price: 66.98), 0.0% below",0 days,"0, 2017-04-30 (Price: 44.65)",2026-04-30 (Price: 63.23),2026-06-01 (Price: 65.87),54/22/0 days,5.93% above/1.69% above/0.0% below,2017-04-30 (Price: 44.65)/2026-06-23 (Price: 60.324),20.09%/3.94%/10.62%,N/A,"-0.0%, 19.92%",2.5 years/5 months/11.2 months,2.5 years/0 days/9.8 months,2030-01-16/2027-01-26/2027-10-22,6.4%,5.25%,1.15%,1.1,0.27,75.4396/74.0933/80.38/No Horizontal Resistance/No Target/80.6453/No EMA 200 Target,51.13/37.9233/54.5176/No stop loss/64.4348/61.3713/58.09,93.94%/66/10.9 months (Across ALL Assets),72.82%/195/9.4 months (Across ALL Assets),64.72
"BBD-B.TO, Long, 2026-06-22 (Price: 315.05)",No Exit Yet,"1.14%, 1 day","85.71%, Past 4 years, 21","Daily, is CONFIRMED on 2026-06-22",Already confirmed,"2026-06-23 (Price: 318.64), 1.14% above",1 day,"0, 2020-06-09 (Price: 17.25)",2026-06-22 (Price: 315.05),2026-06-22 (Price: 315.05),1/1/1 days,1.14% above/1.14% above/1.14% above,2020-06-09 (Price: 17.25)/2026-06-22 (Price: 308.9002),12.21%/1.21%/5.93%,-3.23%/-20.19%/-14.54%,"20.19%, 66.64%",3.7 months/6 days/1.1 month,6.7 months/6 days/1.8 month,2026-11-29/2026-06-30/2026-08-08,-6.76%,46.7%,-53.46%,0.27,1.75,388.5512/333.7325/493.73/No Horizontal Resistance/675.785/850.042/No EMA 200 Target,301.57/53.275/288.2895/273.2675/No F-Track Level/No F-Track Level/240.87,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),312.81
"BNS.TO, Long, 2026-06-21 (Price: 123.48)",No Exit Yet,"-0.66%, 2 days","95.83%, Past 10 years, 24","Weekly, is CONFIRMED on 2026-06-19",Already confirmed,"2026-06-23 (Price: 122.66), 0.66% below",2 days,"4, 2016-04-03 (Price: 64.13)",2026-06-07 (Price: 112.36),2026-06-21 (Price: 123.48),16/2/2 days,9.17% above/0.66% below/0.66% below,2016-04-03 (Price: 64.13)/2026-06-21 (Price: 110.776),12.4%/0.79%/6.14%,-1.93%/-1.93%/-1.93%,"1.93%, 33.13%",1.1 year/28 days/3.5 months,1.1 year/0 days/3.1 months,2028-01-15/2026-07-31/2026-11-20,7.54%,3.58%,3.96%,0.75,0.13,129.4688/131.0617/159.09/No Horizontal Resistance/No Target/135.0336/No EMA 200 Target,93.61/62.2517/94.4218/69.3218/No F-Track Level/No F-Track Level/99.65,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),118.0
"TLT, Long, 2026-06-21 (Price: 86.75)",No Exit Yet,"-0.63%, 2 days","86.67%, Past 10 years, 30","Weekly, is CONFIRMED on 2026-06-19",Already confirmed,"2026-06-23 (Price: 86.2), 0.63% below",2 days,"8, 2019-09-01 (Price: 148.9)",2026-06-14 (Price: 85.77),2026-06-16 (Price: 86.19),9/7/2 days,0.5% above/0.01% above/0.63% below,2019-09-01 (Price: 148.9)/2026-06-21 (Price: 84.861),15.02%/0.97%/7.14%,-11.72%/-12.07%/-11.88%,"12.07%, 46.07%",9.8 months/1.2 month/4.1 months,1.9 year/0 days/4.1 months,2027-08-20/2026-08-12/2026-12-14,0.56%,-0.36%,0.92%,-0.08,-0.28,87.2011/92.9439/124.04/153.455/188.2386/214.0466/87.92,83.66/83.3033/No F-Stack Support/No F-Stack Support/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),85.96
"JPM, Long, 2026-06-21 (Price: 325.22)",No Exit Yet,"2.74%, 2 days","95.65%, Past 10 years, 23","Weekly, is CONFIRMED on 2026-06-19",Already confirmed,"2026-06-23 (Price: 334.14), 2.74% above",2 days,"2, 2026-01-11 (Price: 337.25)",2026-06-14 (Price: 320.72),2026-06-18 (Price: 325.22),9/5/2 days,4.18% above/2.74% above/2.74% above,2026-01-11 (Price: 337.25)/2026-06-21 (Price: 311.168),20.52%/2.53%/10.43%,-21.22%/-21.22%/-21.22%,"21.22%, 39.99%",1.5 year/1.2 month/4.8 months,1.5 year/0 days/5.1 months,2028-08-11/2026-08-12/2027-01-15,11.02%,10.07%,0.95%,0.83,0.54,352.7336/359.1404/332.44/No Horizontal Resistance/328.9175/381.492/No EMA 200 Target,282.84/125.7575/300.9735/287.5071/No F-Track Level/No F-Track Level/307.1,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),323.92
"NOVA.F, Long, 2026-06-21 (Price: 39.2)",No Exit Yet,"5.87%, 2 days","100.0%, Past 10 years, 19","Weekly, is CONFIRMED on 2026-06-19",Already confirmed,"2026-06-23 (Price: 41.5), 5.87% above",2 days,"2, 2026-01-25 (Price: 54.8)",2026-06-14 (Price: 38.08),2026-06-19 (Price: 39.2),9/4/2 days,8.98% above/5.87% above/5.87% above,2026-01-25 (Price: 54.8)/2026-06-21 (Price: 36.936),21.94%/2.36%/11.39%,N/A,"-0.0%, 9.84%",4.7 months/1.2 month/2.4 months,4.7 months/0 days/1.9 month,2027-01-11/2026-08-12/2026-10-03,13.6%,7.27%,6.33%,1.17,0.38,45.5896/43.6649/48.56/126.5/138.0871/146.706/41.15,31.2/No Horizontal Support/33.7767/28.7825/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),39.0
"WFG.TO, Long, 2026-06-21 (Price: 97.37)",No Exit Yet,"-1.97%, 2 days","88.0%, Past 10 years, 25","Weekly, is CONFIRMED on 2026-06-19",Already confirmed,"2026-06-23 (Price: 95.45), 1.97% below",2 days,"6, 2024-10-20 (Price: 141.27)",2026-06-14 (Price: 96.52),2026-06-21 (Price: 97.37),9/2/2 days,1.11% below/1.97% below/1.97% below,2024-10-20 (Price: 141.27)/2026-06-21 (Price: 95.1856),23.3%/4.35%/14.15%,-7.37%/-12.12%/-10.53%,"12.12%, 61.12%",6.5 months/1.2 month/3.2 months,2.3 years/0 days/4.7 months,2027-03-30/2026-08-12/2026-11-07,13.07%,6.3%,6.77%,0.5,0.34,100.9045/111.1479/123.71/131.52/170.6139/181.1797/No EMA 200 Target,81.57/80.9467/80.1487/76.1079/No F-Track Level/No F-Track Level/90.71,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),97.22
"NA.TO, Long, 2026-06-18 (Price: 220.41)",No Exit Yet,"1.77%, 5 days","77.27%, Past 4 years, 22","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-23 (Price: 224.32), 1.77% above",5 days,"6, 2020-01-30 (Price: 74.28)",2026-06-18 (Price: 220.41),2026-06-18 (Price: 220.41),5/5/5 days,1.77% above/1.77% above/1.77% above,2020-01-30 (Price: 74.28)/2026-06-18 (Price: 217.6575),4.34%/1.0%/2.71%,-4.08%/-4.62%/-4.19%,"4.62%, 23.98%",3 months/6 days/20 days,6.1 months/0 days/1.9 month,2026-10-26/2026-06-26/2026-07-16,10.1%,16.0%,-5.9%,0.13,1.22,226.9782/226.3831/308.09/No Horizontal Resistance/No Target/299.9136/No EMA 200 Target,197.89/82.9367/188.6608/134.0186/No F-Track Level/No F-Track Level/176.46,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),218.5
"MSE.PA, Long, 2026-06-18 (Price: 72.0)",No Exit Yet,"-1.64%, 5 days","100.0%, Past 4 years, 19","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-23 (Price: 70.82), 1.64% below",5 days,"4, 2020-02-06 (Price: 36.975)",2026-06-17 (Price: 71.55),2026-06-18 (Price: 72.0),6/5/5 days,1.02% below/1.64% below/1.64% below,2020-02-06 (Price: 36.975)/2026-06-18 (Price: 71.1245),4.76%/0.41%/2.25%,N/A,"-0.0%, 13.59%",3.5 months/6 days/1.3 month,3.5 months/0 days/1.2 month,2026-11-17/2026-06-26/2026-08-13,8.04%,9.85%,-1.81%,1.25,0.65,74.2824/73.62/93.02/No Horizontal Resistance/81.1364/117.7989/No EMA 200 Target,68.25/33.6667/58.4776/44.4738/No F-Track Level/No F-Track Level/64.82,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),71.71
"^STI, Long, 2026-06-18 (Price: 5212.8398)",No Exit Yet,"-0.14%, 5 days","86.96%, Past 4 years, 23","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-23 (Price: 5205.7402), 0.14% below",5 days,"0, 2024-01-02 (Price: 3259.28)",2026-06-17 (Price: 5176.46),2026-06-18 (Price: 5212.8398),6/5/5 days,0.57% above/0.14% below/0.14% below,2024-01-02 (Price: 3259.28)/2026-06-18 (Price: 5169.9363),2.41%/0.34%/1.09%,-2.51%/-2.51%/-2.51%,"2.51%, 7.79%",1.4 month/7 days/18 days,6.3 months/0 days/1.3 month,2026-08-17/2026-06-28/2026-07-14,5.52%,8.25%,-2.73%,0.1,0.71,5379.6507/5269.6598/6384.98/No Horizontal Resistance/No Target/6233.5022/No EMA 200 Target,4958.85/3079.5663/4356.5412/3433.5319/No F-Track Level/No F-Track Level/4727.45,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),5176.46
"BEL.NS, Long, 2026-06-18 (Price: 428.6)",No Exit Yet,"-2.01%, 5 days","100.0%, Past 4 years, 28","Daily, is CONFIRMED on 2026-06-18",Already confirmed,"2026-06-23 (Price: 420.0), 2.01% below",5 days,"2, 2026-03-06 (Price: 473.45)",2026-06-17 (Price: 419.85),2026-06-18 (Price: 428.6),6/5/5 days,0.04% above/2.01% below/2.01% below,2026-03-06 (Price: 473.45)/2026-06-18 (Price: 415.7753),21.42%/1.11%/5.76%,N/A,"-0.0%, 22.01%",3.4 months/4 days/1 month,3.4 months/0 days/29 days,2026-11-12/2026-06-23/2026-07-31,27.61%,37.89%,-10.28%,0.99,1.93,465.9311/453.2874/455.51/433.5/456.8119/613.9011/No EMA 200 Target,402.3/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/418.33,90.31%/320/1.5 month (Across ALL Assets),80.18%/757/1.6 month (Across ALL Assets),422.5
"XLF, Long, 2026-06-14 (Price: 53.34)",No Exit Yet,"1.01%, 9 days","88.24%, Past 10 years, 17","Weekly, is CONFIRMED on 2026-06-12",Already confirmed,"2026-06-23 (Price: 53.88), 1.01% above",9 days,"2, 2026-01-11 (Price: 56.52)",2026-06-07 (Price: 52.3),2026-06-11 (Price: 52.62),16/12/9 days,3.02% above/2.39% above/1.01% above,2026-01-11 (Price: 56.52)/2026-06-14 (Price: 51.636),8.36%/2.64%/5.23%,-4.76%/-8.87%/-6.82%,"8.87%, 39.33%",1.2 year/28 days/4 months,1.6 year/0 days/5 months,2028-02-29/2026-07-24/2026-12-04,3.8%,6.95%,-3.15%,0.37,0.38,57.2232/56.1297/55.25/No Horizontal Resistance/70.6138/110.4396/No EMA 200 Target,47.81/30.1167/45.9996/No stop loss/No F-Track Level/No F-Track Level/52.55,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),52.24
"MAR, Long, 2026-06-14 (Price: 402.54)",No Exit Yet,"-3.9%, 9 days","82.14%, Past 10 years, 28","Weekly, is CONFIRMED on 2026-06-12",Already confirmed,"2026-06-23 (Price: 386.83), 3.9% below",9 days,"4, 2016-03-20 (Price: 73.89)",2026-06-14 (Price: 402.54),2026-06-12 (Price: 402.54),9/11/9 days,3.9% below/3.9% below/3.9% below,2016-03-20 (Price: 73.89)/2026-06-14 (Price: 393.9623),16.53%/2.51%/7.88%,-9.23%/-12.52%/-10.55%,"12.52%, 61.32%",6.8 months/28 days/2.9 months,1.1 year/0 days/4.5 months,2027-04-05/2026-07-24/2026-10-18,11.78%,12.03%,-0.25%,0.3,0.61,462.5587/434.2602/599.73/No Horizontal Resistance/No Target/597.6434/No EMA 200 Target,313.81/148.7/372.972/275.4012/No F-Track Level/No F-Track Level/316.66,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),392.51
"PG, Long, 2026-06-14 (Price: 149.61)",No Exit Yet,"0.84%, 9 days","95.24%, Past 10 years, 21","Weekly, is CONFIRMED on 2026-06-12",Already confirmed,"2026-06-23 (Price: 150.86), 0.84% above",9 days,"2, 2026-03-01 (Price: 167.25)",2026-06-07 (Price: 146.54),2026-06-09 (Price: 148.67),16/14/9 days,2.95% above/1.47% above/0.84% above,2026-03-01 (Price: 167.25)/2026-06-14 (Price: 139.4437),10.46%/1.7%/4.36%,-12.19%/-12.19%/-12.19%,"12.19%, 24.03%",1 year/28 days/4.1 months,1.2 year/0 days/4 months,2027-11-17/2026-07-24/2026-12-07,5.97%,4.04%,1.93%,0.37,0.17,157.3897/156.133/160.19/179.4533/186.6499/209.3631/No EMA 200 Target,141.57/137.0167/140.2317/117.5404/No F-Track Level/No F-Track Level/149.09,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),145.79
"TFII.TO, Long, 2026-06-14 (Price: 224.37)",No Exit Yet,"-8.54%, 9 days","96.15%, Past 10 years, 26","Weekly, is CONFIRMED on 2026-06-12",Already confirmed,"2026-06-23 (Price: 205.21), 8.54% below",9 days,"2, 2016-03-20 (Price: 22.99)",2026-06-14 (Price: 224.37),2026-06-12 (Price: 224.37),9/11/9 days,8.54% below/8.54% below/8.54% below,2016-03-20 (Price: 22.99)/2026-06-14 (Price: 220.4175),21.06%/2.82%/14.85%,-26.87%/-26.87%/-26.87%,"26.87%, 44.49%",1.5 year/1.2 month/4.5 months,1.6 year/0 days/4.7 months,2028-08-04/2026-08-05/2026-12-26,12.85%,12.95%,-0.1%,0.98,0.66,244.2043/257.6889/345.2/No Horizontal Resistance/No Target/280.6304/No EMA 200 Target,135.82/115.2/181.8381/150.2411/No F-Track Level/No F-Track Level/153.02,88.72%/133/4.6 months (Across ALL Assets),77.24%/369/4.1 months (Across ALL Assets),223.03
