Function,"Symbol, Signal, Signal Date/Price[$]",Interval,Exit Signal Date/Price[$],Target for which Price has achieved over 90 percent of gain %,Backtested Target Exit Date,Next Two Target Price % from Latest Trading Price,"% Gain, Holding Period (days)","Today Trading Date/Price[$], Today price vs Signal",Remaining Potential Exit Prices [$],Remaining Potential Exit Dates,Stop Loss (Recent Extrema/Horizontal/F-Stack 1/F-Stack 2/F-Track 1/F-Track 2/EMA 200) [$],"Win Rate [%], History Tested, Number of Trades",Signal Open Price,"Sigmashell, Success Rate of Past Analysis [%]","Divergence observed with, Signal Type",Maxima Broken Date/Price[$],"Track Level/Price($), Price on Latest Trading day vs Track Level, Signal Type","Reference Upmove or Downmove start Date/Price($), end Date/Price($)",% Change in Price on Latest Trading day vs Price on Trendpulse Breakout day/Earliest Unconfirmed Signal day/Confirmed Signal day,Backtested Returns(Win Trades) [%] (Max/Min/Avg),"Backtested Max Loss [%], Backtested Worst Single MTM during Hold Period [%]",Backtested Holding Period(Win Trades) (days) (Max/Min/Avg),Backtested Strategy CAGR [%],CAGR of Buy and Hold [%],CAGR difference (Strategy - Buy and Hold) [%],Backtested Strategy Sharpe Ratio,Sharpe Ratio of Buy and Hold,Latest Past 6 Months Performance[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets),Forward Testing Win Rate[%]/No. of Analysed Trades/Avg Holding Period (days) (Across ALL Assets)
TRENDPULSE,"NA.TO, Long, 2025-11-30 (Price: 168.95)",Monthly,No Exit Yet,200.645 (Avg % Gain of Historic Winning trades)/207.1743 (F-Stack 2),No Date Target,7.15%/28.02%,"20.11%, 4.6 months","2026-04-17 (Price: 202.92), 20.11% above",259.77 (Function Specific Target)/217.4386 (Backtested Max),2028-01-21 (Max)/2026-07-09 (Min)/2027-01-16 (Avg),118.77/82.9367/134.0186/119.9028/No F-Track Level/No F-Track Level/138.03,"83.33%, Past 20 years, 12",157.19,No Information,No Information,No Information,No Information,No Information,29.5% above/20.11% above/20.11% above,28.7%/8.86%/18.76%,"5.23%, 30.62%",1.5 year/5.1 months/9.5 months,7.48%,7.69%,-0.21%,0.0,0.46,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
SIGMASHELL,"NA.TO, Long, 2026-02-02 (Price: 163.94)",Daily,No Exit Yet,207.1743 (F-Stack 2),No Date Target,No Next Target,"23.78%, 2.5 months","2026-04-17 (Price: 202.92), 23.78% above",No Next Target,2027-07-08 (Max)/2026-05-04 (Min)/2026-08-25 (Avg),161.96/82.9367/148.3746/134.0186/No F-Track Level/No F-Track Level/163.3,"100.0%, Past 5 years, 8",162.22,"-3.34, 87.5%",No Information,No Information,No Information,No Information,No Information,13.29%/0.09%/8.3%,"-0.0%, 20.53%",1 year/2.1 months/4.7 months,14.08%,8.62%,5.46%,0.0,0.48,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
TRENDPULSE,"DOL.TO, Long, 2026-02-24 (Price: 196.37)",Daily,No Exit Yet,No Price Target,2026-04-17 (Avg),14.82%/15.52%,"-10.11%, 1.7 month","2026-04-17 (Price: 176.51), 10.11% below",202.6735 (Historic Rise or Fall to Pivot)/203.9106 (Avg % Gain of Historic Winning trades)/204.52 (Function Specific Target)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/216.2426 (Backtested Max),2026-08-16 (Max),183.5/53.2967/194.1559/132.3972/No F-Track Level/No F-Track Level/189.15,"100.0%, Past 4 years, 32",195.43,No Information,No Information,No Information,No Information,No Information,9.8% below/10.11% below/10.11% below,10.12%/0.29%/3.84%,"-0.0%, 13.61%",4 months/6 days/1.2 month,17.74%,18.66%,-0.92%,0.0,1.22,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets)
OSCILLATOR DELTA,"DOL.TO, Long, 2026-03-26 (Price: 168.84)",Daily,2026-04-16 (Price: 173.36),177.28 (Function Specific Target),2026-04-18 (Avg),2.61%/4.09%,"4.54%, 22 days","2026-04-17 (Price: 176.51), 4.54% above",183.7317 (Historic Rise or Fall to Pivot)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/189.94 (EMA 200)/181.1147 (Backtested Max),2026-06-07 (Max)/2026-04-18 (Avg),No Recent Minima/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 6 years, 16",171.36,No Information,No Information,No Information,No Information,No Information,No Information,7.27%/0.23%/2.69%,"-0.0%, 8.07%",1.7 month/2 days/16 days,10.56%,18.66%,-8.1%,0.0,1.22,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets)
SIGMASHELL,"DOL.TO, Long, 2026-04-01 (Price: 171.3)",Daily,No Exit Yet,176.6103 (Historic Rise or Fall to Pivot),No Date Target,5.6%/7.61%,"3.04%, 16 days","2026-04-17 (Price: 176.51), 3.04% above",190.1259 (Avg % Gain of Historic Winning trades)/294.0831 (Function Specific Target)/197.56 (Horizontal)/294.0831 (F-Stack 1)/455.769 (F-Stack 2)/189.94 (EMA 200)/199.5302 (Backtested Max)/186.3915 (Backtested Min),2026-08-18 (Max)/2026-05-27 (Min)/2026-07-05 (Avg),166.76/53.2967/132.3972/94.2286/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 5 years, 7",173.34,"-7.08, 100.0%",No Information,No Information,No Information,No Information,No Information,16.48%/8.81%/10.99%,"-0.0%, 7.51%",3.2 months/1.3 month/2.2 months,14.65%,18.4%,-3.75%,2.63,1.15,61.7%/47/4.8 months (Across ALL Assets),64.05%/306/3.6 months (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2026-04-08 (Price: 370.4)",Daily,2026-04-14 (Price: 401.24),No Price Target,2026-04-16 (Min),2.02%/8.2%,"12.23%, 9 days","2026-04-17 (Price: 415.71), 12.23% above",449.8184 (F-Stack 2)/424.108 (Backtested Max),2026-06-03 (Max)/2026-04-25 (Avg),309.79/110.475/348.2242/301.3628/No F-Track Level/No F-Track Level/294.06,"82.14%, Past 4 years, 28",367.89,No Information,No Information,No Information,No Information,No Information,19.54% above/12.23% above/12.23% above,14.5%/0.41%/4.35%,"10.17%, 34.33%",1.3 month/6 days/12 days,10.99%,20.03%,-9.04%,0.0,0.96,92.31%/325/1.3 month (Across ALL Assets),77.68%/775/1.6 month (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2026-02-28 (Price: 352.29)",Monthly,No Exit Yet,420.0354 (Avg % Gain of Historic Winning trades)/411.0319 (F-Stack 2),No Date Target,6.99%/31.91%,"18.0%, 1.6 month","2026-04-17 (Price: 415.71), 18.0% above",548.36 (Function Specific Target)/444.7661 (Backtested Max),2026-11-20 (Max)/2026-10-03 (Min)/2026-10-20 (Avg),183.84/110.475/301.3628/285.4342/No F-Track Level/No F-Track Level/277.64,"70.0%, Past 20 years, 10",342.37,No Information,No Information,No Information,No Information,No Information,20.04% above/18.0% above/18.0% above,26.25%/7.49%/19.23%,"12.25%, 59.88%",6.1 months/5 months/5.4 months,-2.14%,7.74%,-9.88%,0.0,0.4,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
TRENDPULSE,"SOXX, Long, 2025-12-31 (Price: 301.15)",Quarterly,No Exit Yet,411.0319 (F-Stack 2),No Date Target,7.66%/12.51%,"38.04%, 3.6 months","2026-04-17 (Price: 415.71), 38.04% above",447.539 (Avg % Gain of Historic Winning trades)/467.71 (Function Specific Target)/525.5369 (Backtested Max),2030-09-16 (Max)/2027-11-08 (Min)/2028-09-16 (Avg),106.24/110.475/285.4342/254.997/No F-Track Level/No F-Track Level/246.22,"100.0%, Past 24 years, 8",269.38,No Information,No Information,No Information,No Information,No Information,38.04% above/53.49% above/38.04% above,74.51%/31.99%/48.61%,"-0.0%, 41.23%",3.3 years/1.3 year/1.9 year,15.16%,9.13%,6.03%,0.0,0.47,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
DELTADRIFT,"INDY, Long, 2026-03-16 (Price: 43.84)",Daily,2026-04-17 (Price: 45.49),45.3656 (Backtested Max),No Date Target,9.78%/19.75%,"3.76%, 1.1 month","2026-04-17 (Price: 45.49), 3.76% above",54.474 (Horizontal)/60.9145 (F-Stack 1)/68.1277 (F-Stack 2)/49.94 (EMA 200),2026-04-22 (Max),43.16/40.5875/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 4 years, 14",43.83,No Information,No Information,No Information,No Information,No Information,No Information,3.48%/1.45%/2.4%,"10.43%, 10.43%",26 days/4 days/10 days,2.9%,-0.55%,3.45%,-0.83,-0.25,78.7%/169/13 days (Across ALL Assets),74.35%/620/16 days (Across ALL Assets)
DELTADRIFT,"INDY, Long, 2026-04-05 (Price: 42.12)",Weekly,2026-04-12 (Price: 44.18),45.418 (Avg % Gain of Historic Winning trades)/45.29 (Function Specific Target),No Date Target,7.15%/9.78%,"8.0%, 12 days","2026-04-17 (Price: 45.49), 8.0% above",54.474 (Horizontal)/60.9145 (F-Stack 1)/68.1277 (F-Stack 2)/49.94 (EMA 200)/48.7413 (Backtested Max),2026-08-04 (Max)/2026-05-15 (Min)/2026-06-30 (Avg),41.24/40.5875/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"71.43%, Past 15 years, 7",41.04,No Information,No Information,No Information,No Information,No Information,No Information,15.72%/4.17%/7.83%,"18.57%, 22.76%",2.8 months/28 days/2 months,3.14%,1.62%,1.52%,0.07,-0.0,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets)
OSCILLATOR DELTA,"INDY, Long, 2026-04-08 (Price: 44.36)",Daily,No Exit Yet,No Price Target,2026-04-16 (Min),0.85%/4.02%,"2.55%, 9 days","2026-04-17 (Price: 45.49), 2.55% above",45.8771 (Historic Rise or Fall to Pivot)/47.47 (Function Specific Target)/54.474 (Horizontal)/60.9145 (F-Stack 1)/66.9383 (F-Stack 2)/49.94 (EMA 200)/47.3188 (Backtested Max),2026-08-07 (Max)/2026-05-08 (Avg),No Recent Minima/40.5875/37.969/30.3493/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"88.89%, Past 6 years, 18",44.8,No Information,No Information,No Information,No Information,No Information,No Information,6.67%/0.05%/1.45%,"10.84%, 11.43%",2.8 months/6 days/21 days,2.71%,6.12%,-3.41%,0.0,0.34,87.86%/140/29 days (Across ALL Assets),78.27%/497/25 days (Across ALL Assets)
FRACTAL TRACK,"BEL.NS, Long, 2026-04-02 (Price: 421.6)",Daily,No Exit Yet,464.0973 (Backtested Min),No Date Target,1.62%/3.73%,"9.76%, 15 days","2026-04-17 (Price: 462.75), 9.76% above",493.7779 (Historic Rise or Fall to Pivot)/470.2526 (Avg % Gain of Historic Winning trades)/629.47 (Function Specific Target)/613.9011 (F-Stack 2)/479.9916 (Backtested Max),2027-05-28 (Max)/2026-04-25 (Min)/2026-10-01 (Avg),400.65/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/412.17,"92.86%, Past 5 years, 14",417.0,No Information,No Information,No Information,"23.66% (Price: 391.4799), 18.21% above, Upmove Bounce Back","2023-10-26 (Price: 127.0), 2026-03-06 (Price: 473.45)",No Information,13.85%/10.08%/11.54%,"1.47%, 23.88%",9.7 months/16 days/4.2 months,27.95%,37.48%,-9.53%,0.0,1.95,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
FRACTAL TRACK,"BEL.NS, Long, 2026-03-25 (Price: 413.45)",Daily,2026-04-16 (Price: 455.65),461.1621 (Avg % Gain of Historic Winning trades),2026-04-17 (Min),1.4%/1.72%,"11.92%, 23 days","2026-04-17 (Price: 462.75), 11.92% above",484.2326 (Historic Rise or Fall to Pivot)/469.25 (Function Specific Target)/613.9011 (F-Stack 2)/470.7128 (Backtested Max),2027-05-20 (Max)/2026-09-23 (Avg),405.5/61.7416/382.9941/287.8162/No F-Track Level/No F-Track Level/412.17,"92.86%, Past 5 years, 14",416.3,No Information,No Information,No Information,"78.6% (Price: 400.352), 15.59% above, Upmove Bounce Back","2025-12-18 (Price: 380.45), 2026-03-06 (Price: 473.45)",No Information,13.85%/10.08%/11.54%,"1.47%, 23.88%",9.7 months/16 days/4.2 months,27.95%,37.48%,-9.53%,0.0,1.95,91.64%/299/5 months (Across ALL Assets),46.15%/52/5.5 months (Across ALL Assets)
TRENDPULSE,"BEL.NS, Long, 2025-05-31 (Price: 384.6)",Monthly,2026-04-17 (Price: 462.75),456.8119 (F-Stack 2),No Date Target,25.32%/41.3%,"20.32%, 10.7 months","2026-04-17 (Price: 462.75), 20.32% above",697.6259 (Historic Rise or Fall to Pivot)/579.9383 (Avg % Gain of Historic Winning trades)/653.8585 (Backtested Max),2026-08-21 (Max),246.25/39.05/287.8162/240.2858/No F-Track Level/No F-Track Level/293.59,"100.0%, Past 20 years, 9",310.8,No Information,No Information,No Information,No Information,No Information,47.33% above/46.51% above/20.32% above,70.01%/11.06%/50.79%,"0%, 18.14%",10.3 months/4.1 months/6.8 months,20.79%,17.26%,3.53%,0.0,0.78,90.43%/94/11 months (Across ALL Assets),65.48%/197/9.4 months (Across ALL Assets)
FRACTAL TRACK,"TSLA, Long, 2026-02-22 (Price: 411.82)",Weekly,No Exit Yet,No Price Target,2026-04-15 (Min),4.54%/20.04%,"-2.72%, 1.8 month","2026-04-17 (Price: 400.62), 2.72% below",579.2248 (Historic Rise or Fall to Pivot)/480.9234 (Avg % Gain of Historic Winning trades)/704.04 (Function Specific Target)/487.1467 (Horizontal)/541.282 (F-Stack 1)/564.9603 (F-Stack 2)/546.8558 (Backtested Max)/418.8209 (Backtested Min),2028-04-14 (Max)/2026-09-01 (Avg),411.11/196.47/353.8797/223.4247/No F-Track Level/No F-Track Level/398.87,"75.0%, Past 15 years, 16",412.36,No Information,No Information,No Information,"23.66% (Price: 383.5985), 4.44% above, Upmove Bounce Back","2019-06-09 (Price: 11.7993), 2025-12-28 (Price: 498.83)",No Information,32.79%/1.7%/16.78%,"19.51%, 42.05%",1.5 year/1.2 month/4.4 months,11.3%,28.27%,-16.97%,0.0,1.1,88.33%/60/1.6 year (Across ALL Assets),52.12%/165/8.1 months (Across ALL Assets)
DELTADRIFT,"TSLA, Long, 2026-04-05 (Price: 360.59)",Weekly,2026-04-17 (Price: 400.62),398.87 (EMA 200),No Date Target,3.12%/13.84%,"11.1%, 12 days","2026-04-17 (Price: 400.62), 11.1% above",493.1068 (Historic Rise or Fall to Pivot)/456.0742 (Avg % Gain of Historic Winning trades)/474.59 (Function Specific Target)/487.1467 (Horizontal)/494.4819 (F-Stack 1)/553.1211 (F-Stack 2)/524.0815 (Backtested Max)/413.128 (Backtested Min),2026-11-03 (Max)/2026-04-25 (Min)/2026-06-30 (Avg),302.63/196.47/348.637/262.8246/No F-Track Level/No F-Track Level/No EMA 200 Stop Loss,"100.0%, Past 15 years, 5",365.86,No Information,No Information,No Information,No Information,No Information,No Information,45.34%/14.57%/26.48%,"-0.0%, 27.43%",4.9 months/14 days/2 months,31.0%,27.98%,3.02%,0.54,1.09,78.57%/14/2.7 months (Across ALL Assets),78.95%/133/2 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2025-03-31 (Price: 245.3)",Quarterly,2026-04-17 (Price: 310.29),No Price Target,No Date Target,21.83%/24.68%,"26.49%, 1.1 year","2026-04-17 (Price: 310.29), 26.49% above",386.88 (Function Specific Target)/378.0318 (Backtested Max),2030-05-21 (Max)/2026-09-03 (Min)/2027-10-25 (Avg),104.5/91.08/208.1524/186.1217/No F-Track Level/No F-Track Level/230.23,"100.0%, Past 45 years, 6",240.92,No Information,No Information,No Information,No Information,No Information,29.44% above/25.06% above/26.49% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
TRENDPULSE,"JPM, Long, 2024-06-30 (Price: 202.26)",Quarterly,2026-04-17 (Price: 310.29),316.12 (Function Specific Target)/311.7029 (Backtested Max),No Date Target,No Next Target,"53.41%, 1.8 year","2026-04-17 (Price: 310.29), 53.41% above",No Next Target,2029-08-20 (Max)/2027-01-24 (Avg),104.5/91.08/186.1217/130.0388/No F-Track Level/No F-Track Level/173.92,"100.0%, Past 45 years, 6",199.99,No Information,No Information,No Information,No Information,No Information,53.41% above/53.41% above/53.41% above,54.11%/10.04%/26.54%,"0%, 36.16%",3.6 years/1 year/1.8 year,5.39%,6.11%,-0.72%,0.0,0.31,100.0%/18/2.6 years (Across ALL Assets),0.0%/3/4.1 months (Across ALL Assets)
