Function,"Symbol, Signal, Signal Date/Price[$]",ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale
OSCILLATOR DELTA,"BRK-B, Long, 2026-05-07 (Price: 475.08)",BRK-B,EQUITY,compounder,short,2.0,-1.0,1.0,1.0,60.0,moderate_high,False,CANCEL BUY,0.0,BQ 2.0 + valuation tax -1.0 = 1.0 | FS class moderate_high
TRENDPULSE,"SPY, Long, 2025-09-30 (Price: 666.18)",SPY,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
BASELINEDIVERGENCE,"SPY, Long, 2026-02-08 (Price: 690.62)",SPY,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
TRENDPULSE,"RY.TO, Long, 2026-04-28 (Price: 243.14)",RY.TO,EQUITY,compounder,short,3.0,-5.0,-2.0,-2.0,48.5,moderate,False,CANCEL BUY,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
TRENDPULSE,"RY.TO, Long, 2026-04-20 (Price: 245.85)",RY.TO,EQUITY,compounder,short,3.0,-5.0,-2.0,-2.0,48.5,moderate,False,CANCEL BUY,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,"RELIANCE.NS, Long, 2026-04-26 (Price: 1327.8)",RELIANCE.NS,EQUITY,cyclical,short,2.0,-3.0,-1.0,-1.0,52.0,moderate,False,CANCEL BUY,0.0,BQ 2.0 + valuation tax -3.0 = -1.0 | FS class moderate
TRENDPULSE,"RELIANCE.NS, Long, 2024-02-29 (Price: 1460.8)",RELIANCE.NS,EQUITY,cyclical,long,2.0,-3.0,-1.0,-1.0,52.0,moderate,False,CANCEL BUY,0.0,BQ 2.0 + valuation tax -3.0 = -1.0 | FS class moderate
OSCILLATOR DELTA,"GLD, Long, 2026-05-06 (Price: 430.96)",GLD,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
PULSEGAUGE,"GLD, Long, 2026-04-23 (Price: 431.04)",GLD,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,"AIA.NZ, Long, 2026-04-19 (Price: 8.18)",AIA.NZ,EQUITY,compounder,short,0.0,-5.0,-5.0,-5.0,34.0,moderate_low,False,CANCEL BUY,0.0,BQ 0.0 + valuation tax -5.0 = -5.0 | FS class moderate_low
PULSEGAUGE,"AIA.NZ, Long, 2026-04-23 (Price: 8.2)",AIA.NZ,EQUITY,compounder,short,0.0,-5.0,-5.0,-5.0,34.0,moderate_low,False,CANCEL BUY,0.0,BQ 0.0 + valuation tax -5.0 = -5.0 | FS class moderate_low
TRENDPULSE,"GRANULES.NS, Long, 2026-05-06 (Price: 736.0)",GRANULES.NS,EQUITY,compounder,short,5.5,-5.0,0.5,0.5,55.75,moderate_high,False,CANCEL BUY,0.0,BQ 5.5 + valuation tax -5.0 = 0.5 | FS class moderate_high
TRENDPULSE,"GRANULES.NS, Long, 2024-12-31 (Price: 592.3)",GRANULES.NS,EQUITY,compounder,long,5.5,-5.0,0.5,0.5,55.75,moderate_high,False,CANCEL BUY,0.0,BQ 5.5 + valuation tax -5.0 = 0.5 | FS class moderate_high
PULSEGAUGE,"NFLX, Long, 2026-04-23 (Price: 92.82)",NFLX,EQUITY,compounder,short,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
DELTADRIFT,"MCD, Long, 2026-05-12 (Price: 274.84)",MCD,EQUITY,income,short,2.0,-3.0,-1.0,-1.0,65.0,moderate_high,False,CANCEL BUY,0.0,BQ 2.0 + valuation tax -3.0 = -1.0 | FS class moderate_high
TRENDPULSE,"HDFCBANK.NS, Long, 2026-05-07 (Price: 796.05)",HDFCBANK.NS,EQUITY,compounder,short,0.0,-3.0,-3.0,-3.0,50.0,moderate,False,CANCEL BUY,0.0,BQ 0.0 + valuation tax -3.0 = -3.0 | FS class moderate
DELTADRIFT,"GILD, Long, 2026-04-23 (Price: 133.64)",GILD,EQUITY,compounder,short,4.0,-2.0,2.0,2.0,70.0,moderate_high,False,REDUCED BUY,25.0,BQ 4.0 + valuation tax -2.0 = 2.0 | FS class moderate_high
TRENDPULSE,"IBIT, Long, 2025-10-02 (Price: 68.77)",IBIT,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
SIGMASHELL,"TRI.TO, Long, 2026-02-03 (Price: 125.41)",TRI.TO,EQUITY,income,short,7.0,-2.0,5.0,5.0,77.5,strong,False,TACTICAL BUY,75.0,BQ 7.0 + valuation tax -2.0 = 5.0 | FS class strong
TRENDPULSE,"XIU.TO, Long, 2025-11-30 (Price: 46.43)",XIU.TO,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
OSCILLATOR DELTA,"NAUKRI.NS, Long, 2026-04-16 (Price: 1047.7)",NAUKRI.NS,EQUITY,compounder,short,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,CANCEL BUY,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
PULSEGAUGE,"CEN.NZ, Long, 2026-04-28 (Price: 9.23)",CEN.NZ,EQUITY,income,short,1.5,0.0,1.5,1.5,61.75,moderate_high,False,CANCEL BUY,0.0,BQ 1.5 + valuation tax 0.0 = 1.5 | FS class moderate_high
PULSEGAUGE,"BYD.TO, Long, 2025-07-08 (Price: 209.81)",BYD.TO,EQUITY,compounder,short,-3.0,-1.0,-4.0,-4.0,52.5,moderate,False,CANCEL BUY,0.0,BQ -3.0 + valuation tax -1.0 = -4.0 | FS class moderate
SIGMASHELL,"PERSISTENT.NS, Long, 2026-03-06 (Price: 4777.5)",PERSISTENT.NS,EQUITY,compounder,short,3.5,-2.0,1.5,1.5,63.75,moderate_high,False,CANCEL BUY,0.0,BQ 3.5 + valuation tax -2.0 = 1.5 | FS class moderate_high
DELTADRIFT,"GNE.NZ, Short, 2026-05-04 (Price: 2.44)",GNE.NZ,EQUITY,income,short,1.5,0.0,1.5,1.5,61.75,moderate_high,False,HARD EXIT,0.0,BQ 1.5 + valuation tax 0.0 = 1.5 | FS class moderate_high
