Function,ticker,asset_type,business_type,signal_timeframe,bq_raw,valuation_tax,conviction_raw,conviction_score,fs_score,fs_class,yield_trap_warning,verdict,sizing_pct,rationale
DELTADRIFT,CNR.TO,EQUITY,compounder,short,3.0,-5.0,-2.0,-2.0,51.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
DELTADRIFT,MX.TO,EQUITY,cyclical,short,-1.0,-1.0,-2.0,-2.0,52.5,moderate,False,HARD EXIT,0.0,BQ -1.0 + valuation tax -1.0 = -2.0 | FS class moderate
TRENDPULSE,TRI.TO,EQUITY,income,short,7.0,-2.0,5.0,5.0,77.5,strong,False,PARTIAL EXIT,0.0,BQ 7.0 + valuation tax -2.0 = 5.0 | FS class strong
DELTADRIFT,MX.TO,EQUITY,cyclical,short,-1.0,-1.0,-2.0,-2.0,52.5,moderate,False,HARD EXIT,0.0,BQ -1.0 + valuation tax -1.0 = -2.0 | FS class moderate
TRENDPULSE,ORCL,EQUITY,saas,short,4.0,-5.0,-1.0,-1.0,46.0,moderate,False,HARD EXIT,0.0,BQ 4.0 + valuation tax -5.0 = -1.0 | FS class moderate
DELTADRIFT,IMO.TO,EQUITY,cyclical,short,4.5,-4.0,0.5,0.5,60.25,moderate_high,False,HARD EXIT,0.0,BQ 4.5 + valuation tax -4.0 = 0.5 | FS class moderate_high
FRACTAL TRACK,000660.KS,EQUITY,compounder,long,5.5,-5.0,0.5,0.5,49.75,moderate,False,HARD EXIT,0.0,BQ 5.5 + valuation tax -5.0 = 0.5 | FS class moderate
DELTADRIFT,IMO.TO,EQUITY,cyclical,short,4.5,-4.0,0.5,0.5,60.25,moderate_high,False,HARD EXIT,0.0,BQ 4.5 + valuation tax -4.0 = 0.5 | FS class moderate_high
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,^STI,INDEX,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,005930.KS,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,51.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,000660.KS,EQUITY,compounder,long,5.5,-5.0,0.5,0.5,49.75,moderate,False,HARD EXIT,0.0,BQ 5.5 + valuation tax -5.0 = 0.5 | FS class moderate
FRACTAL TRACK,WPM,EQUITY,cyclical,long,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
DELTADRIFT,MU,EQUITY,compounder,long,2.5,-5.0,-2.5,-2.5,40.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
DELTADRIFT,^STI,INDEX,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=INDEX
FRACTAL TRACK,GOOG,EQUITY,compounder,long,3.5,-5.0,-1.5,-1.5,44.75,moderate,False,HARD EXIT,0.0,BQ 3.5 + valuation tax -5.0 = -1.5 | FS class moderate
DELTADRIFT,TSM,EQUITY,compounder,long,2.5,-3.0,-0.5,-0.5,58.25,moderate_high,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -3.0 = -0.5 | FS class moderate_high
FRACTAL TRACK,HDB,EQUITY,compounder,long,0.0,-1.0,-1.0,-1.0,50.0,moderate,False,HARD EXIT,0.0,BQ 0.0 + valuation tax -1.0 = -1.0 | FS class moderate
DELTADRIFT,NA.TO,EQUITY,compounder,long,1.0,-5.0,-4.0,-4.0,43.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -5.0 = -4.0 | FS class moderate
FRACTAL TRACK,000660.KS,EQUITY,compounder,long,5.5,-5.0,0.5,0.5,49.75,moderate,False,HARD EXIT,0.0,BQ 5.5 + valuation tax -5.0 = 0.5 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
TRENDPULSE,ORCL,EQUITY,saas,short,4.0,-5.0,-1.0,-1.0,46.0,moderate,False,HARD EXIT,0.0,BQ 4.0 + valuation tax -5.0 = -1.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
TRENDPULSE,INDY,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,GDX,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,AMD,EQUITY,compounder,short,0.5,-5.0,-4.5,-4.5,29.25,moderate_low,False,HARD EXIT,0.0,BQ 0.5 + valuation tax -5.0 = -4.5 | FS class moderate_low
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
DELTADRIFT,DBC,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
OSCILLATOR DELTA,NFLX,EQUITY,compounder,short,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
DELTADRIFT,DBC,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
OSCILLATOR DELTA,WPM.TO,EQUITY,cyclical,short,2.5,-5.0,-2.5,-2.5,45.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
DELTADRIFT,TD,EQUITY,compounder,long,-1.0,-5.0,-6.0,-6.0,33.5,moderate_low,False,HARD EXIT,0.0,BQ -1.0 + valuation tax -5.0 = -6.0 | FS class moderate_low | FS moderate_low capped long signal at +4
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
OSCILLATOR DELTA,C6L.SI,EQUITY,income,short,-2.0,-1.0,-3.0,-3.0,40.0,moderate,False,HARD EXIT,0.0,BQ -2.0 + valuation tax -1.0 = -3.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,AMD,EQUITY,compounder,short,0.5,-5.0,-4.5,-4.5,29.25,moderate_low,False,HARD EXIT,0.0,BQ 0.5 + valuation tax -5.0 = -4.5 | FS class moderate_low
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,CSCO,EQUITY,compounder,long,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
DELTADRIFT,MAR,EQUITY,compounder,short,4.5,-5.0,-0.5,-0.5,47.25,moderate,False,HARD EXIT,0.0,BQ 4.5 + valuation tax -5.0 = -0.5 | FS class moderate
TRENDPULSE,INFY,EQUITY,income,short,1.0,0.0,1.0,1.0,65.5,moderate_high,False,HARD EXIT,0.0,BQ 1.0 + valuation tax 0.0 = 1.0 | FS class moderate_high
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
DELTADRIFT,CSCO,EQUITY,compounder,short,3.0,-5.0,-2.0,-2.0,43.5,moderate,False,HARD EXIT,0.0,BQ 3.0 + valuation tax -5.0 = -2.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
DELTADRIFT,UPS,EQUITY,income,short,1.0,0.0,1.0,1.0,65.5,moderate_high,False,HARD EXIT,0.0,BQ 1.0 + valuation tax 0.0 = 1.0 | FS class moderate_high
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
TRENDPULSE,TRI.TO,EQUITY,income,short,7.0,-2.0,5.0,5.0,77.5,strong,False,PARTIAL EXIT,0.0,BQ 7.0 + valuation tax -2.0 = 5.0 | FS class strong
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
OSCILLATOR DELTA,WPM.TO,EQUITY,cyclical,short,2.5,-5.0,-2.5,-2.5,45.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
TRENDPULSE,TRI.TO,EQUITY,income,long,7.0,-2.0,5.0,5.0,77.5,strong,False,PARTIAL EXIT,50.0,BQ 7.0 + valuation tax -2.0 = 5.0 | FS class strong
OSCILLATOR DELTA,LULU,EQUITY,compounder,short,5.5,0.0,5.5,5.5,76.75,strong,False,PARTIAL EXIT,0.0,BQ 5.5 + valuation tax 0.0 = 5.5 | FS class strong
DELTADRIFT,EEM,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
DELTADRIFT,DBC,ETF,,short,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,WIPRO.NS,EQUITY,income,long,5.0,0.0,5.0,5.0,75.5,strong,False,PARTIAL EXIT,50.0,BQ 5.0 + valuation tax 0.0 = 5.0 | FS class strong
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,KWEB,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,C6L.SI,EQUITY,income,long,-2.0,-1.0,-3.0,-3.0,40.0,moderate,False,HARD EXIT,0.0,BQ -2.0 + valuation tax -1.0 = -3.0 | FS class moderate
FRACTAL TRACK,NFLX,EQUITY,compounder,long,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,AMD,EQUITY,compounder,short,0.5,-5.0,-4.5,-4.5,29.25,moderate_low,False,HARD EXIT,0.0,BQ 0.5 + valuation tax -5.0 = -4.5 | FS class moderate_low
FRACTAL TRACK,KWEB,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,NFLX,EQUITY,compounder,long,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
FRACTAL TRACK,KWEB,ETF,,long,,,,,,,False,NOT_APPLICABLE,0.0,quoteType=ETF
FRACTAL TRACK,SFTBY,EQUITY,income,long,1.0,-4.0,-3.0,-3.0,41.5,moderate,False,HARD EXIT,0.0,BQ 1.0 + valuation tax -4.0 = -3.0 | FS class moderate
FRACTAL TRACK,NFLX,EQUITY,compounder,long,2.5,-5.0,-2.5,-2.5,53.25,moderate,False,HARD EXIT,0.0,BQ 2.5 + valuation tax -5.0 = -2.5 | FS class moderate
